Sample REF	EAD0873A-0639-48FC-B340-C009F8FC6984
NF-kB-p65_pS536-R-C	-0.461758613
NF2-R-C	0.17771001
Notch1-R-V	-0.312387061
P-Cadherin-R-C	0.18823189
p21-R-V	-0.0953890199999999
p27-R-V	-0.132957315
p27_pT157-R-C	0.00730567300000007
p27_pT198-R-V	0.024032765
p38_MAPK-R-V	0.273342276
p38_pT180_Y182-R-V	0.141592759
p53-R-E	-0.169644796
p62-LCK-ligand-M-C	-0.257806532
p70S6K-R-V	0.577984954
p70S6K_pT389-R-V	-0.00430212400000007
p90RSK-R-C	0.32086461
p90RSK_pT359_S363-R-C	-0.119770602
PAI-1-M-E	0.911938185
PARP_cleaved-M-E	-0.062361098
Paxillin-R-C	0.323756114
PCNA-M-C	-0.211467591
PDCD4-R-C	0.060920461
PDK1-R-V	0.21485997
PDK1_pS241-R-V	0.316082812
PEA15-R-V	0.00256838300000006
PEA15_pS116-R-V	-0.203995878
PI3K-p110-alpha-R-C	-0.0689705740000001
PI3K-p85-R-V	0.257790243
PKC-alpha-M-V	0.370067016
PKC-alpha_pS657-R-C	0.556707298
PKC-delta_pS664-R-V	0.0818185839999999
PKC-pan_BetaII_pS660-R-V	0.380970353
PR-R-V	-0.0295847929999999
PRAS40_pT246-R-V	-0.177893608
PRDX1-R-V	-0.519401761
PREX1-R-E	0.444921756
PTEN-R-V	0.658045318
Rab11-R-E	-0.0147482879999999
Rab25-R-V	0.099923223
Rad50-M-V	-0.134141269
Rad51-R-V	-0.206054548
Raptor-R-V	-0.024548751
Rb-M-E	-0.115332049
Rb_pS807_S811-R-V	0.302270687
RBM15-R-V	0.304886123
Rictor-R-C	-0.168284523
Rictor_pT1135-R-V	0.029793467
S6-R-E	0.126840064
S6_pS235_S236-R-V	0.059475357
S6_pS240_S244-R-V	0.0311922520000001
SCD-M-V	-0.0122372799999999
SETD2-R-E	0.239406587
SF2-M-V	-0.405777479
Shc_pY317-R-E	0.433369575
Smac-M-E	-0.35871649
Smad1-R-V	0.382429181
Smad3-R-V	0.164871861
Smad4-M-V	-0.0652894500000001
Snail-M-E	-0.418479762999999
Src-M-V	0.196859839
Src_pY416-R-C	0.0551458119999999
Src_pY527-R-V	0.0464181560000001
STAT3_pY705-R-V	0.289480684
STAT5-alpha-R-V	0.730778457
Stathmin-R-V	-0.139749886
Syk-M-V	0.0908717150000001
TAZ-R-V	0.047722434
TIGAR-R-V	-0.12504824
Transglutaminase-M-V	-0.047059163
TFRC-R-V	-0.670628804
TSC1-R-C	0.222467978
TTF1-R-V	-0.0833073529999999
Tuberin-R-E	0.429823071
Tuberin_pT1462-R-V	-0.254860925
VEGFR2-R-V	-0.371548273
EPPK1-M-E	0.41248562
XBP1-G-C	-0.154886635
XRCC1-R-E	-0.286022628
YAP-R-E	-0.136904094
YAP_pS127-R-E	-0.547173061
YB-1-R-V	0.00732817300000005
YB-1_pS102-R-V	-0.187831997
JAB1-M-C	-0.216496243
PARP1-R-V	0.287047126
A-Raf-R-V	0.0185986990000001
ARID1A-R-C	0.388238242
B-Raf_pS445-R-V	0.0944497550000001
Bcl2A1-R-V	0.045032072
BRD4-R-V	0.609065958
c-Abl-R-V	0.174173664
Caspase-3-R-C	-0.0333421359999999
CD26-R-V	0.079976536
Chk1_pS296-R-V	0.106153724
COG3-R-V	0.00555149900000007
DUSP4-R-V	-0.200651815
ERCC5-R-C	-0.087687509
IGF1R_pY1135_Y1136-R-V	0.00201112300000006
IRF-1-R-C	0.184088355
Jak2-R-V	0.0687689800000001
p16_INK4a-R-V	0.0125269800000001
SHP-2_pY542-R-C	0.837231981
CDK1_pY15-R-C	0.321645772
