Sample REF	5852B79F-E34E-4B67-ADDA-CD19B9FDF975
PKC-pan_BetaII_pS660-R-V	-0.889054432
PR-R-V	-0.0351396659999999
PRAS40_pT246-R-V	0.0630275060000001
PRDX1-R-V	-0.157318334
PREX1-R-E	-0.484249329
PTEN-R-V	-0.679036187
Rab11-R-E	-0.0679705759999999
Rab25-R-V	-0.462182244
Rad50-M-V	-0.245229656
Rad51-R-V	-0.00851106200000001
Raptor-R-V	0.074921551
Rb-M-E	0.195355821
Rb_pS807_S811-R-V	0.956435551
RBM15-R-V	0.166823297
Rictor-R-C	0.13311097
Rictor_pT1135-R-V	0.06448308
S6-R-E	0.320380342
S6_pS235_S236-R-V	-0.465267086
S6_pS240_S244-R-V	0.412332311
SCD-M-V	0.184205923
SETD2-R-E	0.544727907
SF2-M-V	0.412434026
Shc_pY317-R-E	-0.414064968
Smac-M-E	0.153772175
Smad1-R-V	0.314014856
Smad3-R-V	0.0677666040000001
Smad4-M-V	0.146936794
Snail-M-E	0.148486846
Src-M-V	-0.809812231
Src_pY416-R-C	-0.574359948
Src_pY527-R-V	-0.681834868
STAT3_pY705-R-V	-0.769209643
STAT5-alpha-R-V	-0.732208886
Stathmin-R-V	0.360016927
Syk-M-V	1.441941441
TAZ-R-V	0.192074495
TIGAR-R-V	0.272566728
Transglutaminase-M-V	-0.320867702
TFRC-R-V	0.19084024
TSC1-R-C	0.232487676
TTF1-R-V	0.341420284
Tuberin-R-E	0.359317833
Tuberin_pT1462-R-V	0.359064818
VEGFR2-R-V	-0.521950558
EPPK1-M-E	-0.853197469
XBP1-G-C	0.410136678
XRCC1-R-E	0.101275666
YAP-R-E	0.112357385
YAP_pS127-R-E	-0.132170338
YB-1-R-V	-0.022304839
YB-1_pS102-R-V	-0.223700159
JAB1-M-C	0.0061054579999999
PARP1-R-V	0.385145944
A-Raf-R-V	-0.171922109
ARID1A-R-C	-0.971083036
B-Raf_pS445-R-V	-0.126556145
Bcl2A1-R-V	0.02838056
BRD4-R-V	0.272072754
c-Abl-R-V	-0.0445459
Caspase-3-R-C	0.474022468
CD26-R-V	-0.206658987
Chk1_pS296-R-V	0.0185054690000001
COG3-R-V	-0.00252837900000003
DUSP4-R-V	1.788812855
ERCC5-R-C	0.173071486
IGF1R_pY1135_Y1136-R-V	0.0108452460000001
IRF-1-R-C	-0.301783622
Jak2-R-V	0.24805714
p16_INK4a-R-V	-1.051237197
SHP-2_pY542-R-C	-0.213971202
CDK1_pY15-R-C	0.0221374149999999
