Sample REF	DA5131EF-4E20-4519-BE27-4C016B087F14
GSK3-alpha-beta-M-V	0.0112419140000002
GSK3-alpha-beta_pS21_S9-R-V	0.0294939040000002
GSK3_pS9-R-V	0.0793827560000002
HER2-M-V	-0.642797659
HER2_pY1248-R-C	-0.125919383
HER3-R-V	-0.742175674
HER3_pY1289-R-C	-0.0499681449999998
Heregulin-R-V	-0.0472024029999998
HSP70-R-C	0.434214995
IGFBP2-R-V	1.404095014
INPP4B-R-V	0.111276036
IRS1-R-V	-0.00781328399999981
JNK_pT183_pY185-R-V	-0.125770103
JNK2-R-C	-0.0121013809999997
Ku80-R-C	-0.539613602
Lck-R-V	0.489649595
LKB1-M-E	0.137730872
MAPK_pT202_Y204-R-V	0.216262109
MEK1-R-V	0.257559784
MEK1_pS217_S221-R-V	0.0996728350000002
MIG-6-M-V	0.0751582210000002
Mre11-R-C	0.170698294
MSH2-M-V	-0.257303678
MSH6-R-C	-0.841005219
mTOR-R-V	-0.243076259
mTOR_pS2448-R-C	-0.193952197
MYH11-R-V	2.354229094
Myosin-IIa_pS1943-R-V	0.266441645
N-Cadherin-R-V	0.21522568
N-Ras-M-V	0.105318653
NDRG1_pT346-R-V	-0.203820573
NF-kB-p65_pS536-R-C	0.00450636300000018
NF2-R-C	-0.131313411
Notch1-R-V	0.0219802710000001
P-Cadherin-R-C	0
p21-R-V	0.454919395
p27-R-V	0.0800637360000003
p27_pT157-R-C	-0.0653839189999998
p27_pT198-R-V	-0.0834486969999998
p38_MAPK-R-V	0.328027585
p38_pT180_Y182-R-V	-0.43126677
p53-R-E	0.119982561
p62-LCK-ligand-M-C	-0.374940134
p70S6K-R-V	-0.549770396
p70S6K_pT389-R-V	-0.0599273849999997
p90RSK-R-C	-0.0273213059999998
p90RSK_pT359_S363-R-C	-0.101635974
PAI-1-M-E	0.845568111
PARP_cleaved-M-E	-0.120614813
Paxillin-R-C	0.0865807610000002
PCNA-M-C	-0.309499501
PDCD4-R-C	0.204240566
PDK1-R-V	0.0615132730000002
PDK1_pS241-R-V	0.0933730720000002
PEA15-R-V	0.219572234
PEA15_pS116-R-V	0.147279237
PI3K-p110-alpha-R-C	0.00524272200000031
PI3K-p85-R-V	0.379835425
PKC-alpha-M-V	0.381580185
PKC-alpha_pS657-R-C	0.641420881
PKC-delta_pS664-R-V	0.0953535190000001
PKC-pan_BetaII_pS660-R-V	0.0923512220000002
PR-R-V	0.175947885
PRAS40_pT246-R-V	-0.31327033
PRDX1-R-V	-0.262180036
PREX1-R-E	0.382470129
PTEN-R-V	-0.0135410929999997
Rab11-R-E	0.0997571560000002
Rab25-R-V	-0.373065374
Rad50-M-V	0.0978213140000004
Rad51-R-V	0.345539253
Raptor-R-V	0.0244355890000002
Rb-M-E	0.263170347
Rb_pS807_S811-R-V	0.0516267380000004
RBM15-R-V	-0.961144979
Rictor-R-C	1.779670289
Rictor_pT1135-R-V	0.182274194
S6-R-E	-1.145959116
S6_pS235_S236-R-V	-1.43661998
S6_pS240_S244-R-V	-0.810187378
SCD-M-V	0.00702971300000033
SETD2-R-E	0.179826753
SF2-M-V	-0.444337523
Shc_pY317-R-E	-0.232380528
Smac-M-E	0.0201450340000003
Smad1-R-V	-0.0761413319999998
Smad3-R-V	-0.0515293039999998
Smad4-M-V	-0.0998601149999998
Snail-M-E	-0.103012793999999
Src-M-V	-0.0352594039999998
Src_pY416-R-C	0.51902589
Src_pY527-R-V	0.282748294
STAT3_pY705-R-V	0.37760713
STAT5-alpha-R-V	0.127407547
Stathmin-R-V	0.206641413
Syk-M-V	-0.279579669
TAZ-R-V	0.105579567
TIGAR-R-V	-0.0462540509999998
Transglutaminase-M-V	0.147100082
TFRC-R-V	-0.625494109
TSC1-R-C	0.0639907070000002
TTF1-R-V	-0.118310404
Tuberin-R-E	-0.12735926
Tuberin_pT1462-R-V	-0.0218416809999997
VEGFR2-R-V	0.118932962
EPPK1-M-E	0.535061956
XBP1-G-C	-0.253214947
XRCC1-R-E	-0.422277435
YAP-R-E	0.0556520120000002
YAP_pS127-R-E	0.603109987
YB-1-R-V	-0.0904363119999998
YB-1_pS102-R-V	-0.0920513789999998
JAB1-M-C	-0.0308949429999998
PARP1-R-V	-0.354508146
A-Raf-R-V	-0.0523586479999998
ARID1A-R-C	-0.152030314
B-Raf_pS445-R-V	-0.15568734
Bcl2A1-R-V	0.142115981
BRD4-R-V	-0.0831942959999996
c-Abl-R-V	0.0556950500000002
Caspase-3-R-C	-0.1692635
CD26-R-V	0.134659748
Chk1_pS296-R-V	0.127407547
COG3-R-V	-0.545369448
DUSP4-R-V	-0.183386205
ERCC5-R-C	0.0169618890000002
IGF1R_pY1135_Y1136-R-V	0.167214231
IRF-1-R-C	-0.253677067
Jak2-R-V	-0.198359527
p16_INK4a-R-V	-0.846172271
SHP-2_pY542-R-C	0.0296790780000002
CDK1_pY15-R-C	0.0118447490000002
