Sample REF	0BB4A1E7-3861-4E40-895F-0C25B47E8E57
FOXO3a-R-C	-0.029044335
FOXO3a_pS318_S321-R-C	0.119477846
G6PD-M-V	-0.118460312
GAB2-R-V	0.458087753
GAPDH-M-C	-0.158168214
GATA3-M-V	-0.235813609
GSK3-alpha-beta-M-V	-0.124085287
GSK3-alpha-beta_pS21_S9-R-V	0.424591719
GSK3_pS9-R-V	0.614103121
HER2-M-V	0.087040882
HER2_pY1248-R-C	0.04471227
HER3-R-V	-0.198952132
HER3_pY1289-R-C	-0.061760469
Heregulin-R-V	-0.141937268
HSP70-R-C	-0.176028802
IGFBP2-R-V	0.158374234
INPP4B-R-V	-0.21174472
IRS1-R-V	0.264663873
JNK_pT183_pY185-R-V	0.0962595390000001
JNK2-R-C	0.0122159210000001
Ku80-R-C	-0.319855776
Lck-R-V	0.179577946
LKB1-M-E	-0.106752922
MAPK_pT202_Y204-R-V	0.548193056
MEK1-R-V	0.1857051
MEK1_pS217_S221-R-V	0.054154192
MIG-6-M-V	-0.098717413
Mre11-R-C	-0.072587954
MSH2-M-V	-0.227588199
MSH6-R-C	-0.153447195
mTOR-R-V	-0.130160745
mTOR_pS2448-R-C	-0.0867216069999999
MYH11-R-V	0.085418278
Myosin-IIa_pS1943-R-V	-0.531291518
N-Cadherin-R-V	-0.143977323
N-Ras-M-V	-0.059668951
NDRG1_pT346-R-V	1.494398066
NF-kB-p65_pS536-R-C	0.899348788
NF2-R-C	0.018864366
Notch1-R-V	0.546229546
P-Cadherin-R-C	-0.0710607009999999
p21-R-V	0.02021137
p27-R-V	-0.180081936
p27_pT157-R-C	-0.00280675799999998
p27_pT198-R-V	0.069744579
p38_MAPK-R-V	0.118866834
p38_pT180_Y182-R-V	0.440885175
p53-R-E	-0.0666989519999999
p62-LCK-ligand-M-C	-0.03661125
p70S6K-R-V	0.505561045
p70S6K_pT389-R-V	-0.101570447
p90RSK-R-C	0.092161627
p90RSK_pT359_S363-R-C	-0.167782606
PAI-1-M-E	-0.682965489
PARP_cleaved-M-E	-0.172433526
Paxillin-R-C	0.360783942
PCNA-M-C	-0.427145245
PDCD4-R-C	0.647913924
PDK1-R-V	0.068569759
PDK1_pS241-R-V	0.147880039
PEA15-R-V	0.184771371
PEA15_pS116-R-V	-0.010869607
PI3K-p110-alpha-R-C	0.111187895
PI3K-p85-R-V	0.32983568
PKC-alpha-M-V	0.24187722
PKC-alpha_pS657-R-C	0.308414251
PKC-delta_pS664-R-V	0.149914563
PKC-pan_BetaII_pS660-R-V	0.461656577
PR-R-V	-0.171399128
PRAS40_pT246-R-V	0.228312897
PRDX1-R-V	0.069706715
PREX1-R-E	0.332381445
PTEN-R-V	0.564816957
Rab11-R-E	-0.137180933
Rab25-R-V	-0.692651947
Rad50-M-V	-0.291805494
Rad51-R-V	-0.115991272
Raptor-R-V	-0.077091665
Rb-M-E	-0.181217603
Rb_pS807_S811-R-V	0.430885408
RBM15-R-V	0.102763705
Rictor-R-C	-0.000416956000000024
Rictor_pT1135-R-V	0.046365166
S6-R-E	0.111710165
S6_pS235_S236-R-V	0.0805389230000002
S6_pS240_S244-R-V	-0.267763544
SCD-M-V	0.0217309680000001
SETD2-R-E	-0.185775104
SF2-M-V	-0.140806968
Shc_pY317-R-E	0.00661810200000001
Smac-M-E	-0.249827097
Smad1-R-V	-0.221959461
Smad3-R-V	-0.023437968
Smad4-M-V	-0.198054244
Snail-M-E	-0.146375501
Src-M-V	0.028735964
Src_pY416-R-C	0.566385346
Src_pY527-R-V	-0.158478521
STAT3_pY705-R-V	-0.020532323
STAT5-alpha-R-V	0.533704023
Stathmin-R-V	-0.047328347
Syk-M-V	0.217039121
TAZ-R-V	-0.003336952
TIGAR-R-V	-0.00432297800000003
Transglutaminase-M-V	0.048229881
TFRC-R-V	0.461995048
TSC1-R-C	0.0403837379999999
TTF1-R-V	-0.086677205
Tuberin-R-E	0.224714904
Tuberin_pT1462-R-V	0.33779602
VEGFR2-R-V	0.035507375
EPPK1-M-E	-1.068743492
XBP1-G-C	-0.586988914
XRCC1-R-E	-0.276604067
YAP-R-E	0
YAP_pS127-R-E	0.087651709
YB-1-R-V	0.222345029
YB-1_pS102-R-V	0.050276831
JAB1-M-C	-0.133364107
PARP1-R-V	-0.223295849
A-Raf-R-V	0.04683984
ARID1A-R-C	-0.139348337
B-Raf_pS445-R-V	-0.039995027
Bcl2A1-R-V	0.040331624
BRD4-R-V	0.290981054
c-Abl-R-V	0.042347765
Caspase-3-R-C	-0.0531606739999999
CD26-R-V	0.0624459429999999
Chk1_pS296-R-V	-0.016069925
COG3-R-V	-0.245034578
DUSP4-R-V	-0.175246439
ERCC5-R-C	-0.139544765
IGF1R_pY1135_Y1136-R-V	-0.08030609
IRF-1-R-C	0.04078029
Jak2-R-V	0.171608824
p16_INK4a-R-V	-0.30468127
SHP-2_pY542-R-C	-0.0756895739999999
CDK1_pY15-R-C	-0.271462507
