Sample REF	4157E44A-BFC9-479E-B2DE-D7B6A8C373B9
p27_pT157-R-C	0.0642726470000001
p27_pT198-R-V	-0.027813938
p38_MAPK-R-V	0.081261918
p38_pT180_Y182-R-V	0.46163767
p53-R-E	-0.265617315
p62-LCK-ligand-M-C	0.337685456
p70S6K-R-V	-0.255798824
p70S6K_pT389-R-V	-0.0967766679999998
p90RSK-R-C	0.229982655
p90RSK_pT359_S363-R-C	0.705035023
PAI-1-M-E	0.19449953
PARP_cleaved-M-E	0.0302508979999999
Paxillin-R-C	-0.00668345899999995
PCNA-M-C	-0.282385961
PDCD4-R-C	0.875997012
PDK1-R-V	-0.033059631
PDK1_pS241-R-V	-0.016143424
PEA15-R-V	0.241309977
PEA15_pS116-R-V	-0.142807939
PI3K-p110-alpha-R-C	0.166452739
PI3K-p85-R-V	0.578448038
PKC-alpha-M-V	0.321845655
PKC-alpha_pS657-R-C	0.547571409
PKC-delta_pS664-R-V	0.284031484
PKC-pan_BetaII_pS660-R-V	0.725974372
PR-R-V	0.076094368
PRAS40_pT246-R-V	0.23069308
PRDX1-R-V	0.48432879
PREX1-R-E	0.735143347
PTEN-R-V	-0.520504891
Rab11-R-E	-0.192251127
Rab25-R-V	-0.341036897
Rad50-M-V	0.0764881960000001
Rad51-R-V	-0.201464863
Raptor-R-V	-0.0113715759999999
Rb-M-E	0.025512613
Rb_pS807_S811-R-V	0.376245489
RBM15-R-V	-0.245534931
Rictor-R-C	1.799176551
Rictor_pT1135-R-V	-0.00108290499999997
S6-R-E	0.065855831
S6_pS235_S236-R-V	1.100312398
S6_pS240_S244-R-V	0.427707639
SCD-M-V	-0.058836613
SETD2-R-E	-0.0770736069999999
SF2-M-V	-0.0767498179999998
Shc_pY317-R-E	-0.100727922
Smac-M-E	-0.454667196
Smad1-R-V	-0.0892138219999999
Smad3-R-V	-0.00975284399999998
Smad4-M-V	-0.0730024459999999
Snail-M-E	0.0481269630000004
Src-M-V	0.00414317300000006
Src_pY416-R-C	-0.0861721410000001
Src_pY527-R-V	-0.559109144
STAT3_pY705-R-V	0.165911994
STAT5-alpha-R-V	0.897398975
Stathmin-R-V	-0.044538384
Syk-M-V	0.631778477
TAZ-R-V	-0.078918271
TIGAR-R-V	0.083094645
Transglutaminase-M-V	-0.032615192
TFRC-R-V	0.123522235
TSC1-R-C	-0.143842275
TTF1-R-V	0.0895291110000001
Tuberin-R-E	-0.081766462
Tuberin_pT1462-R-V	0.276249583
VEGFR2-R-V	-0.032016019
EPPK1-M-E	-1.691028076
XBP1-G-C	0.271106413
XRCC1-R-E	-0.226691648
YAP-R-E	-0.278064522
YAP_pS127-R-E	-0.138278553
YB-1-R-V	-0.083449934
YB-1_pS102-R-V	0.866109757
JAB1-M-C	0.010927193
PARP1-R-V	-0.041877304
A-Raf-R-V	0.18635421
ARID1A-R-C	-0.06834389
B-Raf_pS445-R-V	-0.168612383
Bcl2A1-R-V	-0.153015071
BRD4-R-V	-0.0356610649999999
c-Abl-R-V	-0.000308911999999939
Caspase-3-R-C	0.0273196350000001
CD26-R-V	-0.127500309
Chk1_pS296-R-V	0.115731976
COG3-R-V	-0.185020694
DUSP4-R-V	-0.0777033370000001
ERCC5-R-C	-0.167506299
IGF1R_pY1135_Y1136-R-V	0.00230373900000014
IRF-1-R-C	0.174688949
Jak2-R-V	0.52584779
p16_INK4a-R-V	-0.14205006
SHP-2_pY542-R-C	0.0705960440000001
CDK1_pY15-R-C	-0.12952046
