Sample REF	05E67180-E51A-488E-BD2D-BD24DA4F2D38
Paxillin-R-C	-0.0324071350000001
PCNA-M-C	-0.16081408
PDCD4-R-C	0.0276141069999999
PDK1-R-V	-0.208705354
PDK1_pS241-R-V	-0.439454513
PEA15-R-V	-0.180425953
PEA15_pS116-R-V	-0.0694727540000001
PI3K-p110-alpha-R-C	0.271988522
PI3K-p85-R-V	0.288020354
PKC-alpha-M-V	-0.688707626
PKC-alpha_pS657-R-C	-0.465383808
PKC-delta_pS664-R-V	-0.000614357000000121
PKC-pan_BetaII_pS660-R-V	0.331005183
PR-R-V	-0.0204772020000001
PRAS40_pT246-R-V	0.384590442
PRDX1-R-V	-0.0771469900000001
PREX1-R-E	-0.441906844
PTEN-R-V	-0.484178389
Rab11-R-E	-0.051652228
Rab25-R-V	0.303710827
Rad50-M-V	-0.414620358
Rad51-R-V	0.584702403
Raptor-R-V	-0.0104796470000001
Rb-M-E	-0.116834282
Rb_pS807_S811-R-V	0.149575355
RBM15-R-V	0.297647485
Rictor-R-C	0.710330559
Rictor_pT1135-R-V	0.0725353069999999
S6-R-E	-0.379160847
S6_pS235_S236-R-V	-0.756871709
S6_pS240_S244-R-V	-0.0741522290000003
SCD-M-V	-0.109699529
SETD2-R-E	-0.154113069
SF2-M-V	0.223081594
Shc_pY317-R-E	0
Smac-M-E	0.429386209
Smad1-R-V	0.0697462959999999
Smad3-R-V	0.00929122699999985
Smad4-M-V	-0.0387613370000002
Snail-M-E	-0.163378056
Src-M-V	0.104393612
Src_pY416-R-C	-0.0185832610000001
Src_pY527-R-V	0.169191183
STAT3_pY705-R-V	-0.335393817
STAT5-alpha-R-V	0.222417294
Stathmin-R-V	0.0834622139999999
Syk-M-V	0.254738646
TAZ-R-V	-0.0713132860000001
TIGAR-R-V	-0.155031524
Transglutaminase-M-V	-0.720900731
TFRC-R-V	0.389519767
TSC1-R-C	0.151945623
TTF1-R-V	-0.175884892
Tuberin-R-E	0.220022248
Tuberin_pT1462-R-V	0.450075763
VEGFR2-R-V	-0.207203599
EPPK1-M-E	-0.38654501
XBP1-G-C	-0.0763753610000002
XRCC1-R-E	0.183442212
YAP-R-E	-0.193469546
YAP_pS127-R-E	0.0381416769999998
YB-1-R-V	0.0825420619999999
YB-1_pS102-R-V	0.262675325
JAB1-M-C	-0.0258847200000001
PARP1-R-V	0.55334692
A-Raf-R-V	-0.235885512
ARID1A-R-C	0.579306821
B-Raf_pS445-R-V	-0.0383952650000001
Bcl2A1-R-V	-0.0728786340000001
BRD4-R-V	0.646396133
c-Abl-R-V	-0.237254621
Caspase-3-R-C	0.24976646
CD26-R-V	-0.372961752
Chk1_pS296-R-V	-0.0534177900000001
COG3-R-V	-0.475283555
DUSP4-R-V	-0.423909755
ERCC5-R-C	-0.018250121
IGF1R_pY1135_Y1136-R-V	-0.235260814
IRF-1-R-C	-0.181268211
Jak2-R-V	-0.141288855
p16_INK4a-R-V	0.219569495
SHP-2_pY542-R-C	-0.141186583
CDK1_pY15-R-C	0.083013512
