Sample REF	8E91B507-4AF4-432F-9A6A-1B07118A6AE2
ARID1A-R-C	-0.197741212
B-Raf_pS445-R-V	-0.188690048
Bcl2A1-R-V	-0.100113976
BRD4-R-V	0.196390912
c-Abl-R-V	0.203435236
Caspase-3-R-C	0.0138447310000001
CD26-R-V	0.12079873
Chk1_pS296-R-V	0.047310808
COG3-R-V	0.16127214
DUSP4-R-V	0.997395612
ERCC5-R-C	0.299902106
IGF1R_pY1135_Y1136-R-V	-0.0428966079999999
IRF-1-R-C	0.05797975
Jak2-R-V	0.13676088
p16_INK4a-R-V	0.377579858
SHP-2_pY542-R-C	-0.175142055
CDK1_pY15-R-C	-0.663098409
