Sample REF	0C3AE6A1-F10D-4EE1-A357-D2F3E0F217D1
SCD-M-V	0.483882404
SETD2-R-E	1.0104231
SF2-M-V	0.188391266000001
Shc_pY317-R-E	-0.899621559
Smac-M-E	0.623936419
Smad1-R-V	-0.579573516
Smad3-R-V	0.459790445
Smad4-M-V	0.14272572
Snail-M-E	0.150208036
Src-M-V	-0.510758755
Src_pY416-R-C	1.396667343
Src_pY527-R-V	0.956577559
STAT3_pY705-R-V	-0.385958963
STAT5-alpha-R-V	-1.88251349
Stathmin-R-V	0.647997373
Syk-M-V	-0.529065913
TAZ-R-V	0.241510946
TIGAR-R-V	-0.114565394
Transglutaminase-M-V	-0.0399011899999997
TFRC-R-V	-1.364729518
TSC1-R-C	-1.857905878
TTF1-R-V	-0.141957048
Tuberin-R-E	-2.103362462
Tuberin_pT1462-R-V	-0.201356678
VEGFR2-R-V	-0.454981557
EPPK1-M-E	-1.689299897
XBP1-G-C	0.13180937
XRCC1-R-E	0.515852737
YAP-R-E	0.696294887
YAP_pS127-R-E	1.050330245
YB-1-R-V	-0.603834823
YB-1_pS102-R-V	-0.0441418519999999
JAB1-M-C	0.237250987
PARP1-R-V	-0.259880921
A-Raf-R-V	0.0587266240000002
ARID1A-R-C	-1.697742071
B-Raf_pS445-R-V	-0.430391076
Bcl2A1-R-V	0.570793705
BRD4-R-V	-0.887802454
c-Abl-R-V	0.710592563
Caspase-3-R-C	0.330224858
CD26-R-V	0.483269514
Chk1_pS296-R-V	0.641830573
COG3-R-V	-1.594202818
DUSP4-R-V	0.362856577
ERCC5-R-C	0.743216464
IGF1R_pY1135_Y1136-R-V	0.607656864
IRF-1-R-C	0.160335121
Jak2-R-V	-0.325452048
p16_INK4a-R-V	0.490263993
SHP-2_pY542-R-C	0.0446226900000002
CDK1_pY15-R-C	0.325116716
