Sample REF	D91C5622-88A7-4D01-ACA5-14A0123D0ADF
HSP70-R-C	0.992401452
IGFBP2-R-V	0.101375975
INPP4B-R-V	0.420374053
IRS1-R-V	0.282102056
JNK_pT183_pY185-R-V	0.516455277
JNK2-R-C	-0.275262263
Ku80-R-C	-0.88004349
Lck-R-V	-0.322081685
LKB1-M-E	0.264569641
MAPK_pT202_Y204-R-V	1.123359442
MEK1-R-V	-0.248657151
MEK1_pS217_S221-R-V	0.350332506
MIG-6-M-V	0.01076062
Mre11-R-C	0.491679574
MSH2-M-V	0.290834245
MSH6-R-C	-1.342784209
mTOR-R-V	-1.266123538
mTOR_pS2448-R-C	0.0318268250000001
MYH11-R-V	2.794034754
Myosin-IIa_pS1943-R-V	-1.270230801
N-Cadherin-R-V	0.379889034
N-Ras-M-V	0.20933433
NDRG1_pT346-R-V	-0.710017481
NF-kB-p65_pS536-R-C	-0.0876516900000001
NF2-R-C	-1.20781605
Notch1-R-V	-0.20095656
P-Cadherin-R-C	0.22867054
p21-R-V	0.122505659
p27-R-V	-0.214935826
p27_pT157-R-C	0.583137998
p27_pT198-R-V	0.178216139
p38_MAPK-R-V	-0.352422473
p38_pT180_Y182-R-V	-1.125417799
p53-R-E	0.414356853
p62-LCK-ligand-M-C	-0.297570706
p70S6K-R-V	-1.516436568
p70S6K_pT389-R-V	0.429214664
p90RSK-R-C	-0.763667865
p90RSK_pT359_S363-R-C	0.0946408189999998
PAI-1-M-E	-0.151992569
PARP_cleaved-M-E	-0.0365790420000002
Paxillin-R-C	-0.542310669
PCNA-M-C	-0.988068144
PDCD4-R-C	-0.302886495
PDK1-R-V	-0.849711518
PDK1_pS241-R-V	-1.329467922
PEA15-R-V	0.376425654
PEA15_pS116-R-V	0.0394531749999999
PI3K-p110-alpha-R-C	-0.231370688
PI3K-p85-R-V	-0.156694868
PKC-alpha-M-V	0.362630952
PKC-alpha_pS657-R-C	0.592935099
PKC-delta_pS664-R-V	0.0344646439999999
PKC-pan_BetaII_pS660-R-V	-0.656747041
PR-R-V	0.439521457
PRAS40_pT246-R-V	0.0327133079999999
PRDX1-R-V	-0.211910823
PREX1-R-E	-0.315057546
PTEN-R-V	-1.302281642
Rab11-R-E	-0.0830808370000001
Rab25-R-V	-0.561215344
Rad50-M-V	0.106669992
Rad51-R-V	0.77163056
Raptor-R-V	-0.177101613
Rb-M-E	0.35548626
Rb_pS807_S811-R-V	0.274849037
RBM15-R-V	-2.032004391
Rictor-R-C	3.391832865
Rictor_pT1135-R-V	0.504601678
S6-R-E	-1.19197451
S6_pS235_S236-R-V	0.71109087
S6_pS240_S244-R-V	0.605294126
SCD-M-V	-0.052285467
SETD2-R-E	0.247270197
SF2-M-V	-1.798449961
Shc_pY317-R-E	0.302327842
Smac-M-E	-0.934042436
Smad1-R-V	-0.566203484
Smad3-R-V	-0.0537598060000001
Smad4-M-V	0.0804645679999997
Snail-M-E	-0.622282700999999
Src-M-V	-0.48916375
Src_pY416-R-C	0.361883039
Src_pY527-R-V	0.237308921
STAT3_pY705-R-V	0.543922273
STAT5-alpha-R-V	-1.456116696
Stathmin-R-V	0.437380516
Syk-M-V	-2.18184731
TAZ-R-V	0.316252502
TIGAR-R-V	-0.399377059
Transglutaminase-M-V	0.0954712999999999
TFRC-R-V	-2.312262018
TSC1-R-C	-0.0728947000000001
TTF1-R-V	0.219060827
Tuberin-R-E	-1.590854624
Tuberin_pT1462-R-V	0.343860082
VEGFR2-R-V	-0.112025791
EPPK1-M-E	-1.454945741
XBP1-G-C	1.266728486
XRCC1-R-E	-0.821831922
YAP-R-E	0.24453167
YAP_pS127-R-E	0.793581571
YB-1-R-V	-0.489615975
YB-1_pS102-R-V	0.157456864
JAB1-M-C	0.153744465
PARP1-R-V	-1.125908295
A-Raf-R-V	-0.753675609
ARID1A-R-C	-1.406307996
B-Raf_pS445-R-V	-1.050477463
Bcl2A1-R-V	0.596600756
BRD4-R-V	-1.729201793
c-Abl-R-V	0.161818994
Caspase-3-R-C	1.211491272
CD26-R-V	-0.093537308
Chk1_pS296-R-V	0.314225721
COG3-R-V	-0.954448868
DUSP4-R-V	0.189991261
ERCC5-R-C	-0.258154777
IGF1R_pY1135_Y1136-R-V	0.508097568
IRF-1-R-C	-0.178089561
Jak2-R-V	-0.229302596
p16_INK4a-R-V	-1.514541508
SHP-2_pY542-R-C	0.300042817
CDK1_pY15-R-C	-0.313479546
