Sample REF	8C2F3F49-6B5E-481A-8DAB-346D97893907
BRD4-R-V	-0.71936283
c-Abl-R-V	0.414392207
Caspase-3-R-C	0.322657425
CD26-R-V	-0.420887936
Chk1_pS296-R-V	0.61616796
COG3-R-V	-0.3058173
DUSP4-R-V	0.124134858
ERCC5-R-C	-0.709425696
IGF1R_pY1135_Y1136-R-V	0.662923807
IRF-1-R-C	-0.203047909
Jak2-R-V	-0.482823644
p16_INK4a-R-V	-0.383907592
SHP-2_pY542-R-C	-0.0418913809999999
CDK1_pY15-R-C	0.00560616499999989
