Sample REF	36EF8DA6-EB98-460D-B983-553061F6C566
VEGFR2-R-V	-0.045913684
EPPK1-M-E	0.401740621
XBP1-G-C	0.074034272
XRCC1-R-E	-0.010095327
YAP-R-E	-0.339720178
YAP_pS127-R-E	-0.443142014
YB-1-R-V	-0.090065987
YB-1_pS102-R-V	0.423062559
JAB1-M-C	0.132957947
PARP1-R-V	-0.011300591
A-Raf-R-V	0.316085236
ARID1A-R-C	0.105914903
B-Raf_pS445-R-V	-0.258995508
Bcl2A1-R-V	-0.311430138
BRD4-R-V	0.210438784
c-Abl-R-V	-0.189731849
Caspase-3-R-C	0.369962704
CD26-R-V	-0.12773499
Chk1_pS296-R-V	-0.084053787
COG3-R-V	0.018828912
DUSP4-R-V	-0.136913201
ERCC5-R-C	0.147198091
IGF1R_pY1135_Y1136-R-V	-0.26154668
IRF-1-R-C	0.00380331800000006
Jak2-R-V	0.268117565
p16_INK4a-R-V	-0.079437045
SHP-2_pY542-R-C	-0.322177906
CDK1_pY15-R-C	-0.018790652
