Sample REF	C9EB2866-AF28-4560-95FB-CF546AEDDD83
PRDX1-R-V	-0.331371296
PREX1-R-E	-0.290619472
PTEN-R-V	0.610704796
Rab11-R-E	-0.156580688
Rab25-R-V	0.244063875
Rad50-M-V	-0.149135291
Rad51-R-V	-0.393809045
Raptor-R-V	0.171047896
Rb-M-E	-0.21085619
Rb_pS807_S811-R-V	0.884790479
RBM15-R-V	0.367294304
Rictor-R-C	-0.0724474370000001
Rictor_pT1135-R-V	0.0366426599999999
S6-R-E	0.23054039
S6_pS235_S236-R-V	1.078317797
S6_pS240_S244-R-V	0.734184763
SCD-M-V	0.048204927
SETD2-R-E	-0.075589891
SF2-M-V	0.258441494
Shc_pY317-R-E	0.148961948
Smac-M-E	-0.196692955
Smad1-R-V	-0.359320336
Smad3-R-V	0.0638901789999998
Smad4-M-V	-0.0631104770000002
Snail-M-E	-0.187473202
Src-M-V	-0.0500394560000001
Src_pY416-R-C	-0.489143123
Src_pY527-R-V	1.062253963
STAT3_pY705-R-V	-0.430476735
STAT5-alpha-R-V	0.246030022
Stathmin-R-V	-0.196382858
Syk-M-V	0.323831778
TAZ-R-V	0.0259255389999999
TIGAR-R-V	0.110945094
Transglutaminase-M-V	0.30616249
TFRC-R-V	-0.247667415
TSC1-R-C	0.477897485
TTF1-R-V	0.087223579
Tuberin-R-E	0.264015674
Tuberin_pT1462-R-V	-0.0970221820000001
VEGFR2-R-V	-0.0168105160000001
EPPK1-M-E	2.412960888
XBP1-G-C	-0.253538833
XRCC1-R-E	-0.0284830620000001
YAP-R-E	0.0414200319999999
YAP_pS127-R-E	0.446587158
YB-1-R-V	0.214324871
YB-1_pS102-R-V	0.349450931
JAB1-M-C	-0.228127655
PARP1-R-V	-0.0229580240000001
A-Raf-R-V	-0.317337772
ARID1A-R-C	0.0375235619999998
B-Raf_pS445-R-V	-0.478296519
Bcl2A1-R-V	0.0573417669999999
BRD4-R-V	-0.279607752
c-Abl-R-V	0.0909884059999999
Caspase-3-R-C	-0.20026952
CD26-R-V	-0.113574454
Chk1_pS296-R-V	-0.0423215700000001
COG3-R-V	-0.109722533
DUSP4-R-V	-0.0263510880000004
ERCC5-R-C	0.51070724
IGF1R_pY1135_Y1136-R-V	-0.277124965
IRF-1-R-C	0.248667739
Jak2-R-V	0.204677688
p16_INK4a-R-V	0.190780213
SHP-2_pY542-R-C	0.239166302
CDK1_pY15-R-C	-0.00232083200000011
