Sample REF	9180D48E-36DA-421A-933F-FD75E6515174
p27_pT198-R-V	-0.0919748400000001
p38_MAPK-R-V	-0.145326646
p38_pT180_Y182-R-V	-0.251432143
p53-R-E	0.0429889170000002
p62-LCK-ligand-M-C	0.261169753
p70S6K-R-V	0.48976889
p70S6K_pT389-R-V	0.342278265
p90RSK-R-C	-0.0460014510000001
p90RSK_pT359_S363-R-C	-0.0924893550000001
PAI-1-M-E	-0.43238426
PARP_cleaved-M-E	-0.227429519
Paxillin-R-C	0.526347469
PCNA-M-C	0.0357681979999999
PDCD4-R-C	0.161617325
PDK1-R-V	0.0672590819999999
PDK1_pS241-R-V	0.258313535
PEA15-R-V	-0.16251694
PEA15_pS116-R-V	-0.131918904
PI3K-p110-alpha-R-C	0.114298404
PI3K-p85-R-V	0.00441454299999994
PKC-alpha-M-V	-0.27675236
PKC-alpha_pS657-R-C	-0.190318712
PKC-delta_pS664-R-V	-0.111080751
PKC-pan_BetaII_pS660-R-V	0.0033058199999999
PR-R-V	-0.172548146
PRAS40_pT246-R-V	0.540190307
PRDX1-R-V	0.0444146899999999
PREX1-R-E	0.0423840109999998
PTEN-R-V	0.250877291
Rab11-R-E	-0.100802337
Rab25-R-V	-0.436971006
Rad50-M-V	0.017825038
Rad51-R-V	-0.0835998100000002
Raptor-R-V	-0.256527352
Rb-M-E	-0.242058186
Rb_pS807_S811-R-V	0.726877323
RBM15-R-V	0.0864099609999999
Rictor-R-C	-0.321892719
Rictor_pT1135-R-V	-0.0941435800000001
S6-R-E	0.147755856
S6_pS235_S236-R-V	0.707639656
S6_pS240_S244-R-V	0.659252194
SCD-M-V	-0.0160042770000001
SETD2-R-E	-0.230110871
SF2-M-V	-0.0853724159999998
Shc_pY317-R-E	0.163628222
Smac-M-E	-0.276096012
Smad1-R-V	0.215525505
Smad3-R-V	-0.0517440720000001
Smad4-M-V	-0.122735473
Snail-M-E	0.133275356
Src-M-V	-0.181399683
Src_pY416-R-C	2.604485291
Src_pY527-R-V	0.829942696
STAT3_pY705-R-V	0.383776498
STAT5-alpha-R-V	0.594371447
Stathmin-R-V	-0.238434024
Syk-M-V	0.000486541000000007
TAZ-R-V	-0.0745219650000001
TIGAR-R-V	0.0859411199999999
Transglutaminase-M-V	-0.367845702
TFRC-R-V	1.032239852
TSC1-R-C	-0.0237272370000001
TTF1-R-V	-0.160492155
Tuberin-R-E	0.397114554
Tuberin_pT1462-R-V	0.454155441
VEGFR2-R-V	0.122348051
EPPK1-M-E	2.0778643
XBP1-G-C	-0.546609041
XRCC1-R-E	-0.339405805
YAP-R-E	0.202918972
YAP_pS127-R-E	0.210168876
YB-1-R-V	-0.0352056080000001
YB-1_pS102-R-V	0.148591881
JAB1-M-C	-0.131002498
PARP1-R-V	-0.234101049
A-Raf-R-V	0.119944944
ARID1A-R-C	0.264037309
B-Raf_pS445-R-V	-0.0781033970000001
Bcl2A1-R-V	-0.120753935
BRD4-R-V	0.45930267
c-Abl-R-V	0.108544184
Caspase-3-R-C	-0.092524354
CD26-R-V	-0.18623939
Chk1_pS296-R-V	-0.0600707550000001
COG3-R-V	0.000394969999999883
DUSP4-R-V	-0.141489209
ERCC5-R-C	0.305097021
IGF1R_pY1135_Y1136-R-V	-0.066397387
IRF-1-R-C	0.244947503
Jak2-R-V	0.126753173
p16_INK4a-R-V	0.36471298
SHP-2_pY542-R-C	0.789542282
CDK1_pY15-R-C	0.786946385
