Sample REF	E396C1F2-2B80-413F-822F-056FA27A5C88
Myosin-IIa_pS1943-R-V	0.043453643
N-Cadherin-R-V	-0.225562325
N-Ras-M-V	-0.11092267
NDRG1_pT346-R-V	2.775423519
NF-kB-p65_pS536-R-C	0.374860599
NF2-R-C	-0.049119625
Notch1-R-V	-0.132603172
P-Cadherin-R-C	-0.0310347960000003
p21-R-V	0.59167067
p27-R-V	-0.336601525
p27_pT157-R-C	-0.064021509
p27_pT198-R-V	0.049085827
p38_MAPK-R-V	-0.0164443
p38_pT180_Y182-R-V	0.687052396
p53-R-E	-0.0590606029999999
p62-LCK-ligand-M-C	0.679855958
p70S6K-R-V	0.356506142
p70S6K_pT389-R-V	0.076079841
p90RSK-R-C	0.473556692
p90RSK_pT359_S363-R-C	0.913524587
PAI-1-M-E	0.143257256
PARP_cleaved-M-E	0.884363536
Paxillin-R-C	0.325818271
PCNA-M-C	-0.089113921
PDCD4-R-C	0.826513023
PDK1-R-V	-0.079957071
PDK1_pS241-R-V	-0.099318036
PEA15-R-V	-0.24401063
PEA15_pS116-R-V	-0.247958797
PI3K-p110-alpha-R-C	-0.140621239
PI3K-p85-R-V	0.083121082
PKC-alpha-M-V	0.538579192
PKC-alpha_pS657-R-C	0.740989829
PKC-delta_pS664-R-V	0.10845218
PKC-pan_BetaII_pS660-R-V	1.023380906
PR-R-V	-0.102157736
PRAS40_pT246-R-V	0.57933215
PRDX1-R-V	-0.143787775
PREX1-R-E	-0.212583838
PTEN-R-V	-0.453080478
Rab11-R-E	-0.050362589
Rab25-R-V	0.34123843
Rad50-M-V	-0.304995926
Rad51-R-V	-0.251642551
Raptor-R-V	-0.058536195
Rb-M-E	-0.0829777580000001
Rb_pS807_S811-R-V	1.172750426
RBM15-R-V	0.322080192
Rictor-R-C	0.162520517
Rictor_pT1135-R-V	0.211524722
S6-R-E	-0.038674208
S6_pS235_S236-R-V	0.950248509
S6_pS240_S244-R-V	0.621987193
SCD-M-V	-0.027357749
SETD2-R-E	-0.065852014
SF2-M-V	0.280178771
Shc_pY317-R-E	0.071519695
Smac-M-E	-0.135554335
Smad1-R-V	-0.116753837
Smad3-R-V	-0.099034103
Smad4-M-V	-0.134611175
Snail-M-E	-0.202468482
Src-M-V	0.440750864
Src_pY416-R-C	0.371807461
Src_pY527-R-V	0.598068345
STAT3_pY705-R-V	0.29639061
STAT5-alpha-R-V	0.419741672
Stathmin-R-V	-0.244816319
Syk-M-V	0.295095689
TAZ-R-V	-0.18025034
TIGAR-R-V	-0.093117837
Transglutaminase-M-V	0.019286118
TFRC-R-V	0.103298936
TSC1-R-C	0.017373288
TTF1-R-V	-0.0642017199999999
Tuberin-R-E	0.414114335
Tuberin_pT1462-R-V	0.841580636
VEGFR2-R-V	-0.43611675
EPPK1-M-E	0.77453499
XBP1-G-C	-0.146830033
XRCC1-R-E	-0.146899197
YAP-R-E	-0.281215654
YAP_pS127-R-E	-0.389880853
YB-1-R-V	-0.039423928
YB-1_pS102-R-V	0.309549651
JAB1-M-C	-0.0762832269999999
PARP1-R-V	-0.415367885
A-Raf-R-V	0.017842979
ARID1A-R-C	-0.079162236
B-Raf_pS445-R-V	0.485086636
Bcl2A1-R-V	-0.075055383
BRD4-R-V	-0.315545981
c-Abl-R-V	-0.123659033
Caspase-3-R-C	0.027880979
CD26-R-V	-0.091224529
Chk1_pS296-R-V	-0.163325468
COG3-R-V	0.158576218
DUSP4-R-V	-0.402976647
ERCC5-R-C	0.070329716
IGF1R_pY1135_Y1136-R-V	-0.141495244
IRF-1-R-C	0.359517177
Jak2-R-V	0.118148413
p16_INK4a-R-V	0.070581093
SHP-2_pY542-R-C	0.013346304
CDK1_pY15-R-C	-0.0999713720000001
