Sample REF	2A20CB75-42F9-4895-B3DC-9A6FBC9A1E59
ER-alpha_pS118-R-V	-0.000418027000000265
ERCC1-M-V	-0.368666837
ERK2-R-E	0.059150026
ETS-1-R-V	0.388165671
FASN-R-V	-1.86155192
Fibronectin-R-V	0.216114933
FoxM1-R-V	0.610222143
FOXO3a-R-C	0.239335898
FOXO3a_pS318_S321-R-C	0.428191466
G6PD-M-V	0.141732637
GAB2-R-V	0.738788849
GAPDH-M-C	-0.810940062
GATA3-M-V	-1.123440525
GSK3-alpha-beta-M-V	-0.743407142
GSK3-alpha-beta_pS21_S9-R-V	0.155380646
GSK3_pS9-R-V	0.0738829939999999
HER2-M-V	-0.209194895
HER2_pY1248-R-C	0.279256948
HER3-R-V	-0.298808562
HER3_pY1289-R-C	0.141959724
Heregulin-R-V	0.345419108
HSP70-R-C	1.029093377
IGFBP2-R-V	-0.661946244
INPP4B-R-V	0.313433859
IRS1-R-V	0.323058582
JNK_pT183_pY185-R-V	0.363820244
JNK2-R-C	-0.231208134
Ku80-R-C	-0.969309521
Lck-R-V	-0.363256483
LKB1-M-E	0.456215889
MAPK_pT202_Y204-R-V	1.225571724
MEK1-R-V	0.137936342
MEK1_pS217_S221-R-V	0.461960828
MIG-6-M-V	-0.137302241
Mre11-R-C	0.634416087
MSH2-M-V	-0.364988852
MSH6-R-C	-1.474368371
mTOR-R-V	-0.901326837
mTOR_pS2448-R-C	0.0289256930000001
MYH11-R-V	2.957656823
Myosin-IIa_pS1943-R-V	-1.601800741
N-Cadherin-R-V	0.552240417
N-Ras-M-V	0.17259396
NDRG1_pT346-R-V	-0.839039503
NF-kB-p65_pS536-R-C	0.0942437729999999
NF2-R-C	-0.744207952
Notch1-R-V	-0.0804185160000004
P-Cadherin-R-C	-0.0527253970000001
p21-R-V	1.323303691
p27-R-V	0.430840205
p27_pT157-R-C	0.214977586
p27_pT198-R-V	0.313338021
p38_MAPK-R-V	-0.538065067
p38_pT180_Y182-R-V	-0.134584573
p53-R-E	0.346905017
p62-LCK-ligand-M-C	-1.2921536
p70S6K-R-V	-1.174707405
p70S6K_pT389-R-V	0.331900095
p90RSK-R-C	-0.887174127
p90RSK_pT359_S363-R-C	0.186093625
PAI-1-M-E	-0.818595784
PARP_cleaved-M-E	-0.146997326
Paxillin-R-C	0.566153569
PCNA-M-C	-0.882270966
PDCD4-R-C	-0.218662094
PDK1-R-V	-0.467587375
PDK1_pS241-R-V	-0.674289906
PEA15-R-V	0.263510058
PEA15_pS116-R-V	0.344027046
PI3K-p110-alpha-R-C	-0.262428076
PI3K-p85-R-V	-0.0637671260000001
PKC-alpha-M-V	0.698269591
PKC-alpha_pS657-R-C	0.994335144
PKC-delta_pS664-R-V	0.0847578929999999
PKC-pan_BetaII_pS660-R-V	-0.152480768
PR-R-V	0.561958785
PRAS40_pT246-R-V	0.147650909
PRDX1-R-V	-0.382314201
PREX1-R-E	-0.77158085
PTEN-R-V	-0.564640973
Rab11-R-E	0.128387904
Rab25-R-V	0.13074616
Rad50-M-V	0.169821778
Rad51-R-V	0.927606631
Raptor-R-V	0.180605044
Rb-M-E	0.633523819
Rb_pS807_S811-R-V	-0.227070862
RBM15-R-V	-2.150815078
Rictor-R-C	3.56524522
Rictor_pT1135-R-V	0.850657455
S6-R-E	-1.846542155
S6_pS235_S236-R-V	-0.275262061
S6_pS240_S244-R-V	-0.31921002
SCD-M-V	0.170754212
SETD2-R-E	0.369256951
SF2-M-V	0.00866042200000017
Shc_pY317-R-E	0.0135796780000002
Smac-M-E	-0.867148266
Smad1-R-V	-0.112540922
Smad3-R-V	0.0780464249999999
Smad4-M-V	0
Snail-M-E	-0.673788887
Src-M-V	-0.757821496
Src_pY416-R-C	-0.549043469
Src_pY527-R-V	0.328705972
STAT3_pY705-R-V	0.896438812
STAT5-alpha-R-V	-0.411199147
Stathmin-R-V	0.575377412
Syk-M-V	-2.71686521
TAZ-R-V	0.460364481
TIGAR-R-V	-0.589579279
Transglutaminase-M-V	0.121589147
TFRC-R-V	-3.288189325
TSC1-R-C	0.710295849
TTF1-R-V	0.223574373
Tuberin-R-E	-0.802982606
Tuberin_pT1462-R-V	0.178026465
VEGFR2-R-V	0.112696913
EPPK1-M-E	-2.220126938
XBP1-G-C	0.953535034
XRCC1-R-E	-1.005480514
YAP-R-E	0.415022239
YAP_pS127-R-E	0.790729832
YB-1-R-V	-0.131645616
YB-1_pS102-R-V	0.239556754
JAB1-M-C	-0.0709498880000003
PARP1-R-V	-1.682576793
A-Raf-R-V	-0.35738583
ARID1A-R-C	-1.297676371
B-Raf_pS445-R-V	-0.802384813
Bcl2A1-R-V	0.720599639
BRD4-R-V	-1.055559437
c-Abl-R-V	0.258568715
Caspase-3-R-C	-0.107209064
CD26-R-V	0.440683028
Chk1_pS296-R-V	0.45834653
COG3-R-V	-0.867383594
DUSP4-R-V	-0.107946568
ERCC5-R-C	0.341521949
IGF1R_pY1135_Y1136-R-V	0.67383408
IRF-1-R-C	0.131599658
Jak2-R-V	-0.428344123
p16_INK4a-R-V	-2.470742885
SHP-2_pY542-R-C	0.559945252
CDK1_pY15-R-C	-0.331187008
