Sample REF	D61E568A-FB64-4C66-A46D-B835AB2B7F46
DJ-1-R-E	-0.00179692699999995
Dvl3-R-V	0.178509436
E-Cadherin-R-V	-0.741145189
eEF2-R-C	-0.103108977
eEF2K-R-V	-0.498726709
EGFR-R-V	0.015414836
EGFR_pY1068-R-C	-0.189233618
EGFR_pY1173-R-V	-0.141997641
eIF4E-R-V	-0.204480382
eIF4G-R-C	0.321124398
ER-alpha-R-V	-0.807338178
ER-alpha_pS118-R-V	-0.191134241
ERCC1-M-V	0.184543859
ERK2-R-E	-0.148343571
ETS-1-R-V	0.062939375
FASN-R-V	0.253232375
Fibronectin-R-V	0.626579708
FoxM1-R-V	-0.384524555
FOXO3a-R-C	-0.11841749
FOXO3a_pS318_S321-R-C	0.176946343
G6PD-M-V	-0.0102405940000002
GAB2-R-V	-0.030109394
GAPDH-M-C	-0.263293372
GATA3-M-V	-0.0497046249999998
GSK3-alpha-beta-M-V	0.00972967800000002
GSK3-alpha-beta_pS21_S9-R-V	0.488224899
GSK3_pS9-R-V	0.603012616
HER2-M-V	-0.27801039
HER2_pY1248-R-C	-0.23741536
HER3-R-V	-0.440413371
HER3_pY1289-R-C	0.142334871
Heregulin-R-V	-0.219722375
HSP70-R-C	-0.0336273619999999
IGFBP2-R-V	0.304735457
INPP4B-R-V	0.129636183
IRS1-R-V	-0.194022834
JNK_pT183_pY185-R-V	-0.0699898009999999
JNK2-R-C	0.273037903
Ku80-R-C	-0.47158406
Lck-R-V	0.45435296
LKB1-M-E	-0.186954217
MAPK_pT202_Y204-R-V	-0.537977086
MEK1-R-V	-0.826255773
MEK1_pS217_S221-R-V	-0.204413263
MIG-6-M-V	0.0890605560000001
Mre11-R-C	0.016167891
MSH2-M-V	0.160827146
MSH6-R-C	0.0134654160000001
mTOR-R-V	0.0246708890000001
mTOR_pS2448-R-C	-0.0323199739999999
MYH11-R-V	-1.42399443
Myosin-IIa_pS1943-R-V	0.014305953
N-Cadherin-R-V	-0.158147844
N-Ras-M-V	-0.110290775
NDRG1_pT346-R-V	1.602146553
NF-kB-p65_pS536-R-C	0.487674578
NF2-R-C	0.300554353
Notch1-R-V	0.00749065100000001
P-Cadherin-R-C	0.03073563
p21-R-V	0.539418329
p27-R-V	-0.100044464
p27_pT157-R-C	-0.0929875049999999
p27_pT198-R-V	0.283843719
p38_MAPK-R-V	0.290830405
p38_pT180_Y182-R-V	0.900364588
p53-R-E	0.147813033
p62-LCK-ligand-M-C	-0.314622766
p70S6K-R-V	-0.110448439
p70S6K_pT389-R-V	-0.211991862
p90RSK-R-C	-0.279798066
p90RSK_pT359_S363-R-C	-0.086550531
PAI-1-M-E	1.440533586
PARP_cleaved-M-E	-0.204544322
Paxillin-R-C	0.366718022
PCNA-M-C	-0.110340289
PDCD4-R-C	0.353382933
PDK1-R-V	-0.097513219
PDK1_pS241-R-V	0.0392267660000001
PEA15-R-V	0.045200856
PEA15_pS116-R-V	-0.00224172499999997
PI3K-p110-alpha-R-C	-0.071405321
PI3K-p85-R-V	0.25793629
PKC-alpha-M-V	-0.0942644609999999
PKC-alpha_pS657-R-C	0.068605868
PKC-delta_pS664-R-V	-0.0717849040000001
PKC-pan_BetaII_pS660-R-V	0.224214596
PR-R-V	-0.1430416
PRAS40_pT246-R-V	0.171553212
PRDX1-R-V	-0.166988363
PREX1-R-E	0.640648393
PTEN-R-V	0.07913015
Rab11-R-E	0.0402850820000001
Rab25-R-V	-0.615906432
Rad50-M-V	-0.222110716
Rad51-R-V	0.344417372
Raptor-R-V	-0.154745425
Rb-M-E	-0.104235745
Rb_pS807_S811-R-V	0.464663475
RBM15-R-V	0
Rictor-R-C	-0.653600783
Rictor_pT1135-R-V	-0.046549431
S6-R-E	0.242354761
S6_pS235_S236-R-V	0.247287498
S6_pS240_S244-R-V	0.28475972
SCD-M-V	-0.105322232
SETD2-R-E	-0.242595987
SF2-M-V	0.422465836
Shc_pY317-R-E	-0.0187449119999999
Smac-M-E	-0.363417123
Smad1-R-V	-0.265163077
Smad3-R-V	-0.170745549
Smad4-M-V	-0.124719655
Snail-M-E	1.07879183
Src-M-V	-0.344654815
Src_pY416-R-C	1.29400331
Src_pY527-R-V	0.846606919
STAT3_pY705-R-V	-0.00876198899999991
STAT5-alpha-R-V	-0.0385485899999999
Stathmin-R-V	0.081822609
Syk-M-V	0.253054526
TAZ-R-V	-0.250897532
TIGAR-R-V	-0.00366097899999995
Transglutaminase-M-V	1.445862525
TFRC-R-V	0.832245188
TSC1-R-C	-0.083517891
TTF1-R-V	0.0265811340000001
Tuberin-R-E	-0.245787297
Tuberin_pT1462-R-V	0.024171426
VEGFR2-R-V	0.390662221
EPPK1-M-E	0.43674019
XBP1-G-C	-0.029858125
XRCC1-R-E	-0.110609395
YAP-R-E	2.620983096
YAP_pS127-R-E	3.52513342
YB-1-R-V	0.01725698
YB-1_pS102-R-V	0.017816425
JAB1-M-C	-0.095885621
PARP1-R-V	-0.15157363
A-Raf-R-V	0.067070402
ARID1A-R-C	-0.023525481
B-Raf_pS445-R-V	-0.235576289
Bcl2A1-R-V	0.253344397
BRD4-R-V	0.330863699
c-Abl-R-V	-0.130107617
Caspase-3-R-C	-0.166298715
CD26-R-V	-0.251573704
Chk1_pS296-R-V	0.041008023
COG3-R-V	-0.314546725
DUSP4-R-V	0.733620899
ERCC5-R-C	0.132402023
IGF1R_pY1135_Y1136-R-V	-0.0881120159999998
IRF-1-R-C	-0.0593147159999999
Jak2-R-V	-0.180206258
p16_INK4a-R-V	0.080027162
SHP-2_pY542-R-C	0.125696465
CDK1_pY15-R-C	0.853598502
