Sample REF	8048B959-1198-4626-B674-E34FB36F51CD
STAT5-alpha-R-V	-0.262093604
Stathmin-R-V	-0.15694243
Syk-M-V	0.180614266
TAZ-R-V	0.138297742
TIGAR-R-V	0.208695537
Transglutaminase-M-V	-0.140203561
TFRC-R-V	0.490111279
TSC1-R-C	-0.310077726
TTF1-R-V	0.186319552
Tuberin-R-E	0.0894506800000002
Tuberin_pT1462-R-V	-0.139411718
VEGFR2-R-V	-0.430838984
EPPK1-M-E	1.172999566
XBP1-G-C	0.285062249
XRCC1-R-E	0.12356648
YAP-R-E	-0.327139148
YAP_pS127-R-E	-0.647066313
YB-1-R-V	-0.27924644
YB-1_pS102-R-V	0.0127148940000003
JAB1-M-C	0.5512539
PARP1-R-V	-0.220434331
A-Raf-R-V	-0.325974982
ARID1A-R-C	-0.187467534
B-Raf_pS445-R-V	-0.159022584
Bcl2A1-R-V	0.116493435
BRD4-R-V	-0.103978035
c-Abl-R-V	-0.218572057
Caspase-3-R-C	0.100446127
CD26-R-V	0.293285549
Chk1_pS296-R-V	-0.0369125459999998
COG3-R-V	-0.319981663
DUSP4-R-V	0
ERCC5-R-C	-0.802955759
IGF1R_pY1135_Y1136-R-V	0.101283992
IRF-1-R-C	-0.16366315
Jak2-R-V	-0.111643255
p16_INK4a-R-V	0.213693312
SHP-2_pY542-R-C	-0.0931635599999996
CDK1_pY15-R-C	-0.213613589
