Sample REF	B65F36C5-75E0-45AA-B254-16ABC4C5DF64
Smac-M-E	-0.329977533
Smad1-R-V	-0.133048891
Smad3-R-V	0.070150119
Smad4-M-V	-0.0674375170000001
Snail-M-E	-0.159142634
Src-M-V	-0.167744392
Src_pY416-R-C	-0.569273432
Src_pY527-R-V	0.346159084
STAT3_pY705-R-V	1.048082557
STAT5-alpha-R-V	0.019421478
Stathmin-R-V	0.558317004
Syk-M-V	-1.05618755
TAZ-R-V	0.359844286
TIGAR-R-V	0.127577654
Transglutaminase-M-V	0.377606722
TFRC-R-V	-1.998238595
TSC1-R-C	0.341027479
TTF1-R-V	0.0855986290000001
Tuberin-R-E	-0.583435312
Tuberin_pT1462-R-V	-0.134279445
VEGFR2-R-V	-0.25438406
EPPK1-M-E	-1.345481874
XBP1-G-C	-0.6107544
XRCC1-R-E	-0.392858218
YAP-R-E	0.123478291
YAP_pS127-R-E	1.1113271
YB-1-R-V	-0.162721233
YB-1_pS102-R-V	0.05394421
JAB1-M-C	0.056688523
PARP1-R-V	-0.48362418
A-Raf-R-V	-0.566127743
ARID1A-R-C	-1.089375694
B-Raf_pS445-R-V	-0.437913034
Bcl2A1-R-V	0.35495114
BRD4-R-V	-0.859727669
c-Abl-R-V	0.155911718
Caspase-3-R-C	-0.144891107
CD26-R-V	0.077149344
Chk1_pS296-R-V	0.409917722
COG3-R-V	-0.578937249
DUSP4-R-V	-0.258451841
ERCC5-R-C	0.237527717
IGF1R_pY1135_Y1136-R-V	0.464287205
IRF-1-R-C	-0.091884014
Jak2-R-V	-0.308007939
p16_INK4a-R-V	-1.629284584
SHP-2_pY542-R-C	-0.0290709429999998
CDK1_pY15-R-C	-0.396049239
