Sample REF	1DDEE185-E1DE-44AE-AD36-FFCC69B5EE84
ER-alpha_pS118-R-V	0.0657179180000002
ERCC1-M-V	0.254908326
ERK2-R-E	-0.081326761
ETS-1-R-V	-0.165697236
FASN-R-V	0.624852333
Fibronectin-R-V	-0.849566554
FoxM1-R-V	0.380395172
FOXO3a-R-C	-0.185392047
FOXO3a_pS318_S321-R-C	-0.169786877
G6PD-M-V	1.811777964
GAB2-R-V	0.446246062
GAPDH-M-C	-0.081651461
GATA3-M-V	-0.270590246
GSK3-alpha-beta-M-V	-0.029249544
GSK3-alpha-beta_pS21_S9-R-V	0.316088774
GSK3_pS9-R-V	0.846815475
HER2-M-V	0.332425748
HER2_pY1248-R-C	0.665294759
HER3-R-V	0.771636795
HER3_pY1289-R-C	0.02916731
Heregulin-R-V	-0.117579065
HSP70-R-C	-0.62193176
IGFBP2-R-V	-0.843476238
INPP4B-R-V	-0.205640779
IRS1-R-V	0.201148539
JNK_pT183_pY185-R-V	-0.166704443
JNK2-R-C	-0.0779280209999998
Ku80-R-C	-0.042306634
Lck-R-V	-0.015229584
LKB1-M-E	-0.12890315
MAPK_pT202_Y204-R-V	-0.2109301
MEK1-R-V	0.288996443
MEK1_pS217_S221-R-V	-0.091705091
MIG-6-M-V	-0.051546509
Mre11-R-C	-0.129854894
MSH2-M-V	-0.166112524
MSH6-R-C	-0.092011605
mTOR-R-V	0.089417999
mTOR_pS2448-R-C	0.400690738
MYH11-R-V	-2.026530398
Myosin-IIa_pS1943-R-V	-0.102770377
N-Cadherin-R-V	-0.238718373
N-Ras-M-V	-0.14417145
NDRG1_pT346-R-V	-0.123170664
NF-kB-p65_pS536-R-C	0.680971976
NF2-R-C	0.047658933
Notch1-R-V	0.758908929
P-Cadherin-R-C	-0.121288349
p21-R-V	-0.127950286
p27-R-V	-0.473378787
p27_pT157-R-C	0.045512474
p27_pT198-R-V	-0.029763507
p38_MAPK-R-V	-0.060317162
p38_pT180_Y182-R-V	-0.167932328
p53-R-E	-0.0629343239999999
p62-LCK-ligand-M-C	0.423213099
p70S6K-R-V	0.165088334
p70S6K_pT389-R-V	0.173349735
p90RSK-R-C	0.437842732
p90RSK_pT359_S363-R-C	0.661472096
PAI-1-M-E	-0.695484482
PARP_cleaved-M-E	-0.295310862
Paxillin-R-C	0.045180079
PCNA-M-C	0.148909231
PDCD4-R-C	0.711786232
PDK1-R-V	0.185349373
PDK1_pS241-R-V	0.250899471
PEA15-R-V	-0.332464549
PEA15_pS116-R-V	0.00788637500000003
PI3K-p110-alpha-R-C	-0.087134319
PI3K-p85-R-V	-0.05016411
PKC-alpha-M-V	-0.547413109
PKC-alpha_pS657-R-C	-0.881366304
PKC-delta_pS664-R-V	-0.0402221340000001
PKC-pan_BetaII_pS660-R-V	0.780893419
PR-R-V	-0.142260618
PRAS40_pT246-R-V	0.554097404
PRDX1-R-V	0.963434965
PREX1-R-E	-0.32307017
PTEN-R-V	0.035475721
Rab11-R-E	0.0470029750000001
Rab25-R-V	0.998538331
Rad50-M-V	-0.010150883
Rad51-R-V	-0.246163003
Raptor-R-V	-0.062124671
Rb-M-E	-0.31605624
Rb_pS807_S811-R-V	0.827518028
RBM15-R-V	0.11738932
Rictor-R-C	-0.302775627
Rictor_pT1135-R-V	0.050288202
S6-R-E	0.13366354
S6_pS235_S236-R-V	1.378333814
S6_pS240_S244-R-V	1.353508448
SCD-M-V	0.113616609
SETD2-R-E	1.08979424
SF2-M-V	-0.0763805730000001
Shc_pY317-R-E	0.569825681
Smac-M-E	-0.210179264
Smad1-R-V	0.093994396
Smad3-R-V	0.115785833
Smad4-M-V	-0.055234573
Snail-M-E	-0.703821788
Src-M-V	0.124104634
Src_pY416-R-C	2.342236039
Src_pY527-R-V	0.821128696
STAT3_pY705-R-V	-0.227238803
STAT5-alpha-R-V	1.130019525
Stathmin-R-V	-0.313999436
Syk-M-V	0.170251346
TAZ-R-V	-0.177827711
TIGAR-R-V	-0.236754545
Transglutaminase-M-V	-0.605826236
TFRC-R-V	1.258290728
TSC1-R-C	-0.046949717
TTF1-R-V	0.0300107310000001
Tuberin-R-E	0.13430749
Tuberin_pT1462-R-V	-0.0217622599999999
VEGFR2-R-V	-0.077619156
EPPK1-M-E	-0.729281859
XBP1-G-C	-0.635236989
XRCC1-R-E	-0.138503563
YAP-R-E	0.081630811
YAP_pS127-R-E	-0.175702889
YB-1-R-V	0.338881585
YB-1_pS102-R-V	0.953301
JAB1-M-C	-0.0750214230000003
PARP1-R-V	0.0571172679999999
A-Raf-R-V	0.239044039
ARID1A-R-C	0.372314783
B-Raf_pS445-R-V	-0.05094793
Bcl2A1-R-V	-0.078559074
BRD4-R-V	0.303979046
c-Abl-R-V	-0.106969621
Caspase-3-R-C	0.139347068
CD26-R-V	-0.063529262
Chk1_pS296-R-V	-0.073041056
COG3-R-V	0.168494399
DUSP4-R-V	-0.354713795
ERCC5-R-C	0.215175056
IGF1R_pY1135_Y1136-R-V	-0.157719759
IRF-1-R-C	0.517644211
Jak2-R-V	0.58434658
p16_INK4a-R-V	0.155378033
SHP-2_pY542-R-C	1.028844395
CDK1_pY15-R-C	0.923763404
