Sample REF	3B37639D-EC0D-426D-ABC5-9243B346F13D
ER-alpha-R-V	0.788140684
ER-alpha_pS118-R-V	-0.041279147
ERCC1-M-V	-0.0422335959999999
ERK2-R-E	0.032608229
ETS-1-R-V	0.250640816
FASN-R-V	-0.0159397639999999
Fibronectin-R-V	0.920441242
FoxM1-R-V	-0.051317099
FOXO3a-R-C	-0.133566684
FOXO3a_pS318_S321-R-C	0.067783977
G6PD-M-V	2.167482328
GAB2-R-V	0.211677182
GAPDH-M-C	0.402908599
GATA3-M-V	0.919029513
GSK3-alpha-beta-M-V	-0.219081012
GSK3-alpha-beta_pS21_S9-R-V	0.15873556
GSK3_pS9-R-V	0.259300734
HER2-M-V	-0.07917644
HER2_pY1248-R-C	-0.113339956
HER3-R-V	-0.626615285
HER3_pY1289-R-C	0.150269614
Heregulin-R-V	-0.256083311
HSP70-R-C	0.309851964
IGFBP2-R-V	0.279569724
INPP4B-R-V	-0.0857696159999996
IRS1-R-V	0.352859075
JNK_pT183_pY185-R-V	-0.171007144
JNK2-R-C	0.00515083700000002
Ku80-R-C	0.0675221200000001
Lck-R-V	0.00510190599999999
LKB1-M-E	0.072016667
MAPK_pT202_Y204-R-V	-0.248211678
MEK1-R-V	0.14228747
MEK1_pS217_S221-R-V	0.069299399
MIG-6-M-V	0.063681361
Mre11-R-C	0.090445833
MSH2-M-V	-0.203495089
MSH6-R-C	0.00408835800000001
mTOR-R-V	-0.0689645809999999
mTOR_pS2448-R-C	0.00738848900000005
MYH11-R-V	1.692685479
Myosin-IIa_pS1943-R-V	-0.16304223
N-Cadherin-R-V	0.389776311
N-Ras-M-V	0.069745135
NDRG1_pT346-R-V	0.114518269
NF-kB-p65_pS536-R-C	0.0936622429999999
NF2-R-C	-0.059433547
Notch1-R-V	0.687551517
P-Cadherin-R-C	-0.112954469
p21-R-V	-1.254258317
p27-R-V	-0.248050563
p27_pT157-R-C	0
p27_pT198-R-V	0.092050302
p38_MAPK-R-V	-0.133566684
p38_pT180_Y182-R-V	-0.201440757
p53-R-E	0.231960879
p62-LCK-ligand-M-C	0.688113025
p70S6K-R-V	0.00250581100000002
p70S6K_pT389-R-V	0.233857103
p90RSK-R-C	0.357893481
p90RSK_pT359_S363-R-C	0.591029382
PAI-1-M-E	2.64199912
PARP_cleaved-M-E	-0.235937229
Paxillin-R-C	0.550486408
PCNA-M-C	-0.057609278
PDCD4-R-C	-0.515711802
PDK1-R-V	-0.069945913
PDK1_pS241-R-V	-0.088970474
PEA15-R-V	0.099073144
PEA15_pS116-R-V	0.489987897
PI3K-p110-alpha-R-C	-0.225404012
PI3K-p85-R-V	0.030779069
PKC-alpha-M-V	-0.005920337
PKC-alpha_pS657-R-C	-0.0156277820000001
PKC-delta_pS664-R-V	0.100995074
PKC-pan_BetaII_pS660-R-V	0.581214721
PR-R-V	0.0505488690000001
PRAS40_pT246-R-V	0.035688434
PRDX1-R-V	0.314529538
PREX1-R-E	0.081378094
PTEN-R-V	-0.094925519
Rab11-R-E	-0.026178579
Rab25-R-V	-0.628261373
Rad50-M-V	-0.257418853
Rad51-R-V	0.680058562
Raptor-R-V	0.066739152
Rb-M-E	-0.155048198
Rb_pS807_S811-R-V	-0.133566684
RBM15-R-V	0.340765668
Rictor-R-C	0.408105456
Rictor_pT1135-R-V	0.00111128499999999
S6-R-E	-0.094662057
S6_pS235_S236-R-V	-0.025650686
S6_pS240_S244-R-V	-0.108024453
SCD-M-V	-0.012237739
SETD2-R-E	-0.133566684
SF2-M-V	-0.125861121
Shc_pY317-R-E	-0.157997592
Smac-M-E	-0.356127712
Smad1-R-V	0.043498377
Smad3-R-V	0.098547557
Smad4-M-V	-0.072724781
Snail-M-E	-0.387803567
Src-M-V	-0.097581647
Src_pY416-R-C	-0.697932967
Src_pY527-R-V	-0.569332854
STAT3_pY705-R-V	-0.414127514
STAT5-alpha-R-V	0.144591036
Stathmin-R-V	-0.017583312
Syk-M-V	0.383800327
TAZ-R-V	0.064921291
TIGAR-R-V	0.031492445
Transglutaminase-M-V	-0.52886251
TFRC-R-V	0.374360201
TSC1-R-C	0.110825797
TTF1-R-V	0.212001365
Tuberin-R-E	0.200750428
Tuberin_pT1462-R-V	0.186058618
VEGFR2-R-V	-0.018188999
EPPK1-M-E	-1.551704566
XBP1-G-C	0.0118351740000001
XRCC1-R-E	-0.35064815
YAP-R-E	-0.163276717
YAP_pS127-R-E	-0.117386826
YB-1-R-V	0.211697758
YB-1_pS102-R-V	0.319967295
JAB1-M-C	-0.0737057809999999
PARP1-R-V	-0.379932694
A-Raf-R-V	-0.011197584
ARID1A-R-C	-0.00740332599999999
B-Raf_pS445-R-V	0.183173608
Bcl2A1-R-V	0.31267619
BRD4-R-V	0.112522119
c-Abl-R-V	-0.010853255
Caspase-3-R-C	-0.0525176579999999
CD26-R-V	-0.00467960200000006
Chk1_pS296-R-V	0.150081773
COG3-R-V	0.105608471
DUSP4-R-V	-0.462440445
ERCC5-R-C	-0.434695242
IGF1R_pY1135_Y1136-R-V	0.0425506500000001
IRF-1-R-C	0.239501728
Jak2-R-V	0.211435718
p16_INK4a-R-V	0.156345139
SHP-2_pY542-R-C	-0.321895863
CDK1_pY15-R-C	-0.190283885
