Sample REF	6614076A-C936-48EA-97E2-3A12301EDC8A
G6PD-M-V	-0.0410084770000002
GAB2-R-V	0.498133405
GAPDH-M-C	0.029203978
GATA3-M-V	-0.645034807
GSK3-alpha-beta-M-V	0.0570387279999999
GSK3-alpha-beta_pS21_S9-R-V	0.338695346
GSK3_pS9-R-V	0.195923694
HER2-M-V	0.285956626
HER2_pY1248-R-C	-0.074293712
HER3-R-V	-0.0813959
HER3_pY1289-R-C	-0.172534671
Heregulin-R-V	-0.087958596
HSP70-R-C	-0.081524623
IGFBP2-R-V	2.233171178
INPP4B-R-V	-0.0508321689999999
IRS1-R-V	0.212378158
JNK_pT183_pY185-R-V	-0.261362335
JNK2-R-C	-0.034106497
Ku80-R-C	0.463570023
Lck-R-V	-0.451775802
LKB1-M-E	-0.083379803
MAPK_pT202_Y204-R-V	-0.664281632
MEK1-R-V	-0.562924103
MEK1_pS217_S221-R-V	-0.247221084
MIG-6-M-V	-0.017280268
Mre11-R-C	-0.0574122579999999
MSH2-M-V	0.442248865
MSH6-R-C	0.541754401
mTOR-R-V	0.208102243
mTOR_pS2448-R-C	0.0948500170000001
MYH11-R-V	1.346715676
Myosin-IIa_pS1943-R-V	-0.18835789
N-Cadherin-R-V	-0.106962919
N-Ras-M-V	-0.149625306
NDRG1_pT346-R-V	0.0821273039999999
NF-kB-p65_pS536-R-C	0.753644674
NF2-R-C	0.03871779
Notch1-R-V	0.122540194
P-Cadherin-R-C	-0.0501582070000001
p21-R-V	-0.390343688
p27-R-V	0.182507115
p27_pT157-R-C	-0.020168009
p27_pT198-R-V	0.082554193
p38_MAPK-R-V	-0.214986916
p38_pT180_Y182-R-V	-0.495066877
p53-R-E	-0.0809014199999999
p62-LCK-ligand-M-C	0.148004466
p70S6K-R-V	0.141981122
p70S6K_pT389-R-V	-0.173091235
p90RSK-R-C	0.023253113
p90RSK_pT359_S363-R-C	-0.444744091
PAI-1-M-E	-0.739415532
PARP_cleaved-M-E	0.103359275
Paxillin-R-C	0.394140719
PCNA-M-C	0.451951754
PDCD4-R-C	-0.609246861
PDK1-R-V	-0.096871033
PDK1_pS241-R-V	-0.10979398
PEA15-R-V	-0.0495141720000001
PEA15_pS116-R-V	0.172283112
PI3K-p110-alpha-R-C	-0.044547099
PI3K-p85-R-V	0.118435555
PKC-alpha-M-V	0.204564043
PKC-alpha_pS657-R-C	0.47105219
PKC-delta_pS664-R-V	0.118880264
PKC-pan_BetaII_pS660-R-V	0.148374676
PR-R-V	-0.0763334139999999
PRAS40_pT246-R-V	0.140465553
PRDX1-R-V	-0.425701919
PREX1-R-E	-0.549858613
PTEN-R-V	0.445069653
Rab11-R-E	-0.088819265
Rab25-R-V	0.184933433
Rad50-M-V	-0.243483226
Rad51-R-V	-0.250303695
Raptor-R-V	0.273016438
Rb-M-E	-0.15048802
Rb_pS807_S811-R-V	0.504301165
RBM15-R-V	0.468674859
Rictor-R-C	1.175895815
Rictor_pT1135-R-V	-0.105221704
S6-R-E	0.101863457
S6_pS235_S236-R-V	-0.154118892
S6_pS240_S244-R-V	0.713465813
SCD-M-V	0.044592108
SETD2-R-E	0.00737191700000006
SF2-M-V	0.329228936
Shc_pY317-R-E	-0.352862335
Smac-M-E	-0.0355530329999999
Smad1-R-V	-0.0987110409999999
Smad3-R-V	0.036205822
Smad4-M-V	0.183011163
Snail-M-E	-0.14073325
Src-M-V	0.13756588
Src_pY416-R-C	-0.628613453
Src_pY527-R-V	-0.148741529
STAT3_pY705-R-V	0.028125545
STAT5-alpha-R-V	-0.273930009
Stathmin-R-V	0.00339143799999997
Syk-M-V	-0.406088635
TAZ-R-V	0.228661401
TIGAR-R-V	0.053170594
Transglutaminase-M-V	-0.0378584060000001
TFRC-R-V	0.38416167
TSC1-R-C	0.498696128
TTF1-R-V	0.128639102
Tuberin-R-E	0.103576353
Tuberin_pT1462-R-V	-0.061307345
VEGFR2-R-V	-0.326513475
EPPK1-M-E	-0.137645373
XBP1-G-C	0.563048768
XRCC1-R-E	0.1462247
YAP-R-E	-0.137285944
YAP_pS127-R-E	0.348739486
YB-1-R-V	0.287176577
YB-1_pS102-R-V	-0.0446094100000001
JAB1-M-C	-0.214615917
PARP1-R-V	0.608573081
A-Raf-R-V	-0.174574972
ARID1A-R-C	0.302541973
B-Raf_pS445-R-V	0.350652492
Bcl2A1-R-V	-0.15736735
BRD4-R-V	0.396743364
c-Abl-R-V	-0.054044112
Caspase-3-R-C	0.0857759189999999
CD26-R-V	-0.106863713
Chk1_pS296-R-V	-0.031912713
COG3-R-V	-0.020245587
DUSP4-R-V	-0.214289564
ERCC5-R-C	-0.092517266
IGF1R_pY1135_Y1136-R-V	-0.09317718
IRF-1-R-C	-0.159946783
Jak2-R-V	0.058848651
p16_INK4a-R-V	-0.582662564
SHP-2_pY542-R-C	-0.063036499
CDK1_pY15-R-C	0.087010621
