Sample REF	6F7ABE28-0E7B-48F7-9713-F18E9D295340
S6-R-E	-2.078972783
S6_pS235_S236-R-V	-1.659449295
S6_pS240_S244-R-V	-1.27109634
SCD-M-V	0.541942413
SETD2-R-E	0.36742168
SF2-M-V	0.000174056000000311
Shc_pY317-R-E	0.429952235
Smac-M-E	1.029967468
Smad1-R-V	-0.582712442
Smad3-R-V	0.520039271
Smad4-M-V	0.407398318
Snail-M-E	-0.655309946999999
Src-M-V	-0.548340832
Src_pY416-R-C	-1.208988522
Src_pY527-R-V	-0.45299764
STAT3_pY705-R-V	-0.26259112
STAT5-alpha-R-V	-1.901949001
Stathmin-R-V	0.949985801
Syk-M-V	-0.49303003
TAZ-R-V	0.293314786
TIGAR-R-V	0.0837492080000002
Transglutaminase-M-V	-0.193776819
TFRC-R-V	-1.647145423
TSC1-R-C	-1.716404066
TTF1-R-V	0.250700501
Tuberin-R-E	-1.750408479
Tuberin_pT1462-R-V	-0.425770411
VEGFR2-R-V	0.34731372
EPPK1-M-E	-2.006502347
XBP1-G-C	-0.0170147089999999
XRCC1-R-E	0.799879342
YAP-R-E	1.118953513
YAP_pS127-R-E	0.897245307
YB-1-R-V	0.079177896
YB-1_pS102-R-V	-0.205648148
JAB1-M-C	0.550583645
PARP1-R-V	-0.507170953
A-Raf-R-V	-0.105850601
ARID1A-R-C	-1.364654996
B-Raf_pS445-R-V	-0.266276921
Bcl2A1-R-V	1.957584956
BRD4-R-V	-1.014292163
c-Abl-R-V	0.560279616
Caspase-3-R-C	1.082016799
CD26-R-V	-0.213539076
Chk1_pS296-R-V	0.652668032
COG3-R-V	-1.151127237
DUSP4-R-V	0.664127639
ERCC5-R-C	1.091521267
IGF1R_pY1135_Y1136-R-V	0.624802454
IRF-1-R-C	1.010854939
Jak2-R-V	-0.288773081
p16_INK4a-R-V	0.693003233
SHP-2_pY542-R-C	-0.554225848
CDK1_pY15-R-C	-0.0282948159999998
