Sample REF	84C57E10-A656-4563-8F7A-71CD0ECD84B0
NF-kB-p65_pS536-R-C	-0.563725525999999
NF2-R-C	-0.0764060159999995
Notch1-R-V	0.170008495
P-Cadherin-R-C	-0.352445436
p21-R-V	0.634779725
p27-R-V	0.368351246
p27_pT157-R-C	-0.314149214
p27_pT198-R-V	0.548994778
p38_MAPK-R-V	0.4470624
p38_pT180_Y182-R-V	-2.184733777
p53-R-E	-0.562111843
p62-LCK-ligand-M-C	-0.657079916999999
p70S6K-R-V	-0.486583608
p70S6K_pT389-R-V	0.0575086840000003
p90RSK-R-C	-0.228102409
p90RSK_pT359_S363-R-C	-0.296947853
PAI-1-M-E	-0.851131191
PARP_cleaved-M-E	-0.714639038
Paxillin-R-C	0.502561285
PCNA-M-C	-0.292344452
PDCD4-R-C	0.181769529
PDK1-R-V	0.345724958
PDK1_pS241-R-V	0.168183213
PEA15-R-V	0.580807121
PEA15_pS116-R-V	-0.235880095
PI3K-p110-alpha-R-C	-0.193940271
PI3K-p85-R-V	1.16142127
PKC-alpha-M-V	0.422063127
PKC-alpha_pS657-R-C	0.542288782
PKC-delta_pS664-R-V	-0.0326063699999999
PKC-pan_BetaII_pS660-R-V	0.101317528
PR-R-V	0.246100583
PRAS40_pT246-R-V	-0.115471146
PRDX1-R-V	0.383767547
PREX1-R-E	0.447914081
PTEN-R-V	-1.0819425
Rab11-R-E	0.411574348
Rab25-R-V	-1.202617679
Rad50-M-V	0.567012876
Rad51-R-V	0.476563045
Raptor-R-V	0.6637283
Rb-M-E	0.181213424
Rb_pS807_S811-R-V	-1.440621661
RBM15-R-V	-0.654281844
Rictor-R-C	3.348919187
Rictor_pT1135-R-V	0.537349069
S6-R-E	0.18576808
S6_pS235_S236-R-V	-0.417139968
S6_pS240_S244-R-V	-0.633048129
SCD-M-V	-0.331001631
SETD2-R-E	0.33834754
SF2-M-V	-2.861361754
Shc_pY317-R-E	-1.167912796
Smac-M-E	-0.0470513649999995
Smad1-R-V	-0.282241862
Smad3-R-V	0.322721992
Smad4-M-V	-0.327087693
Snail-M-E	-2.203092889
Src-M-V	-0.366167412
Src_pY416-R-C	-1.39891544
Src_pY527-R-V	-0.295199945
STAT3_pY705-R-V	0.294750094
STAT5-alpha-R-V	0.762545632
Stathmin-R-V	0.464997389
Syk-M-V	0.344051043
TAZ-R-V	0.234691729
TIGAR-R-V	-0.0529528829999997
Transglutaminase-M-V	-0.0643535899999996
TFRC-R-V	-0.356068541
TSC1-R-C	0.789469432
TTF1-R-V	0.218953638
Tuberin-R-E	0.338960946
Tuberin_pT1462-R-V	0.812479871000001
VEGFR2-R-V	0.364366868
EPPK1-M-E	-2.133714952
XBP1-G-C	1.665792845
XRCC1-R-E	-0.418764379
YAP-R-E	0.213247188
YAP_pS127-R-E	0.577410254
YB-1-R-V	-0.386334406
YB-1_pS102-R-V	-0.0128237899999997
JAB1-M-C	0.207790922
PARP1-R-V	0.560695949
A-Raf-R-V	0.0694879930000003
ARID1A-R-C	-0.34201699
B-Raf_pS445-R-V	-0.179886357
Bcl2A1-R-V	1.016132903
BRD4-R-V	-0.306434229
c-Abl-R-V	0.106832329
Caspase-3-R-C	-0.45582612
CD26-R-V	1.064690224
Chk1_pS296-R-V	0.128670938
COG3-R-V	-0.0373204989999998
DUSP4-R-V	-0.50467056
ERCC5-R-C	0.482897264
IGF1R_pY1135_Y1136-R-V	0.330040996000001
IRF-1-R-C	0.211771984
Jak2-R-V	0.663149803
p16_INK4a-R-V	-2.283325129
SHP-2_pY542-R-C	-0.517177099999999
CDK1_pY15-R-C	-0.45529439
