Sample REF	5BF84867-52E7-4E3A-9B13-944FA8E8EAC4
JNK_pT183_pY185-R-V	-0.166751741
JNK2-R-C	0.267590936
Ku80-R-C	-0.169212858
Lck-R-V	-0.141378409
LKB1-M-E	-0.00218216699999996
MAPK_pT202_Y204-R-V	-0.684871263
MEK1-R-V	0.420325776
MEK1_pS217_S221-R-V	-0.072471115
MIG-6-M-V	0.105312723
Mre11-R-C	0.0226751160000001
MSH2-M-V	0.0692708709999998
MSH6-R-C	0.208098489
mTOR-R-V	0.0999950859999998
mTOR_pS2448-R-C	-0.129578189
MYH11-R-V	-1.310895341
Myosin-IIa_pS1943-R-V	0.18324872
N-Cadherin-R-V	-0.089782291
N-Ras-M-V	-0.064933027
NDRG1_pT346-R-V	1.035169958
NF-kB-p65_pS536-R-C	0.499704633
NF2-R-C	0.226084287
Notch1-R-V	0.813745998
P-Cadherin-R-C	-0.157617004
p21-R-V	-2.006037987
p27-R-V	-0.0871224230000001
p27_pT157-R-C	-0.0917862659999999
p27_pT198-R-V	-0.053348233
p38_MAPK-R-V	0.00335901400000005
p38_pT180_Y182-R-V	-1.151237092
p53-R-E	-0.00696259999999982
p62-LCK-ligand-M-C	0.357728826
p70S6K-R-V	0.166698525
p70S6K_pT389-R-V	-0.165774826
p90RSK-R-C	0.292816286
p90RSK_pT359_S363-R-C	-0.296175708
PAI-1-M-E	-0.16564718
PARP_cleaved-M-E	-0.204064994
Paxillin-R-C	0.175637278
PCNA-M-C	-0.0549390319999999
PDCD4-R-C	-0.797770832
PDK1-R-V	0.162431281
PDK1_pS241-R-V	0.2323254
PEA15-R-V	-0.0301698770000001
PEA15_pS116-R-V	0.213153071
PI3K-p110-alpha-R-C	0.012261703
PI3K-p85-R-V	0.472412017
PKC-alpha-M-V	-0.191901181
PKC-alpha_pS657-R-C	-0.000747954000000051
PKC-delta_pS664-R-V	-0.0576732050000001
PKC-pan_BetaII_pS660-R-V	-0.156515503
PR-R-V	-0.00860010600000005
PRAS40_pT246-R-V	-0.149043535
PRDX1-R-V	-0.415707438
PREX1-R-E	-0.0770561390000001
PTEN-R-V	0.604476208
Rab11-R-E	0.097887181
Rab25-R-V	0.635587099
Rad50-M-V	-0.038818316
Rad51-R-V	-0.213698644
Raptor-R-V	0.00645787499999995
Rb-M-E	-0.157647225
Rb_pS807_S811-R-V	-0.238185548
RBM15-R-V	0.081337149
Rictor-R-C	-0.031034357
Rictor_pT1135-R-V	0.010536651
S6-R-E	0.094835021
S6_pS235_S236-R-V	-0.39574117
S6_pS240_S244-R-V	-0.091689044
SCD-M-V	-0.0811577349999999
SETD2-R-E	-0.0816617519999999
SF2-M-V	-0.191904456
Shc_pY317-R-E	-0.221109937
Smac-M-E	0.129241622
Smad1-R-V	0.246512624
Smad3-R-V	0.124982819
Smad4-M-V	-0.0703084710000002
Snail-M-E	-0.166945848
Src-M-V	0.895649912
Src_pY416-R-C	-0.403731667
Src_pY527-R-V	-0.287232217
STAT3_pY705-R-V	0.0694855240000001
STAT5-alpha-R-V	0.67016468
Stathmin-R-V	-0.054603908
Syk-M-V	0.961785211
TAZ-R-V	0.0326780609999999
TIGAR-R-V	0.148838643
Transglutaminase-M-V	-0.383825928
TFRC-R-V	0.787415661
TSC1-R-C	0.210086012
TTF1-R-V	0.132279392
Tuberin-R-E	0.499625084
Tuberin_pT1462-R-V	-0.068421284
VEGFR2-R-V	0.490729047
EPPK1-M-E	1.230409793
XBP1-G-C	-0.0832677230000001
XRCC1-R-E	-0.214684983
YAP-R-E	0.240632359
YAP_pS127-R-E	-0.191714833
YB-1-R-V	0.393907061
YB-1_pS102-R-V	0.076157826
JAB1-M-C	-0.0465827650000001
PARP1-R-V	0.223963632
A-Raf-R-V	0.457658446
ARID1A-R-C	0.645747829
B-Raf_pS445-R-V	-0.196618267
Bcl2A1-R-V	0.0549944410000001
BRD4-R-V	0.641091465
c-Abl-R-V	0.129554984
Caspase-3-R-C	0.216867143
CD26-R-V	-0.0696628410000001
Chk1_pS296-R-V	0
COG3-R-V	-0.016828614
DUSP4-R-V	-0.361925687
ERCC5-R-C	-0.138099075
IGF1R_pY1135_Y1136-R-V	0.026512673
IRF-1-R-C	0.129074283
Jak2-R-V	0.570959799
p16_INK4a-R-V	-0.131770506
SHP-2_pY542-R-C	-0.15344378
CDK1_pY15-R-C	-0.37683033
