Sample REF	58CD44F1-118D-4675-A3F8-0F28F8F98EF9
LKB1-M-E	-0.0291096659999999
MAPK_pT202_Y204-R-V	0.033344805
MEK1-R-V	-0.827025528
MEK1_pS217_S221-R-V	0.0569684640000001
MIG-6-M-V	0.0789010430000001
Mre11-R-C	-0.147485388
MSH2-M-V	0.210061844
MSH6-R-C	0.587542399
mTOR-R-V	-0.111492968
mTOR_pS2448-R-C	-0.110455353
MYH11-R-V	2.011995626
Myosin-IIa_pS1943-R-V	0.366424725
N-Cadherin-R-V	0.300990641
N-Ras-M-V	-0.145078674
NDRG1_pT346-R-V	-1.321789676
NF-kB-p65_pS536-R-C	-0.163576088
NF2-R-C	0.59148094
Notch1-R-V	0.499408449
P-Cadherin-R-C	-0.0396810069999998
p21-R-V	-1.940917851
p27-R-V	-0.0271780989999999
p27_pT157-R-C	0.111641326
p27_pT198-R-V	-0.0991052809999999
p38_MAPK-R-V	-0.197417289
p38_pT180_Y182-R-V	-0.407126949
p53-R-E	-0.224928623
p62-LCK-ligand-M-C	1.394187158
p70S6K-R-V	0.207228181
p70S6K_pT389-R-V	-0.172260498
p90RSK-R-C	0.124978804
p90RSK_pT359_S363-R-C	0.462989199
PAI-1-M-E	0.117671698
PARP_cleaved-M-E	-0.300136955
Paxillin-R-C	0.896933453
PCNA-M-C	0.24278472
PDCD4-R-C	0.912246987
PDK1-R-V	-0.119780144
PDK1_pS241-R-V	-0.382216454
PEA15-R-V	0.0305706690000001
PEA15_pS116-R-V	1.798792079
PI3K-p110-alpha-R-C	-0.167673742
PI3K-p85-R-V	-0.193962112
PKC-alpha-M-V	0.336429541
PKC-alpha_pS657-R-C	0.600107373
PKC-delta_pS664-R-V	0.124632437
PKC-pan_BetaII_pS660-R-V	0.22316875
PR-R-V	0.137829665
PRAS40_pT246-R-V	0.14973254
PRDX1-R-V	-0.253687623
PREX1-R-E	-0.319204648
PTEN-R-V	0.48273772
Rab11-R-E	0.0624966190000002
Rab25-R-V	-0.381642543
Rad50-M-V	0.386813471
Rad51-R-V	-0.469515448
Raptor-R-V	0.247985065
Rb-M-E	0.0302001140000001
Rb_pS807_S811-R-V	-0.344210487
RBM15-R-V	0.560307785
Rictor-R-C	0.430399056
Rictor_pT1135-R-V	0.0427125900000001
S6-R-E	-0.0527084729999999
S6_pS235_S236-R-V	0.558117589
S6_pS240_S244-R-V	0.241861078
SCD-M-V	-0.0304320869999999
SETD2-R-E	-0.104682253
SF2-M-V	0.0256245740000003
Shc_pY317-R-E	-0.358535213
Smac-M-E	-0.0735082199999998
Smad1-R-V	0.0737243800000001
Smad3-R-V	0.205645309
Smad4-M-V	0.194654138
Snail-M-E	-0.270176644
Src-M-V	-0.0740083759999999
Src_pY416-R-C	-0.767535596
Src_pY527-R-V	-1.479636329
STAT3_pY705-R-V	-0.217609927
STAT5-alpha-R-V	0.239619409
Stathmin-R-V	-0.0419030959999999
Syk-M-V	0.186989483
TAZ-R-V	0.358682632
TIGAR-R-V	-0.175848154
Transglutaminase-M-V	-0.128097273
TFRC-R-V	1.5301695
TSC1-R-C	-0.0907550349999999
TTF1-R-V	0.92255388
Tuberin-R-E	-0.0342558099999999
Tuberin_pT1462-R-V	-0.0183686589999998
VEGFR2-R-V	0.0991871790000001
EPPK1-M-E	0.276301317
XBP1-G-C	0.0111635110000001
XRCC1-R-E	0.0500526250000002
YAP-R-E	-0.241599689
YAP_pS127-R-E	-0.370391498
YB-1-R-V	0.520199609
YB-1_pS102-R-V	1.071922351
JAB1-M-C	-0.0354032179999999
PARP1-R-V	0.212422438
A-Raf-R-V	0.0682084850000001
ARID1A-R-C	0.186009214
B-Raf_pS445-R-V	0.0607964130000001
Bcl2A1-R-V	-0.154770346
BRD4-R-V	0.564654355
c-Abl-R-V	0.19174498
Caspase-3-R-C	0.018804276
CD26-R-V	0.0932207670000001
Chk1_pS296-R-V	0.00169346900000017
COG3-R-V	0.0201872650000001
DUSP4-R-V	-0.465759163
ERCC5-R-C	-0.320955437
IGF1R_pY1135_Y1136-R-V	-0.198988996
IRF-1-R-C	0.12637387
Jak2-R-V	0.49388356
p16_INK4a-R-V	-0.0546365209999999
SHP-2_pY542-R-C	-0.478781814
CDK1_pY15-R-C	-0.478930866
