Sample REF	7BB3C290-D76B-4013-B020-527ADA351E3F
PEA15_pS116-R-V	-0.181186322
PI3K-p110-alpha-R-C	-0.0814861779999999
PI3K-p85-R-V	-0.143907352
PKC-alpha-M-V	0.0368672050000001
PKC-alpha_pS657-R-C	0.196548963
PKC-delta_pS664-R-V	-0.286378711
PKC-pan_BetaII_pS660-R-V	-0.785938656
PR-R-V	0.100194268
PRAS40_pT246-R-V	-0.069583257
PRDX1-R-V	-0.030954621
PREX1-R-E	-0.040142133
PTEN-R-V	0.0665458880000001
Rab11-R-E	-0.016773978
Rab25-R-V	-1.279374079
Rad50-M-V	-0.192825705
Rad51-R-V	0.178896365
Raptor-R-V	0.114240952
Rb-M-E	-0.345546182
Rb_pS807_S811-R-V	-0.13737158
RBM15-R-V	0.084383442
Rictor-R-C	-0.448323193
Rictor_pT1135-R-V	0.139131959
S6-R-E	0.189744862
S6_pS235_S236-R-V	-1.256973054
S6_pS240_S244-R-V	-1.037750997
SCD-M-V	0.34833604
SETD2-R-E	-0.104129032
SF2-M-V	-1.007456736
Shc_pY317-R-E	-0.015783715
Smac-M-E	0.053752252
Smad1-R-V	-0.233627462
Smad3-R-V	-0.01444073
Smad4-M-V	-0.179847378
Snail-M-E	-0.402848447
Src-M-V	-0.239734741
Src_pY416-R-C	0.507335485
Src_pY527-R-V	-1.123206693
STAT3_pY705-R-V	-0.206462235
STAT5-alpha-R-V	0.142671085
Stathmin-R-V	0.16124884
Syk-M-V	-0.474794248
TAZ-R-V	-0.088286901
TIGAR-R-V	0.112332095
Transglutaminase-M-V	-0.321807456
TFRC-R-V	1.644755777
TSC1-R-C	0.272762079
TTF1-R-V	-0.146853611
Tuberin-R-E	0.189616474
Tuberin_pT1462-R-V	-0.304550536
VEGFR2-R-V	0.365753214
EPPK1-M-E	0.847837481
XBP1-G-C	-1.01969701
XRCC1-R-E	-0.288914857
YAP-R-E	3.22923981
YAP_pS127-R-E	3.794345924
YB-1-R-V	0.175566501
YB-1_pS102-R-V	0.292856047
JAB1-M-C	0.00589157500000015
PARP1-R-V	-0.509705204
A-Raf-R-V	0.0886874520000001
ARID1A-R-C	-0.164298422
B-Raf_pS445-R-V	-0.197768362
Bcl2A1-R-V	0.336414517
BRD4-R-V	0.0735446620000001
c-Abl-R-V	0.156133624
Caspase-3-R-C	-0.0915329729999999
CD26-R-V	0.00711325499999993
Chk1_pS296-R-V	0.158471357
COG3-R-V	-0.0908114250000001
DUSP4-R-V	-0.182475311
ERCC5-R-C	-0.341264686
IGF1R_pY1135_Y1136-R-V	0.218420309
IRF-1-R-C	-0.23449582
Jak2-R-V	-0.139671192
p16_INK4a-R-V	1.008327426
SHP-2_pY542-R-C	0.367677884
CDK1_pY15-R-C	-0.074184542
