Sample REF	33DF4CED-0F6D-4E70-BD3F-D21D94310B95
Cyclin_E1-M-V	-0.106470512
Cyclin_E2-R-C	0.118870302
DJ-1-R-E	-0.0836370180000001
Dvl3-R-V	0.338068192
E-Cadherin-R-V	0.247198013
eEF2-R-C	0.0563651489999999
eEF2K-R-V	0.06705199
EGFR-R-V	0.437769663
EGFR_pY1068-R-C	0.321524581
EGFR_pY1173-R-V	0.0262499439999999
eIF4E-R-V	0.00692531499999996
eIF4G-R-C	0.774316123
ER-alpha-R-V	-0.697624318
ER-alpha_pS118-R-V	-0.0926790100000001
ERCC1-M-V	-0.101915354
ERK2-R-E	0.126934664
ETS-1-R-V	-0.0586620460000001
FASN-R-V	-0.346819158
Fibronectin-R-V	0.850937822
FoxM1-R-V	-0.075154329
FOXO3a-R-C	-0.0519088320000002
FOXO3a_pS318_S321-R-C	-0.00592487100000011
G6PD-M-V	-0.117177154
GAB2-R-V	0.156896259
GAPDH-M-C	0.202752578
GATA3-M-V	-0.0885320469999999
GSK3-alpha-beta-M-V	0.145463982
GSK3-alpha-beta_pS21_S9-R-V	-0.74415788
GSK3_pS9-R-V	-0.642982524
HER2-M-V	0.0446889899999999
HER2_pY1248-R-C	0.244406187
HER3-R-V	0.398903855
HER3_pY1289-R-C	0.239487173
Heregulin-R-V	-0.0325938280000002
HSP70-R-C	0.08964002
IGFBP2-R-V	1.100228148
INPP4B-R-V	-0.0343798029999999
IRS1-R-V	0.0986705949999999
JNK_pT183_pY185-R-V	-0.0456546269999999
JNK2-R-C	0.0463404069999999
Ku80-R-C	0.097275982
Lck-R-V	0.237404838
LKB1-M-E	-0.050067384
MAPK_pT202_Y204-R-V	0.0114181599999999
MEK1-R-V	0.319145523
MEK1_pS217_S221-R-V	-0.0120093900000001
MIG-6-M-V	0.184162201
Mre11-R-C	-0.0572723330000001
MSH2-M-V	-0.101930468
MSH6-R-C	-0.032931369
mTOR-R-V	-0.0937582409999999
mTOR_pS2448-R-C	-0.122624666
MYH11-R-V	-0.0548554060000001
Myosin-IIa_pS1943-R-V	-0.0631566450000001
N-Cadherin-R-V	-0.279181334
N-Ras-M-V	-0.0190169070000001
NDRG1_pT346-R-V	-0.995081002
NF-kB-p65_pS536-R-C	-0.129388937
NF2-R-C	0.228142185
Notch1-R-V	0.630268957
P-Cadherin-R-C	-0.0452891400000001
p21-R-V	-1.226302967
p27-R-V	-0.0137730960000002
p27_pT157-R-C	-0.107812387
p27_pT198-R-V	0.0993854819999999
p38_MAPK-R-V	0.013001585
p38_pT180_Y182-R-V	-0.651246536
p53-R-E	-0.0802931129999999
p62-LCK-ligand-M-C	0.189433006
p70S6K-R-V	-0.00422534500000005
p70S6K_pT389-R-V	-0.188956201
p90RSK-R-C	0.54359089
p90RSK_pT359_S363-R-C	0.273796971
PAI-1-M-E	2.045921619
PARP_cleaved-M-E	-0.203973153
Paxillin-R-C	0.177824169
PCNA-M-C	-0.0747836480000001
PDCD4-R-C	0.635064111
PDK1-R-V	-0.122145492
PDK1_pS241-R-V	-0.0753128440000001
PEA15-R-V	-0.112744022
PEA15_pS116-R-V	-0.079565208
PI3K-p110-alpha-R-C	0.0780948689999999
PI3K-p85-R-V	0.333105914
PKC-alpha-M-V	0.221024553
PKC-alpha_pS657-R-C	0.0304881169999998
PKC-delta_pS664-R-V	-0.163582289
PKC-pan_BetaII_pS660-R-V	-0.0322489200000001
PR-R-V	0.0495122879999999
PRAS40_pT246-R-V	0
PRDX1-R-V	-0.103311394
PREX1-R-E	-0.0631972990000002
PTEN-R-V	0.572265448
Rab11-R-E	-0.078580422
Rab25-R-V	0.26176284
Rad50-M-V	-0.320214125
Rad51-R-V	-0.269100592
Raptor-R-V	-0.00615952200000006
Rb-M-E	0.00557135299999995
Rb_pS807_S811-R-V	-0.189968116
RBM15-R-V	-0.0120102350000001
Rictor-R-C	-0.213198531
Rictor_pT1135-R-V	0.0486863999999999
S6-R-E	0.111402846
S6_pS235_S236-R-V	0.366081147
S6_pS240_S244-R-V	-0.0242751000000003
SCD-M-V	-0.098539899
SETD2-R-E	-0.0400028359999999
SF2-M-V	-0.155331371
Shc_pY317-R-E	-0.0599792490000001
Smac-M-E	-0.816556978
Smad1-R-V	0.183534214
Smad3-R-V	0.0482027949999999
Smad4-M-V	0.197129514
Snail-M-E	0.126150601
Src-M-V	-0.320191314
Src_pY416-R-C	-0.271318557
Src_pY527-R-V	0.432483424
STAT3_pY705-R-V	-0.341186962
STAT5-alpha-R-V	0.111339401
Stathmin-R-V	0.0231692599999999
Syk-M-V	0.339139379
TAZ-R-V	0.0260278519999999
TIGAR-R-V	0.06246618
Transglutaminase-M-V	-0.573815759
TFRC-R-V	0.0807328669999999
TSC1-R-C	0.0913968689999999
TTF1-R-V	0.040399152
Tuberin-R-E	0.0693338319999999
Tuberin_pT1462-R-V	-0.152730194
VEGFR2-R-V	0.328588334
EPPK1-M-E	0.481674399
XBP1-G-C	-0.0449592119999999
XRCC1-R-E	-0.343894828
YAP-R-E	0.271758061
YAP_pS127-R-E	0.466156559
YB-1-R-V	0.324646107
YB-1_pS102-R-V	0.235072454
JAB1-M-C	-0.039638384
PARP1-R-V	-0.403064186
A-Raf-R-V	0.0849674919999999
ARID1A-R-C	0.576876087
B-Raf_pS445-R-V	-0.0430217460000001
Bcl2A1-R-V	0.0312111399999999
BRD4-R-V	0.274667249
c-Abl-R-V	-0.017859376
Caspase-3-R-C	0.084024095
CD26-R-V	-0.0564899680000001
Chk1_pS296-R-V	-0.029657896
COG3-R-V	0.169128175
DUSP4-R-V	-0.231782503
ERCC5-R-C	-0.302112473
IGF1R_pY1135_Y1136-R-V	-0.039094244
IRF-1-R-C	0.21863174
Jak2-R-V	0.034561212
p16_INK4a-R-V	-0.135427017
SHP-2_pY542-R-C	0.262336591
CDK1_pY15-R-C	0.237127344
