Sample REF	49680150-87AC-4D5E-A4CE-CE96E2997D53
ERK2-R-E	0.734060498
ETS-1-R-V	0.882914328
FASN-R-V	-0.549400965
Fibronectin-R-V	-0.388707111
FoxM1-R-V	0.0840786880000001
FOXO3a-R-C	-0.0822091240000001
FOXO3a_pS318_S321-R-C	-0.0739638020000001
G6PD-M-V	-0.100736584
GAB2-R-V	-0.294524028
GAPDH-M-C	0.907395309
GATA3-M-V	-0.159027184
GSK3-alpha-beta-M-V	-0.087508692
GSK3-alpha-beta_pS21_S9-R-V	-0.008092985
GSK3_pS9-R-V	0.168945216
HER2-M-V	1.451629234
HER2_pY1248-R-C	-0.057413277
HER3-R-V	-0.470358687
HER3_pY1289-R-C	0.321434688
Heregulin-R-V	0.269108718
HSP70-R-C	-0.359876766
IGFBP2-R-V	-0.309287924
INPP4B-R-V	-0.400520348
IRS1-R-V	-0.090904465
JNK_pT183_pY185-R-V	-0.108246275
JNK2-R-C	0.0249473210000001
Ku80-R-C	-0.194646731
Lck-R-V	0.950861832
LKB1-M-E	-0.139082492
MAPK_pT202_Y204-R-V	-0.145672444
MEK1-R-V	0.473793456
MEK1_pS217_S221-R-V	-0.00915965099999999
MIG-6-M-V	-0.00390730900000003
Mre11-R-C	-0.187203607
MSH2-M-V	-0.165969123
MSH6-R-C	0.194666031
mTOR-R-V	-0.324526819
mTOR_pS2448-R-C	-0.288671769
MYH11-R-V	-0.043097941
Myosin-IIa_pS1943-R-V	0.676257994
N-Cadherin-R-V	0.492600527
N-Ras-M-V	-0.181430424
NDRG1_pT346-R-V	1.493462559
NF-kB-p65_pS536-R-C	-0.265468097
NF2-R-C	1.338251718
Notch1-R-V	0.150636854
P-Cadherin-R-C	-0.0314144890000002
p21-R-V	0.328130864
p27-R-V	0.081281364
p27_pT157-R-C	-0.164998624
p27_pT198-R-V	-0.122058741
p38_MAPK-R-V	0.325366708
p38_pT180_Y182-R-V	0.936532367
p53-R-E	-0.0892677019999998
p62-LCK-ligand-M-C	0.072393276
p70S6K-R-V	0.068359931
p70S6K_pT389-R-V	-0.01740405
p90RSK-R-C	0.23441979
p90RSK_pT359_S363-R-C	0.477179484
PAI-1-M-E	0.404326608
PARP_cleaved-M-E	-0.185370977
Paxillin-R-C	-0.206595735
PCNA-M-C	0.474815696
PDCD4-R-C	0.832790892
PDK1-R-V	0.22961486
PDK1_pS241-R-V	0.112148949
PEA15-R-V	0.049843412
PEA15_pS116-R-V	2.131675681
PI3K-p110-alpha-R-C	-0.302665925
PI3K-p85-R-V	0.132129391
PKC-alpha-M-V	-0.00344628800000002
PKC-alpha_pS657-R-C	-0.281102609
PKC-delta_pS664-R-V	-0.0191263070000002
PKC-pan_BetaII_pS660-R-V	0.449247492
PR-R-V	-0.142608784
PRAS40_pT246-R-V	-0.156764409
PRDX1-R-V	-0.293784178
PREX1-R-E	-0.118953723
PTEN-R-V	0.4674939
Rab11-R-E	0.294370461
Rab25-R-V	0.024213382
Rad50-M-V	0.166561856
Rad51-R-V	-0.236264083
Raptor-R-V	-0.359111945
Rb-M-E	0.0494629479999998
Rb_pS807_S811-R-V	-0.043690186
RBM15-R-V	0.057709024
Rictor-R-C	-0.677931446
Rictor_pT1135-R-V	-0.060649503
S6-R-E	-0.011272132
S6_pS235_S236-R-V	0.668142091
S6_pS240_S244-R-V	0.64582504
SCD-M-V	-0.022757943
SETD2-R-E	-0.14226948
SF2-M-V	-0.0300763719999998
Shc_pY317-R-E	-0.063593678
Smac-M-E	-0.213188211
Smad1-R-V	-0.126421346
Smad3-R-V	0.092527501
Smad4-M-V	-0.0350281900000001
Snail-M-E	0.148421821
Src-M-V	-0.332561542
Src_pY416-R-C	-0.087508692
Src_pY527-R-V	-0.287917115
STAT3_pY705-R-V	0.782110323
STAT5-alpha-R-V	0.364142296
Stathmin-R-V	-0.232163161
Syk-M-V	0.243548656
TAZ-R-V	0.429022471
TIGAR-R-V	0.068374838
Transglutaminase-M-V	-0.14207974
TFRC-R-V	0.351355433
TSC1-R-C	-0.114564164
TTF1-R-V	0.785797993
Tuberin-R-E	-0.200170816
Tuberin_pT1462-R-V	0.0434758220000001
VEGFR2-R-V	0.819554421
EPPK1-M-E	0.193703072
XBP1-G-C	-0.00486841600000021
XRCC1-R-E	-0.017198266
YAP-R-E	-0.087508692
YAP_pS127-R-E	0.12307899
YB-1-R-V	0.651494042
YB-1_pS102-R-V	0.446976468
JAB1-M-C	-0.0384609130000001
PARP1-R-V	-0.0423577820000001
A-Raf-R-V	-0.185501687
ARID1A-R-C	0.121838671
B-Raf_pS445-R-V	-0.0226461
Bcl2A1-R-V	-0.154267817
BRD4-R-V	-0.0567868829999999
c-Abl-R-V	0.024352792
Caspase-3-R-C	-0.126524069
CD26-R-V	-0.042554116
Chk1_pS296-R-V	-0.174780072
COG3-R-V	-0.279246289
DUSP4-R-V	-0.264326743
ERCC5-R-C	0.334779872
IGF1R_pY1135_Y1136-R-V	-0.24952451
IRF-1-R-C	0.063339872
Jak2-R-V	0.038439684
p16_INK4a-R-V	0.436984947
SHP-2_pY542-R-C	0.0903845470000001
CDK1_pY15-R-C	0
