Sample REF	07182B36-7B4A-4EE6-9A92-E922AC718242
FOXO3a-R-C	-0.0438576370000001
FOXO3a_pS318_S321-R-C	0.10166098
G6PD-M-V	-0.254509185
GAB2-R-V	0.478366488
GAPDH-M-C	-0.240466391
GATA3-M-V	0.703895148
GSK3-alpha-beta-M-V	-0.078137423
GSK3-alpha-beta_pS21_S9-R-V	-0.0174272259999999
GSK3_pS9-R-V	-0.0738837919999999
HER2-M-V	0.170783808
HER2_pY1248-R-C	0.184040282
HER3-R-V	-0.0267044819999999
HER3_pY1289-R-C	-0.320622783
Heregulin-R-V	-0.243412578
HSP70-R-C	0.518934774
IGFBP2-R-V	-0.209928173
INPP4B-R-V	0.159116746
IRS1-R-V	0.149004844
JNK_pT183_pY185-R-V	-0.160594755
JNK2-R-C	0.153755233
Ku80-R-C	0.400223874
Lck-R-V	0.138454013
LKB1-M-E	-0.0189462119999999
MAPK_pT202_Y204-R-V	-0.503125053
MEK1-R-V	0.0956353340000001
MEK1_pS217_S221-R-V	-0.171612148
MIG-6-M-V	-0.1007887
Mre11-R-C	0.0854479790000001
MSH2-M-V	0.266486451
MSH6-R-C	0.0252528700000001
mTOR-R-V	-0.0885927529999999
mTOR_pS2448-R-C	-0.133011315
MYH11-R-V	0.712586676
Myosin-IIa_pS1943-R-V	-0.135243119
N-Cadherin-R-V	-0.104568131
N-Ras-M-V	-0.0824113309999999
NDRG1_pT346-R-V	1.16740229
NF-kB-p65_pS536-R-C	1.156495331
NF2-R-C	-0.348135862
Notch1-R-V	0.618474333
P-Cadherin-R-C	0.11255217
p21-R-V	-0.625425548
p27-R-V	0.382648234
p27_pT157-R-C	-0.100059645
p27_pT198-R-V	0.310830656
p38_MAPK-R-V	0.0895010970000001
p38_pT180_Y182-R-V	0.137669774
p53-R-E	0.266194281
p62-LCK-ligand-M-C	0.150900386
p70S6K-R-V	-0.0346970269999999
p70S6K_pT389-R-V	0.075098171
p90RSK-R-C	-0.0827793139999999
p90RSK_pT359_S363-R-C	-0.0544884939999999
PAI-1-M-E	-1.057205177
PARP_cleaved-M-E	0.046508862
Paxillin-R-C	0.105934778
PCNA-M-C	-0.287827267
PDCD4-R-C	-0.12866424
PDK1-R-V	-0.0451624629999999
PDK1_pS241-R-V	-0.0711615649999999
PEA15-R-V	-0.198325471
PEA15_pS116-R-V	-0.0946031589999999
PI3K-p110-alpha-R-C	0.0692089810000001
PI3K-p85-R-V	-0.0668199499999999
PKC-alpha-M-V	0.255458833
PKC-alpha_pS657-R-C	0.519742419
PKC-delta_pS664-R-V	0.240077673
PKC-pan_BetaII_pS660-R-V	0.189446534
PR-R-V	0.00104637600000013
PRAS40_pT246-R-V	0.0694998450000001
PRDX1-R-V	-0.23100044
PREX1-R-E	0.235449721
PTEN-R-V	0.345380245
Rab11-R-E	-0.0582904129999999
Rab25-R-V	0.607795312
Rad50-M-V	0.0869311370000001
Rad51-R-V	0.56470729
Raptor-R-V	-0.0988335759999999
Rb-M-E	-0.149277624
Rb_pS807_S811-R-V	0.00315568000000011
RBM15-R-V	0.308497925
Rictor-R-C	0.279288321
Rictor_pT1135-R-V	-0.183070945
S6-R-E	-0.158706246
S6_pS235_S236-R-V	-0.691138067
S6_pS240_S244-R-V	-0.545063236
SCD-M-V	-0.0832591209999999
SETD2-R-E	0.0180754480000003
SF2-M-V	-0.0743064039999999
Shc_pY317-R-E	0.187877271
Smac-M-E	-0.456066643
Smad1-R-V	-0.0393912309999999
Smad3-R-V	-0.112820447
Smad4-M-V	0.108963492
Snail-M-E	0.0637941010000003
Src-M-V	0.135429307
Src_pY416-R-C	-0.343526309
Src_pY527-R-V	0.0999137720000002
STAT3_pY705-R-V	-0.10133051
STAT5-alpha-R-V	0.423997251
Stathmin-R-V	-0.105907251
Syk-M-V	0.415533431
TAZ-R-V	-0.0827461099999999
TIGAR-R-V	0.355031866
Transglutaminase-M-V	-0.255805357
TFRC-R-V	-1.626227777
TSC1-R-C	0.0291985450000001
TTF1-R-V	-0.143078675
Tuberin-R-E	0.32739382
Tuberin_pT1462-R-V	0.190125645
VEGFR2-R-V	-0.734954053
EPPK1-M-E	1.493787741
XBP1-G-C	-0.0806977179999999
XRCC1-R-E	-0.0650500929999999
YAP-R-E	0.0748864830000001
YAP_pS127-R-E	-0.0574404099999999
YB-1-R-V	0.0516621750000001
YB-1_pS102-R-V	-0.231964108
JAB1-M-C	-0.070210822
PARP1-R-V	0.192599814
A-Raf-R-V	-0.21443612
ARID1A-R-C	0.181851107
B-Raf_pS445-R-V	0.00868194700000008
Bcl2A1-R-V	0.734695262
BRD4-R-V	0.313061755
c-Abl-R-V	-0.0574637389999999
Caspase-3-R-C	-0.136057847
CD26-R-V	-0.0999782899999999
Chk1_pS296-R-V	-0.0744666779999999
COG3-R-V	0.20848632
DUSP4-R-V	-0.0542674790000002
ERCC5-R-C	0.0883646650000001
IGF1R_pY1135_Y1136-R-V	-0.0544112699999999
IRF-1-R-C	0.359355446
Jak2-R-V	0.0396437650000001
p16_INK4a-R-V	-0.0477013309999999
SHP-2_pY542-R-C	0.126142518
CDK1_pY15-R-C	-0.188036465
