Sample REF	C68D40B8-F4FA-49CF-A16D-CBA515D9EEC9
Tuberin_pT1462-R-V	-0.236826266
VEGFR2-R-V	0.430918749
EPPK1-M-E	-0.904463525
XBP1-G-C	0.145924269
XRCC1-R-E	0.0318841730000001
YAP-R-E	0.114258098
YAP_pS127-R-E	0.0988436900000001
YB-1-R-V	0.024064844
YB-1_pS102-R-V	-0.0621763559999999
JAB1-M-C	0.0738855250000001
PARP1-R-V	0.491869364
A-Raf-R-V	-0.169613298
ARID1A-R-C	0.0795377900000001
B-Raf_pS445-R-V	0.080942468
Bcl2A1-R-V	-0.0417359409999999
BRD4-R-V	-0.143255808
c-Abl-R-V	-0.127122368
Caspase-3-R-C	0.158395019
CD26-R-V	-0.165564131
Chk1_pS296-R-V	-0.113192233
COG3-R-V	-0.553912562
DUSP4-R-V	0.0879423419999998
ERCC5-R-C	0.364234985
IGF1R_pY1135_Y1136-R-V	0.024237001
IRF-1-R-C	-0.456738399
Jak2-R-V	-0.431089868
p16_INK4a-R-V	0.573581571
SHP-2_pY542-R-C	-0.0638544349999999
CDK1_pY15-R-C	0.87614349
