Sample REF	A92FDF5F-D4BE-4084-B677-6AAB64AD1342
BRD4-R-V	-0.438032244
c-Abl-R-V	-0.120095574
Caspase-3-R-C	-0.0670965239999999
CD26-R-V	0.00302478400000006
Chk1_pS296-R-V	0.00801385400000004
COG3-R-V	-0.397968115
DUSP4-R-V	-0.135331485
ERCC5-R-C	0.364881954
IGF1R_pY1135_Y1136-R-V	0.0844744600000001
IRF-1-R-C	-0.362689809
Jak2-R-V	-0.288891405
p16_INK4a-R-V	0.00360726100000008
SHP-2_pY542-R-C	0.438315371
CDK1_pY15-R-C	0.319567191
