Sample REF	84DFB78B-2D19-4F71-BCB0-F7A141BC6690
PKC-alpha-M-V	0.146440369
PKC-alpha_pS657-R-C	0.126532117
PKC-delta_pS664-R-V	-0.105647762
PKC-pan_BetaII_pS660-R-V	-0.906900318
PR-R-V	-0.048543877
PRAS40_pT246-R-V	0.010089493
PRDX1-R-V	0.287178071
PREX1-R-E	0.142273641
PTEN-R-V	0.188969186
Rab11-R-E	0.187454134
Rab25-R-V	0.120321283
Rad50-M-V	-0.473991907
Rad51-R-V	0.142703945
Raptor-R-V	0.034061092
Rb-M-E	-0.147170617
Rb_pS807_S811-R-V	0.283795837
RBM15-R-V	-0.057316898
Rictor-R-C	-0.811975997
Rictor_pT1135-R-V	-0.039071218
S6-R-E	0.480579297
S6_pS235_S236-R-V	1.213651491
S6_pS240_S244-R-V	0.429022175
SCD-M-V	0.0776186620000001
SETD2-R-E	-0.114387945
SF2-M-V	-0.342456436
Shc_pY317-R-E	-0.0643932409999997
Smac-M-E	0.259805232
Smad1-R-V	0.462965521
Smad3-R-V	0.009156515
Smad4-M-V	0.168257521
Snail-M-E	0.193886861
Src-M-V	-0.088958982
Src_pY416-R-C	0.287276928
Src_pY527-R-V	0.119729656
STAT3_pY705-R-V	0.473242086
STAT5-alpha-R-V	-1.031395217
Stathmin-R-V	-0.06839476
Syk-M-V	0.0900808940000001
TAZ-R-V	0.080307505
TIGAR-R-V	0.103109684
Transglutaminase-M-V	0.533080731
TFRC-R-V	-0.122266144
TSC1-R-C	-0.463681356
TTF1-R-V	-0.107175658
Tuberin-R-E	-0.0560169390000001
Tuberin_pT1462-R-V	-0.00561782299999994
VEGFR2-R-V	0.863567182
EPPK1-M-E	0.663505789
XBP1-G-C	-0.203777826
XRCC1-R-E	0.226465103
YAP-R-E	0.120712419
YAP_pS127-R-E	0
YB-1-R-V	-0.387513297
YB-1_pS102-R-V	0.142999544
JAB1-M-C	0.113998786
PARP1-R-V	0.52885827
A-Raf-R-V	0.135388227
ARID1A-R-C	-0.278111271
B-Raf_pS445-R-V	-0.022594007
Bcl2A1-R-V	0.041663369
BRD4-R-V	-0.451044479
c-Abl-R-V	0.00593910299999997
Caspase-3-R-C	0.116615993
CD26-R-V	-0.349453742
Chk1_pS296-R-V	0.062784312
COG3-R-V	-0.247912115
DUSP4-R-V	1.205437156
ERCC5-R-C	0.058195178
IGF1R_pY1135_Y1136-R-V	0.0331693700000001
IRF-1-R-C	-0.470633519
Jak2-R-V	-0.215767101
p16_INK4a-R-V	0.427765052
SHP-2_pY542-R-C	0.0219853200000002
CDK1_pY15-R-C	0.625734015
