Sample REF	7DA4AAC5-2CE9-49F6-A3AA-DBD843C5CF20
Src_pY416-R-C	0.769501944
Src_pY527-R-V	0.601221176
STAT3_pY705-R-V	-0.601642171
STAT5-alpha-R-V	-2.169891196
Stathmin-R-V	0.577260363
Syk-M-V	0.196729843
TAZ-R-V	0.432702698
TIGAR-R-V	0.0117157189999999
Transglutaminase-M-V	-0.383285258
TFRC-R-V	-0.450541107
TSC1-R-C	-1.639672455
TTF1-R-V	-0.408274616
Tuberin-R-E	-1.88860889
Tuberin_pT1462-R-V	-0.379286243
VEGFR2-R-V	-0.157984284
EPPK1-M-E	-2.274444542
XBP1-G-C	-0.235193177
XRCC1-R-E	0.462253504
YAP-R-E	0.477776912
YAP_pS127-R-E	0.462538067
YB-1-R-V	-0.39520067
YB-1_pS102-R-V	0.0845148099999997
JAB1-M-C	0.502482666
PARP1-R-V	-0.369778627
A-Raf-R-V	0.288468203
ARID1A-R-C	-1.583438832
B-Raf_pS445-R-V	0.314509597
Bcl2A1-R-V	0.542208525
BRD4-R-V	-0.830849039
c-Abl-R-V	0.384968012
Caspase-3-R-C	0.8746836
CD26-R-V	0.0764279129999998
Chk1_pS296-R-V	0.455690401
COG3-R-V	-1.226434974
DUSP4-R-V	-0.0955837320000004
ERCC5-R-C	0.610562487
IGF1R_pY1135_Y1136-R-V	0.539634979
IRF-1-R-C	-0.198399871
Jak2-R-V	-0.422168942
p16_INK4a-R-V	-0.25103464
SHP-2_pY542-R-C	-0.228433393
CDK1_pY15-R-C	-0.503055241
