Sample REF	8AE5BF11-9C43-4107-81B3-B4033B96D0F5
Smad1-R-V	0.041230489
Smad3-R-V	0.383229532
Smad4-M-V	-0.00841374800000017
Snail-M-E	-0.284039319
Src-M-V	0.00646940499999993
Src_pY416-R-C	0.523438428
Src_pY527-R-V	0.62687986
STAT3_pY705-R-V	0.0014197239999999
STAT5-alpha-R-V	-1.50635677
Stathmin-R-V	0.143842107
Syk-M-V	-0.316660121
TAZ-R-V	0.240954715
TIGAR-R-V	0.0917339519999999
Transglutaminase-M-V	0.406688336
TFRC-R-V	-1.228861519
TSC1-R-C	-0.213376502
TTF1-R-V	-0.110866214
Tuberin-R-E	-0.672488906
Tuberin_pT1462-R-V	0.0299823239999999
VEGFR2-R-V	-0.233480535
EPPK1-M-E	-0.518466296
XBP1-G-C	-0.513703218
XRCC1-R-E	0.0841000829999999
YAP-R-E	0.994941773
YAP_pS127-R-E	2.160403509
YB-1-R-V	-0.0116946550000001
YB-1_pS102-R-V	0.0642154919999999
JAB1-M-C	0.173893891
PARP1-R-V	-0.392391603
A-Raf-R-V	0.22065602
ARID1A-R-C	-0.430190602
B-Raf_pS445-R-V	-0.0355622620000001
Bcl2A1-R-V	0.36452381
BRD4-R-V	-0.58974016
c-Abl-R-V	0.167248447
Caspase-3-R-C	-0.0918023380000001
CD26-R-V	-0.219387985
Chk1_pS296-R-V	0.231745386
COG3-R-V	-1.013299782
DUSP4-R-V	-0.151544513
ERCC5-R-C	0.0327850879999999
IGF1R_pY1135_Y1136-R-V	0.263497332
IRF-1-R-C	-0.199078424
Jak2-R-V	-0.288415497
p16_INK4a-R-V	-0.193465912
SHP-2_pY542-R-C	0.0132272950000001
CDK1_pY15-R-C	-0.115043231
