Sample REF	C070ECB0-DB6E-46BD-8B6F-80795F0B65E2
MAPK_pT202_Y204-R-V	0.740414089
MEK1-R-V	0.318469112
MEK1_pS217_S221-R-V	0.317895419
MIG-6-M-V	0.279943198
Mre11-R-C	0.607924646
MSH2-M-V	-0.0798526060000002
MSH6-R-C	-1.000377446
mTOR-R-V	-0.485884075
mTOR_pS2448-R-C	-0.284375698
MYH11-R-V	2.162834726
Myosin-IIa_pS1943-R-V	-0.788181951
N-Cadherin-R-V	0.448719469
N-Ras-M-V	0.356772476
NDRG1_pT346-R-V	0.300897625
NF-kB-p65_pS536-R-C	0.122267202
NF2-R-C	-0.513093721
Notch1-R-V	-0.021708399
P-Cadherin-R-C	0.0804779519999999
p21-R-V	1.134680936
p27-R-V	0.337909179
p27_pT157-R-C	0.093087693
p27_pT198-R-V	0.136113362
p38_MAPK-R-V	0.278518189
p38_pT180_Y182-R-V	-0.0685050500000002
p53-R-E	0.398447633
p62-LCK-ligand-M-C	-0.178870475
p70S6K-R-V	-1.063621096
p70S6K_pT389-R-V	0.192510142
p90RSK-R-C	-0.945409834
p90RSK_pT359_S363-R-C	0.238554719
PAI-1-M-E	1.467823812
PARP_cleaved-M-E	-0.193755324
Paxillin-R-C	-1.267275823
PCNA-M-C	-0.273289372
PDCD4-R-C	-0.0363461980000001
PDK1-R-V	-0.0181935310000001
PDK1_pS241-R-V	0.109733072
PEA15-R-V	0.747018006
PEA15_pS116-R-V	-0.044351966
PI3K-p110-alpha-R-C	-0.373336498
PI3K-p85-R-V	0.405435365
PKC-alpha-M-V	0.31682281
PKC-alpha_pS657-R-C	0.526101092
PKC-delta_pS664-R-V	0.00447483199999965
PKC-pan_BetaII_pS660-R-V	-0.884478901
PR-R-V	0.341535197
PRAS40_pT246-R-V	-0.394857102
PRDX1-R-V	0.481118178
PREX1-R-E	0.315101386
PTEN-R-V	-1.074274791
Rab11-R-E	0.483126974
Rab25-R-V	-0.740242785
Rad50-M-V	-0.203298866
Rad51-R-V	1.050654692
Raptor-R-V	-0.0276627730000002
Rb-M-E	0.401781993
Rb_pS807_S811-R-V	-0.85108387
RBM15-R-V	-2.094171989
Rictor-R-C	1.72574312
Rictor_pT1135-R-V	0.57343056
S6-R-E	-1.255542618
S6_pS235_S236-R-V	-0.908167151
S6_pS240_S244-R-V	-1.714879729
SCD-M-V	-0.0686553300000001
SETD2-R-E	0.381428193
SF2-M-V	-0.0130820380000003
Shc_pY317-R-E	-0.338062743
Smac-M-E	0.212703396
Smad1-R-V	-0.136672829
Smad3-R-V	0.129607979
Smad4-M-V	0.00245865499999987
Snail-M-E	-0.240013698999999
Src-M-V	0.0580593359999999
Src_pY416-R-C	0.0951336789999999
Src_pY527-R-V	0.473547909
STAT3_pY705-R-V	-0.0038662020000001
STAT5-alpha-R-V	-1.258945211
Stathmin-R-V	0.602358317
Syk-M-V	-0.25569496
TAZ-R-V	0.52959669
TIGAR-R-V	0.315312267
Transglutaminase-M-V	0.225588324
TFRC-R-V	-0.892565298
TSC1-R-C	-0.0203609090000001
TTF1-R-V	0
Tuberin-R-E	-1.031533106
Tuberin_pT1462-R-V	-0.249385114
VEGFR2-R-V	0.062149681
EPPK1-M-E	-0.75407117
XBP1-G-C	-0.616878462
XRCC1-R-E	-0.175176655
YAP-R-E	0.443217948
YAP_pS127-R-E	0.779952812
YB-1-R-V	-0.133919042
YB-1_pS102-R-V	0.0632311139999998
JAB1-M-C	-0.0263124690000001
PARP1-R-V	-0.422182251
A-Raf-R-V	0.1426296
ARID1A-R-C	-0.934837165
B-Raf_pS445-R-V	-0.0425583430000001
Bcl2A1-R-V	0.616910296
BRD4-R-V	-0.763244973
c-Abl-R-V	0.152754377
Caspase-3-R-C	0.012841256
CD26-R-V	0.145780441
Chk1_pS296-R-V	0.415808262
COG3-R-V	-0.708628505
DUSP4-R-V	-0.184582565
ERCC5-R-C	0.459314413
IGF1R_pY1135_Y1136-R-V	0.561182334
IRF-1-R-C	0.217343443
Jak2-R-V	-0.256246595
p16_INK4a-R-V	-0.825685119
SHP-2_pY542-R-C	0.00708436899999998
CDK1_pY15-R-C	-0.446253719
