Sample REF	E8E61B42-4CF6-470E-8067-18CC5A90FDF4
Cyclin_D1-R-V	-0.140748549
Cyclin_E1-M-V	-0.00443879700000016
Cyclin_E2-R-C	-0.00949771399999999
DJ-1-R-E	0.124851392
Dvl3-R-V	0.560882065
E-Cadherin-R-V	0.152450095
eEF2-R-C	-0.014217036
eEF2K-R-V	0.369859454
EGFR-R-V	1.22586602
EGFR_pY1068-R-C	0.241619221
EGFR_pY1173-R-V	0.048667307
eIF4E-R-V	-0.14882142
eIF4G-R-C	0.540337272
ER-alpha-R-V	-0.714930596
ER-alpha_pS118-R-V	0
ERCC1-M-V	-0.00400661499999999
ERK2-R-E	-0.101123518
ETS-1-R-V	-0.088364893
FASN-R-V	0.974017009
Fibronectin-R-V	0.459361141
FoxM1-R-V	-0.329346492
FOXO3a-R-C	-0.00653777200000016
FOXO3a_pS318_S321-R-C	-0.023485164
G6PD-M-V	0.0902410199999997
GAB2-R-V	0.0909661370000001
GAPDH-M-C	0.501786372
GATA3-M-V	-0.331417885
GSK3-alpha-beta-M-V	-0.032304844
GSK3-alpha-beta_pS21_S9-R-V	0.206638194
GSK3_pS9-R-V	0.476419401
HER2-M-V	0.0719225090000001
HER2_pY1248-R-C	0.035411414
HER3-R-V	-0.365211667
HER3_pY1289-R-C	0.474972082
Heregulin-R-V	-0.107278408
HSP70-R-C	-0.125010156
IGFBP2-R-V	-0.351776482
INPP4B-R-V	-0.079416615
IRS1-R-V	-0.137833779
JNK_pT183_pY185-R-V	-0.0570712389999999
JNK2-R-C	0.0238484450000001
Ku80-R-C	-0.202150386
Lck-R-V	-0.170313209
LKB1-M-E	-0.185393939
MAPK_pT202_Y204-R-V	-0.522812233
MEK1-R-V	-0.308960432
MEK1_pS217_S221-R-V	-0.05085573
MIG-6-M-V	0.193480565
Mre11-R-C	0.0352977840000001
MSH2-M-V	0.119789086
MSH6-R-C	0.179027232
mTOR-R-V	0.0794625770000001
mTOR_pS2448-R-C	-0.429458822
MYH11-R-V	-1.49288362
Myosin-IIa_pS1943-R-V	0.492871603
N-Cadherin-R-V	-0.135848018
N-Ras-M-V	0.016047431
NDRG1_pT346-R-V	1.686965992
NF-kB-p65_pS536-R-C	-0.34127363
NF2-R-C	0.225717493
Notch1-R-V	0.095728459
P-Cadherin-R-C	0.0148639859999999
p21-R-V	-0.07071376
p27-R-V	-0.390013762
p27_pT157-R-C	0.058556457
p27_pT198-R-V	-0.033004866
p38_MAPK-R-V	-0.0511936889999999
p38_pT180_Y182-R-V	0.125583501
p53-R-E	-0.222457633
p62-LCK-ligand-M-C	-0.189359745
p70S6K-R-V	0.022351258
p70S6K_pT389-R-V	-0.249886555
p90RSK-R-C	-0.021454173
p90RSK_pT359_S363-R-C	0.199150411
PAI-1-M-E	1.354682584
PARP_cleaved-M-E	-0.0626375700000001
Paxillin-R-C	0.936662073
PCNA-M-C	0.21789741
PDCD4-R-C	0.18759573
PDK1-R-V	0.0474332080000001
PDK1_pS241-R-V	0.068072292
PEA15-R-V	0.362674405
PEA15_pS116-R-V	0.068054995
PI3K-p110-alpha-R-C	-0.089579242
PI3K-p85-R-V	-0.046346902
PKC-alpha-M-V	-0.117477635
PKC-alpha_pS657-R-C	-0.0722017610000001
PKC-delta_pS664-R-V	-0.190424223
PKC-pan_BetaII_pS660-R-V	-0.123776539
PR-R-V	0.0695717020000002
PRAS40_pT246-R-V	0.346621543
PRDX1-R-V	0.098746979
PREX1-R-E	0.030376865
PTEN-R-V	-0.081708696
Rab11-R-E	-0.092816455
Rab25-R-V	-0.823747037
Rad50-M-V	0.143006656
Rad51-R-V	-0.172255088
Raptor-R-V	0.210921427
Rb-M-E	-0.161245115
Rb_pS807_S811-R-V	0.467430705
RBM15-R-V	-0.129363889
Rictor-R-C	-0.35114101
Rictor_pT1135-R-V	0.029000172
S6-R-E	0.452502256
S6_pS235_S236-R-V	0.896988458
S6_pS240_S244-R-V	0.900533225
SCD-M-V	-0.031853994
SETD2-R-E	-0.178408347
SF2-M-V	-0.0453577419999998
Shc_pY317-R-E	-0.10732485
Smac-M-E	-0.204433464
Smad1-R-V	-0.156386206
Smad3-R-V	0.152298254
Smad4-M-V	-0.0422216610000001
Snail-M-E	0.514487612
Src-M-V	0.085679721
Src_pY416-R-C	0.356945628
Src_pY527-R-V	-0.053959758
STAT3_pY705-R-V	-0.0476839629999999
STAT5-alpha-R-V	-0.905922561
Stathmin-R-V	0.035841952
Syk-M-V	-0.266955572
TAZ-R-V	0.02398655
TIGAR-R-V	-0.016011463
Transglutaminase-M-V	0.554510593
TFRC-R-V	0.967796247
TSC1-R-C	0.170645735
TTF1-R-V	0.071849316
Tuberin-R-E	-0.533360528
Tuberin_pT1462-R-V	-0.021454173
VEGFR2-R-V	0.826495236
EPPK1-M-E	0.055560406
XBP1-G-C	-0.270295801
XRCC1-R-E	-0.273931383
YAP-R-E	2.85366232
YAP_pS127-R-E	3.883540099
YB-1-R-V	0.411993849
YB-1_pS102-R-V	0.629318277
JAB1-M-C	-0.0173592039999999
PARP1-R-V	-0.022105063
A-Raf-R-V	0.153051805
ARID1A-R-C	0.051853941
B-Raf_pS445-R-V	-0.404304838
Bcl2A1-R-V	0.428609495
BRD4-R-V	0.00221681900000004
c-Abl-R-V	0.06477971
Caspase-3-R-C	-0.0033201249999999
CD26-R-V	-0.087491723
Chk1_pS296-R-V	0.163721403
COG3-R-V	-0.105418646
DUSP4-R-V	-0.247595579
ERCC5-R-C	0.24377731
IGF1R_pY1135_Y1136-R-V	0.0431461300000001
IRF-1-R-C	-0.201264364
Jak2-R-V	-0.00144083299999992
p16_INK4a-R-V	0.164995291
SHP-2_pY542-R-C	0.0279675030000002
CDK1_pY15-R-C	-0.288206084
