Sample REF	C159F07D-C0B9-450E-BC7D-777552F38ADD
PI3K-p85-R-V	0.232778716
PKC-alpha-M-V	-0.148726469
PKC-alpha_pS657-R-C	-0.0787928420000001
PKC-delta_pS664-R-V	0.0753152099999999
PKC-pan_BetaII_pS660-R-V	0.811974417
PR-R-V	-0.097493536
PRAS40_pT246-R-V	0.061384518
PRDX1-R-V	-0.204859704
PREX1-R-E	0.534315024
PTEN-R-V	0.208351759
Rab11-R-E	-0.126859743
Rab25-R-V	-0.622588546
Rad50-M-V	0.19172783
Rad51-R-V	-0.081914491
Raptor-R-V	-0.104462108
Rb-M-E	-0.183491641
Rb_pS807_S811-R-V	0.428883707
RBM15-R-V	0.139816702
Rictor-R-C	-0.549164402
Rictor_pT1135-R-V	-0.11974057
S6-R-E	0.36110988
S6_pS235_S236-R-V	0.965638814
S6_pS240_S244-R-V	0.398482458
SCD-M-V	-0.040953895
SETD2-R-E	-0.121069483
SF2-M-V	0.049776241
Shc_pY317-R-E	0.272095772
Smac-M-E	-0.062023617
Smad1-R-V	-0.012071515
Smad3-R-V	-0.127101899
Smad4-M-V	-0.168828682
Snail-M-E	-0.29457224
Src-M-V	-0.08224588
Src_pY416-R-C	-0.00285394500000002
Src_pY527-R-V	0.0400199130000001
STAT3_pY705-R-V	0.438042985
STAT5-alpha-R-V	1.018167592
Stathmin-R-V	-0.13075823
Syk-M-V	0.556199412
TAZ-R-V	-0.146487203
TIGAR-R-V	-0.150398958
Transglutaminase-M-V	0.00101843199999999
TFRC-R-V	0.339661151
TSC1-R-C	0.0874879199999999
TTF1-R-V	-0.228586222
Tuberin-R-E	0.238979361
Tuberin_pT1462-R-V	-0.129108582
VEGFR2-R-V	-0.288015397
EPPK1-M-E	0.467996758
XBP1-G-C	-0.382469311
XRCC1-R-E	0.135811026
YAP-R-E	1.503194835
YAP_pS127-R-E	2.888801226
YB-1-R-V	-0.325869666
YB-1_pS102-R-V	-0.156602611
JAB1-M-C	-0.254909382
PARP1-R-V	0.421016285
A-Raf-R-V	0.360981066
ARID1A-R-C	0.327550491
B-Raf_pS445-R-V	0.188193673
Bcl2A1-R-V	-0.083895556
BRD4-R-V	0.837238841
c-Abl-R-V	0.00697110100000001
Caspase-3-R-C	-0.101367697
CD26-R-V	-0.101514308
Chk1_pS296-R-V	0.000381656000000008
COG3-R-V	0.09633993
DUSP4-R-V	-0.0816981750000001
ERCC5-R-C	0.456108564
IGF1R_pY1135_Y1136-R-V	-0.0889566619999999
IRF-1-R-C	0.280569513
Jak2-R-V	0.446432216
p16_INK4a-R-V	-0.170635651
SHP-2_pY542-R-C	0.491352389
CDK1_pY15-R-C	0.572464184
