Sample REF	8AD07B41-00BD-4A85-84CA-F529626BF6C3
S6-R-E	-1.350555105
S6_pS235_S236-R-V	0.37794556
S6_pS240_S244-R-V	-0.817847236
SCD-M-V	0.416600935
SETD2-R-E	1.927321549
SF2-M-V	0.0879411060000002
Shc_pY317-R-E	0.176258117
Smac-M-E	1.8109723
Smad1-R-V	-0.612469208999999
Smad3-R-V	0.614224249
Smad4-M-V	0.642844392
Snail-M-E	-2.014058978
Src-M-V	0.0692154290000002
Src_pY416-R-C	-0.771013931
Src_pY527-R-V	-1.057667005
STAT3_pY705-R-V	-0.0592767739999998
STAT5-alpha-R-V	-1.401260097
Stathmin-R-V	0.771147054
Syk-M-V	-1.133142863
TAZ-R-V	0.334867034
TIGAR-R-V	2.00780101
Transglutaminase-M-V	-0.220510591
TFRC-R-V	0.365227455
TSC1-R-C	-1.411855978
TTF1-R-V	0.155532254
Tuberin-R-E	-1.249719575
Tuberin_pT1462-R-V	-0.341016231
VEGFR2-R-V	-0.24361988
EPPK1-M-E	-1.505813443
XBP1-G-C	-0.0350565989999994
XRCC1-R-E	0.851884301
YAP-R-E	0.485300203
YAP_pS127-R-E	-0.385822929
YB-1-R-V	-0.437798513
YB-1_pS102-R-V	-0.0703947219999996
JAB1-M-C	0.556582073
PARP1-R-V	0.474300008
A-Raf-R-V	-0.0516710919999999
ARID1A-R-C	-1.293558927
B-Raf_pS445-R-V	-0.57854604
Bcl2A1-R-V	1.257572291
BRD4-R-V	-0.498159541
c-Abl-R-V	0.806531505
Caspase-3-R-C	1.186891304
CD26-R-V	-0.348247497
Chk1_pS296-R-V	0.816387393
COG3-R-V	-0.930737474
DUSP4-R-V	1.282808124
ERCC5-R-C	1.598880015
IGF1R_pY1135_Y1136-R-V	0.460194909000001
IRF-1-R-C	0.499293094
Jak2-R-V	-0.165643489999999
p16_INK4a-R-V	1.939020638
SHP-2_pY542-R-C	-0.727546584
CDK1_pY15-R-C	-0.0674599309999997
