Sample REF	D29EE792-E846-4EF2-A5EB-EB3C44AACD84
EGFR_pY1068-R-C	0.183375401
EGFR_pY1173-R-V	-0.111242764
eIF4E-R-V	0.151951147
eIF4G-R-C	0.134695627
ER-alpha-R-V	-0.356301203
ER-alpha_pS118-R-V	0.04737633
ERCC1-M-V	0.201345346
ERK2-R-E	-0.166544542
ETS-1-R-V	-0.102583317
FASN-R-V	-0.53201624
Fibronectin-R-V	0.0571620159999999
FoxM1-R-V	0.89198688
FOXO3a-R-C	0.207406724
FOXO3a_pS318_S321-R-C	-0.0187698379999999
G6PD-M-V	-0.299906217
GAB2-R-V	-0.207681455
GAPDH-M-C	-0.332483627
GATA3-M-V	0.227946341
GSK3-alpha-beta-M-V	0.140930443
GSK3-alpha-beta_pS21_S9-R-V	-0.124813477
GSK3_pS9-R-V	0.34779333
HER2-M-V	-0.596601209
HER2_pY1248-R-C	-0.269495757
HER3-R-V	0.579590658
HER3_pY1289-R-C	-0.050419002
Heregulin-R-V	-0.080901785
HSP70-R-C	0.527851237
IGFBP2-R-V	-0.382117512
INPP4B-R-V	0.0732161590000002
IRS1-R-V	-0.0694264060000001
JNK_pT183_pY185-R-V	0.256071195
JNK2-R-C	0.019668902
Ku80-R-C	0.21222359
Lck-R-V	-0.2349397
LKB1-M-E	0.127111622
MAPK_pT202_Y204-R-V	-0.0782517709999999
MEK1-R-V	-0.105060783
MEK1_pS217_S221-R-V	-0.171974851
MIG-6-M-V	-0.044051773
Mre11-R-C	0.080908217
MSH2-M-V	0.460007812
MSH6-R-C	0.647312275
mTOR-R-V	0.238899978
mTOR_pS2448-R-C	0.0367498030000002
MYH11-R-V	-1.252802216
Myosin-IIa_pS1943-R-V	0.033416263
N-Cadherin-R-V	-0.074892874
N-Ras-M-V	-0.019362117
NDRG1_pT346-R-V	0.665245558
NF-kB-p65_pS536-R-C	0.477248125
NF2-R-C	-0.035465226
Notch1-R-V	0.580606616
P-Cadherin-R-C	-0.0740144429999998
p21-R-V	-0.652784303
p27-R-V	-0.267307927
p27_pT157-R-C	-0.117726739
p27_pT198-R-V	0.157717235
p38_MAPK-R-V	-0.626854621
p38_pT180_Y182-R-V	-0.451385868
p53-R-E	0.0955685580000001
p62-LCK-ligand-M-C	0.118017691
p70S6K-R-V	-0.098061757
p70S6K_pT389-R-V	0.213892228
p90RSK-R-C	0.253595878
p90RSK_pT359_S363-R-C	0.199057562
PAI-1-M-E	-1.076868705
PARP_cleaved-M-E	0.0849584949999999
Paxillin-R-C	-0.110190575
PCNA-M-C	0.045466471
PDCD4-R-C	0.038080063
PDK1-R-V	-0.189992062
PDK1_pS241-R-V	-0.210354477
PEA15-R-V	-0.389384459
PEA15_pS116-R-V	0
PI3K-p110-alpha-R-C	0.04846121
PI3K-p85-R-V	0.154738663
PKC-alpha-M-V	0.395153165
PKC-alpha_pS657-R-C	0.583891079
PKC-delta_pS664-R-V	0.115887717
PKC-pan_BetaII_pS660-R-V	0.062509476
PR-R-V	0.0741659510000001
PRAS40_pT246-R-V	0.134126099
PRDX1-R-V	-0.522798555
PREX1-R-E	-0.26991498
PTEN-R-V	0.573630111
Rab11-R-E	-0.293720029
Rab25-R-V	-1.007346844
Rad50-M-V	0.399750258
Rad51-R-V	0.601570891
Raptor-R-V	0.127029715
Rb-M-E	-0.0136425760000001
Rb_pS807_S811-R-V	0.345328659
RBM15-R-V	0.457079406
Rictor-R-C	-0.115742515
Rictor_pT1135-R-V	-0.141397219
S6-R-E	-0.052386347
S6_pS235_S236-R-V	0.0661687480000001
S6_pS240_S244-R-V	0.130854233
SCD-M-V	-0.07897119
SETD2-R-E	0.147704968
SF2-M-V	0.241260546
Shc_pY317-R-E	-0.150454522
Smac-M-E	-0.117819693
Smad1-R-V	0.279890663
Smad3-R-V	-0.125293261
Smad4-M-V	0.286912219
Snail-M-E	0.0692548910000003
Src-M-V	-0.432526772
Src_pY416-R-C	-0.0619523759999998
Src_pY527-R-V	-0.245099009
STAT3_pY705-R-V	-0.151683552
STAT5-alpha-R-V	0.415540449
Stathmin-R-V	-0.095950929
Syk-M-V	0.662953587
TAZ-R-V	-0.172046184
TIGAR-R-V	-0.094642112
Transglutaminase-M-V	-0.400764413
TFRC-R-V	-0.5890696
TSC1-R-C	-0.085247659
TTF1-R-V	0.175497896
Tuberin-R-E	0.571078314
Tuberin_pT1462-R-V	0.340781515
VEGFR2-R-V	-0.395623515
EPPK1-M-E	-0.639625921
XBP1-G-C	0.130892346
XRCC1-R-E	0.294502631
YAP-R-E	-0.407331481
YAP_pS127-R-E	-1.005532205
YB-1-R-V	-0.148278158
YB-1_pS102-R-V	-0.077637326
JAB1-M-C	0.266663011
PARP1-R-V	0.00328068099999998
A-Raf-R-V	0.21866669
ARID1A-R-C	0.339097629
B-Raf_pS445-R-V	-0.439370527
Bcl2A1-R-V	-0.077792941
BRD4-R-V	0.278673802
c-Abl-R-V	-0.055318532
Caspase-3-R-C	0.00877371199999996
CD26-R-V	-0.251815025
Chk1_pS296-R-V	0.067305479
COG3-R-V	-0.091389498
DUSP4-R-V	0.44879156
ERCC5-R-C	-0.262973456
IGF1R_pY1135_Y1136-R-V	-0.051537616
IRF-1-R-C	0.348175159
Jak2-R-V	0.315121873
p16_INK4a-R-V	0.514677615
SHP-2_pY542-R-C	-0.125581708
CDK1_pY15-R-C	0.725016742
