Sample REF	1AC7B9FF-7D24-4540-98B2-CAC49BFC4E5C
JNK_pT183_pY185-R-V	0.348602851
JNK2-R-C	-0.130235592
Ku80-R-C	-0.044361724
Lck-R-V	-0.931132754
LKB1-M-E	0.0404875210000001
MAPK_pT202_Y204-R-V	1.565386005
MEK1-R-V	0.162173497
MEK1_pS217_S221-R-V	0.300148744
MIG-6-M-V	-0.298213917
Mre11-R-C	0.136692153
MSH2-M-V	-0.345440448
MSH6-R-C	-0.436509311
mTOR-R-V	-0.592619409
mTOR_pS2448-R-C	-0.0545377739999999
MYH11-R-V	2.577214791
Myosin-IIa_pS1943-R-V	-1.201280861
N-Cadherin-R-V	0.14891221
N-Ras-M-V	-0.091094421
NDRG1_pT346-R-V	1.617534697
NF-kB-p65_pS536-R-C	0.205492734
NF2-R-C	-0.036098551
Notch1-R-V	0.0509905639999999
P-Cadherin-R-C	0.195378923
p21-R-V	-1.920813001
p27-R-V	0.462260948
p27_pT157-R-C	-0.095513747
p27_pT198-R-V	0.471108601
p38_MAPK-R-V	0.108467066
p38_pT180_Y182-R-V	0.492595037
p53-R-E	0.159941306
p62-LCK-ligand-M-C	-0.513709631
p70S6K-R-V	-0.149374573
p70S6K_pT389-R-V	-0.073032126
p90RSK-R-C	-0.621907338
p90RSK_pT359_S363-R-C	-0.114862856
PAI-1-M-E	-1.420359385
PARP_cleaved-M-E	0.432549746
Paxillin-R-C	0.399369061
PCNA-M-C	-0.549029524
PDCD4-R-C	1.408638439
PDK1-R-V	0.00177670499999993
PDK1_pS241-R-V	-0.204527012
PEA15-R-V	0.162716609
PEA15_pS116-R-V	-0.141053691
PI3K-p110-alpha-R-C	0.0192320949999999
PI3K-p85-R-V	0.195320605
PKC-alpha-M-V	0.680392971
PKC-alpha_pS657-R-C	0.907170974
PKC-delta_pS664-R-V	0.071455416
PKC-pan_BetaII_pS660-R-V	0.258434464
PR-R-V	0.36270286
PRAS40_pT246-R-V	0.152670249
PRDX1-R-V	-0.560540865
PREX1-R-E	-0.403414858
PTEN-R-V	0.13855392
Rab11-R-E	-0.137849823
Rab25-R-V	-0.654923863
Rad50-M-V	0.091385201
Rad51-R-V	0.100042274
Raptor-R-V	-0.090629426
Rb-M-E	0.320384475
Rb_pS807_S811-R-V	0.1183889
RBM15-R-V	-0.65467562
Rictor-R-C	2.355552179
Rictor_pT1135-R-V	0.354506941
S6-R-E	-0.935372273
S6_pS235_S236-R-V	-1.263021752
S6_pS240_S244-R-V	-0.927740578
SCD-M-V	-0.0580206649999999
SETD2-R-E	3.111619229
SF2-M-V	-2.76343257
Shc_pY317-R-E	0.325962038
Smac-M-E	-0.342925594
Smad1-R-V	0.05096054
Smad3-R-V	0.039313463
Smad4-M-V	0.0433246220000001
Snail-M-E	0.61069509
Src-M-V	0.015392944
Src_pY416-R-C	0.53255086
Src_pY527-R-V	0.985566688
STAT3_pY705-R-V	0.721067841
STAT5-alpha-R-V	0.23359317
Stathmin-R-V	0.158376699
Syk-M-V	-0.862933593
TAZ-R-V	0.10258454
TIGAR-R-V	-0.081557016
Transglutaminase-M-V	0.328622098
TFRC-R-V	-1.151017569
TSC1-R-C	0.354073555
TTF1-R-V	-0.167336333
Tuberin-R-E	0.224832699
Tuberin_pT1462-R-V	0.530968076
VEGFR2-R-V	-0.165335043
EPPK1-M-E	-0.029357565
XBP1-G-C	-0.180314012
XRCC1-R-E	-0.534143628
YAP-R-E	0.138657298
YAP_pS127-R-E	0.293976499
YB-1-R-V	-0.04774921
YB-1_pS102-R-V	0.053559648
JAB1-M-C	-0.17542569
PARP1-R-V	-0.697398274
A-Raf-R-V	-0.359840891
ARID1A-R-C	-0.445227512
B-Raf_pS445-R-V	-0.213922099
Bcl2A1-R-V	1.551658483
BRD4-R-V	-0.447733427
c-Abl-R-V	0.205643344
Caspase-3-R-C	-0.125920206
CD26-R-V	0.235170538
Chk1_pS296-R-V	0.024719675
COG3-R-V	-0.32459391
DUSP4-R-V	-0.426828565
ERCC5-R-C	-0.669602262
IGF1R_pY1135_Y1136-R-V	0.192541025
IRF-1-R-C	0.659201827
Jak2-R-V	-0.157766055
p16_INK4a-R-V	-1.723536114
SHP-2_pY542-R-C	1.127481919
CDK1_pY15-R-C	-0.318401804
