Sample REF	A6DF7C14-361B-4DFF-B886-9EE48F169CD4
p70S6K-R-V	-0.137355592
p70S6K_pT389-R-V	-0.0296218680000001
p90RSK-R-C	0.170830859
p90RSK_pT359_S363-R-C	0.25494041
PAI-1-M-E	-0.792695101
PARP_cleaved-M-E	0.0106276339999999
Paxillin-R-C	0.173525445
PCNA-M-C	0.128631873
PDCD4-R-C	0.667894087
PDK1-R-V	0.0237303149999999
PDK1_pS241-R-V	-0.00527013600000004
PEA15-R-V	-0.04833564
PEA15_pS116-R-V	0.58170891
PI3K-p110-alpha-R-C	-0.0561692670000001
PI3K-p85-R-V	0.292575777
PKC-alpha-M-V	0.303978686
PKC-alpha_pS657-R-C	0.598958932
PKC-delta_pS664-R-V	0.422289464
PKC-pan_BetaII_pS660-R-V	0.538999777
PR-R-V	0.042110102
PRAS40_pT246-R-V	-0.182370812
PRDX1-R-V	0.054258667
PREX1-R-E	0.261058741
PTEN-R-V	-0.058598285
Rab11-R-E	-0.034506133
Rab25-R-V	0.628621353
Rad50-M-V	-0.00719760499999994
Rad51-R-V	-0.259373018
Raptor-R-V	0.097829183
Rb-M-E	-0.068872031
Rb_pS807_S811-R-V	-0.109660327
RBM15-R-V	0.101438929
Rictor-R-C	0.424552426
Rictor_pT1135-R-V	-0.09150805
S6-R-E	-0.387895273
S6_pS235_S236-R-V	0.173805947
S6_pS240_S244-R-V	0.129902477
SCD-M-V	-0.080643919
SETD2-R-E	-0.229821503
SF2-M-V	-0.109245043
Shc_pY317-R-E	-0.118685397
Smac-M-E	0.048291971
Smad1-R-V	0.035400573
Smad3-R-V	0.066417997
Smad4-M-V	-0.0097437390000002
Snail-M-E	-0.135820364
Src-M-V	-0.033028278
Src_pY416-R-C	-0.508463376
Src_pY527-R-V	-0.274699314
STAT3_pY705-R-V	0.470010774
STAT5-alpha-R-V	0.790535871
Stathmin-R-V	-0.051070076
Syk-M-V	0.145433349
TAZ-R-V	0.18622835
TIGAR-R-V	0.021019827
Transglutaminase-M-V	0.04167502
TFRC-R-V	-0.0617431580000001
TSC1-R-C	0.165824861
TTF1-R-V	0.3027052
Tuberin-R-E	0.148226521
Tuberin_pT1462-R-V	-0.099911409
VEGFR2-R-V	0.351474692
EPPK1-M-E	-0.021199663
XBP1-G-C	-0.0939678360000003
XRCC1-R-E	0.115326188
YAP-R-E	-0.189699287
YAP_pS127-R-E	-0.327548144
YB-1-R-V	-0.0888377340000001
YB-1_pS102-R-V	-0.138953449
JAB1-M-C	-0.069637979
PARP1-R-V	0.50929697
A-Raf-R-V	-0.185498602
ARID1A-R-C	0.595552601
B-Raf_pS445-R-V	0.052515988
Bcl2A1-R-V	-0.22697538
BRD4-R-V	0.343047422
c-Abl-R-V	-0.105631479
Caspase-3-R-C	0.010172462
CD26-R-V	-0.0462370890000001
Chk1_pS296-R-V	-0.071645851
COG3-R-V	-0.101341442
DUSP4-R-V	-0.222227542
ERCC5-R-C	-0.129477805
IGF1R_pY1135_Y1136-R-V	-0.202631787
IRF-1-R-C	0.378047886
Jak2-R-V	0.329775296
p16_INK4a-R-V	-0.319288857
SHP-2_pY542-R-C	-0.110094351
CDK1_pY15-R-C	-0.0475257340000001
