Sample REF	1533008F-A3B8-4B50-A280-0A1C1FFACEFD
MAPK_pT202_Y204-R-V	-0.066061993
MEK1-R-V	0.331580105
MEK1_pS217_S221-R-V	-0.148953873
MIG-6-M-V	0.0396646300000001
Mre11-R-C	-0.117691321
MSH2-M-V	0.289699868
MSH6-R-C	0.551719298
mTOR-R-V	0.537480269
mTOR_pS2448-R-C	0.266478022
MYH11-R-V	-0.918937301
Myosin-IIa_pS1943-R-V	0.00681634900000005
N-Cadherin-R-V	-0.158269173
N-Ras-M-V	-0.424335639
NDRG1_pT346-R-V	0.160513817
NF-kB-p65_pS536-R-C	0.323316034
NF2-R-C	0.034338299
Notch1-R-V	-0.093410784
P-Cadherin-R-C	-0.002264971
p21-R-V	-1.191609551
p27-R-V	0.329589971
p27_pT157-R-C	-0.01382438
p27_pT198-R-V	0.076851397
p38_MAPK-R-V	0.19823621
p38_pT180_Y182-R-V	-0.27520437
p53-R-E	-0.267368456
p62-LCK-ligand-M-C	-0.269540046
p70S6K-R-V	0.371322948
p70S6K_pT389-R-V	-0.0882046029999999
p90RSK-R-C	0.280797961
p90RSK_pT359_S363-R-C	-0.318837251
PAI-1-M-E	-0.664194435
PARP_cleaved-M-E	-0.503903806
Paxillin-R-C	0.466371354
PCNA-M-C	0.730823736
PDCD4-R-C	0.251840497
PDK1-R-V	0.010269087
PDK1_pS241-R-V	0.04154152
PEA15-R-V	-0.246641067
PEA15_pS116-R-V	0.0412962000000001
PI3K-p110-alpha-R-C	-0.217038208
PI3K-p85-R-V	0.155821885
PKC-alpha-M-V	-0.243470285
PKC-alpha_pS657-R-C	0.004463365
PKC-delta_pS664-R-V	-0.080498162
PKC-pan_BetaII_pS660-R-V	0.081937259
PR-R-V	-0.125826216
PRAS40_pT246-R-V	0.243231606
PRDX1-R-V	0.022792451
PREX1-R-E	-0.15335324
PTEN-R-V	0.370161158
Rab11-R-E	0.0278847630000001
Rab25-R-V	-0.537066287
Rad50-M-V	-0.31369657
Rad51-R-V	0.012895421
Raptor-R-V	0.040282798
Rb-M-E	-0.432787225
Rb_pS807_S811-R-V	0.559374844
RBM15-R-V	0.684013927
Rictor-R-C	-0.403165589
Rictor_pT1135-R-V	-0.109845443
S6-R-E	0.00440119400000005
S6_pS235_S236-R-V	0.93690196
S6_pS240_S244-R-V	1.02335658
SCD-M-V	-0.398203727
SETD2-R-E	-0.444448241
SF2-M-V	0.131295981
Shc_pY317-R-E	-0.245584268
Smac-M-E	0.14541239
Smad1-R-V	-0.0817281759999999
Smad3-R-V	-0.208696483
Smad4-M-V	-0.0155592280000001
Snail-M-E	-0.254552811
Src-M-V	-0.512897965
Src_pY416-R-C	0.033398099
Src_pY527-R-V	0.31680099
STAT3_pY705-R-V	0.601732144
STAT5-alpha-R-V	1.087188606
Stathmin-R-V	-0.222968518
Syk-M-V	-0.028230265
TAZ-R-V	-0.037995437
TIGAR-R-V	0.00397658200000006
Transglutaminase-M-V	-0.196995211
TFRC-R-V	1.467362863
TSC1-R-C	0.121385419
TTF1-R-V	-0.0640699259999999
Tuberin-R-E	0.420672967
Tuberin_pT1462-R-V	0.673183758
VEGFR2-R-V	-0.0876988240000001
EPPK1-M-E	-1.095700751
XBP1-G-C	-0.200157935
XRCC1-R-E	0.0646697090000001
YAP-R-E	0.014186095
YAP_pS127-R-E	0.0379600980000001
YB-1-R-V	0.141523258
YB-1_pS102-R-V	0
JAB1-M-C	-0.169121728
PARP1-R-V	0.296332819
A-Raf-R-V	-0.161415784
ARID1A-R-C	0.376714669
B-Raf_pS445-R-V	0.0115522470000001
Bcl2A1-R-V	-0.093647438
BRD4-R-V	0.685761843
c-Abl-R-V	0.010509196
Caspase-3-R-C	0.044213989
CD26-R-V	-0.181933959
Chk1_pS296-R-V	-0.0675623679999999
COG3-R-V	0.209920297
DUSP4-R-V	0.335298038
ERCC5-R-C	-0.0528870769999999
IGF1R_pY1135_Y1136-R-V	-0.184657848
IRF-1-R-C	-0.170028737
Jak2-R-V	0.573358546
p16_INK4a-R-V	0.440901998
SHP-2_pY542-R-C	0.0462150320000001
CDK1_pY15-R-C	0.098012456
