Sample REF	9D208C1A-C282-49B9-8271-BDDD8D5792A6
PARP_cleaved-M-E	1.375084149
Paxillin-R-C	-1.146797197
PCNA-M-C	0.367610119
PDCD4-R-C	0.44589959
PDK1-R-V	0.344723215
PDK1_pS241-R-V	0.427381602
PEA15-R-V	0.405950822
PEA15_pS116-R-V	-0.590572072
PI3K-p110-alpha-R-C	-0.0927760060000002
PI3K-p85-R-V	0.385653412
PKC-alpha-M-V	-0.135515613
PKC-alpha_pS657-R-C	-0.107059274
PKC-delta_pS664-R-V	-0.421965314
PKC-pan_BetaII_pS660-R-V	-0.63365974
PR-R-V	-0.271139234
PRAS40_pT246-R-V	-0.0438671459999997
PRDX1-R-V	-0.0894434070000001
PREX1-R-E	0.0727908079999997
PTEN-R-V	0.20801621
Rab11-R-E	0.70530635
Rab25-R-V	1.314712995
Rad50-M-V	-0.827865783
Rad51-R-V	-0.701991208
Raptor-R-V	-0.435425694
Rb-M-E	-0.285877282
Rb_pS807_S811-R-V	-0.640639301
RBM15-R-V	-0.421279569
Rictor-R-C	0.780305215
Rictor_pT1135-R-V	0.0306639990000002
S6-R-E	0.067323662
S6_pS235_S236-R-V	-0.819532827
S6_pS240_S244-R-V	-1.166526578
SCD-M-V	-0.55350795
SETD2-R-E	2.222607941
SF2-M-V	-3.454200401
Shc_pY317-R-E	-1.400146473
Smac-M-E	0.30384554
Smad1-R-V	0.100487403
Smad3-R-V	0.218901792
Smad4-M-V	-0.146691969
Snail-M-E	0.458794441
Src-M-V	0.455403941
Src_pY416-R-C	-0.00863475799999991
Src_pY527-R-V	-1.359896929
STAT3_pY705-R-V	-0.132273095
STAT5-alpha-R-V	0.657913812
Stathmin-R-V	0.211755476
Syk-M-V	0.378898174
TAZ-R-V	-0.123468134
TIGAR-R-V	0.250939729
Transglutaminase-M-V	0.0195913270000001
TFRC-R-V	0.068555734
TSC1-R-C	-0.126316939
TTF1-R-V	-0.132228656
Tuberin-R-E	-0.576888543
Tuberin_pT1462-R-V	-0.279145263
VEGFR2-R-V	0.138189278
EPPK1-M-E	0.344956957
XBP1-G-C	-1.01566643
XRCC1-R-E	-0.0570424439999999
YAP-R-E	0.138251662
YAP_pS127-R-E	-0.050021871
YB-1-R-V	0.244567906
YB-1_pS102-R-V	-0.056392695
JAB1-M-C	-0.485701751
PARP1-R-V	-0.68997859
A-Raf-R-V	0.304065784
ARID1A-R-C	0.215116531
B-Raf_pS445-R-V	-0.623680816
Bcl2A1-R-V	0.000296158999999907
BRD4-R-V	0.0719540140000001
c-Abl-R-V	0.038167472
Caspase-3-R-C	0.592068775
CD26-R-V	-0.131924942
Chk1_pS296-R-V	0.00802038899999991
COG3-R-V	-0.13559885
DUSP4-R-V	-0.612443624
ERCC5-R-C	-0.193686426
IGF1R_pY1135_Y1136-R-V	-0.0883675199999998
IRF-1-R-C	0.319695339
Jak2-R-V	0.132225701
p16_INK4a-R-V	0.278287889
SHP-2_pY542-R-C	-0.377988123
CDK1_pY15-R-C	-0.889752469
