Sample REF	C681D567-D4DB-460D-BABE-AD14C6FB9D92
Stathmin-R-V	0.091174127
Syk-M-V	0.299880871
TAZ-R-V	0.131191243
TIGAR-R-V	-0.110070613
Transglutaminase-M-V	0.015027161
TFRC-R-V	-0.130960091
TSC1-R-C	-0.771485437
TTF1-R-V	-0.151460378
Tuberin-R-E	-1.411325664
Tuberin_pT1462-R-V	0.034123366
VEGFR2-R-V	0.162925116
EPPK1-M-E	-1.248013982
XBP1-G-C	-0.469240038
XRCC1-R-E	0.045019684
YAP-R-E	0.250444728
YAP_pS127-R-E	0.495615005
YB-1-R-V	-0.113228091
YB-1_pS102-R-V	-0.076399796
JAB1-M-C	0.274000191
PARP1-R-V	-0.0237153380000001
A-Raf-R-V	0.092516048
ARID1A-R-C	-0.217714179
B-Raf_pS445-R-V	0.146678912
Bcl2A1-R-V	0.08021761
BRD4-R-V	-0.348367384
c-Abl-R-V	-0.081208365
Caspase-3-R-C	0.140813354
CD26-R-V	-0.135301352
Chk1_pS296-R-V	0.08046291
COG3-R-V	-1.097081446
DUSP4-R-V	-0.0845930010000002
ERCC5-R-C	0.561226852
IGF1R_pY1135_Y1136-R-V	0.072834196
IRF-1-R-C	-0.383139135
Jak2-R-V	-0.373112278
p16_INK4a-R-V	0.208140004
SHP-2_pY542-R-C	0.398499109
CDK1_pY15-R-C	0.15792954
