Sample REF	E473C4E8-6073-41A2-9ABD-7E02564303CB
IGFBP2-R-V	-0.426259791
INPP4B-R-V	-0.0176816339999997
IRS1-R-V	0.174220008
JNK_pT183_pY185-R-V	-0.00367082699999993
JNK2-R-C	-0.0638598719999999
Ku80-R-C	-0.412074822
Lck-R-V	0.182440915
LKB1-M-E	0.346465827
MAPK_pT202_Y204-R-V	0.340805029
MEK1-R-V	0.100262072
MEK1_pS217_S221-R-V	0.09286791
MIG-6-M-V	0.0230353340000001
Mre11-R-C	0.398904297
MSH2-M-V	-0.0691448860000002
MSH6-R-C	-0.423515578
mTOR-R-V	-0.260582568
mTOR_pS2448-R-C	-0.203647891
MYH11-R-V	0.146051611
Myosin-IIa_pS1943-R-V	-0.25675929
N-Cadherin-R-V	0.363241413
N-Ras-M-V	0.163951188
NDRG1_pT346-R-V	0.993214332
NF-kB-p65_pS536-R-C	0.643695463
NF2-R-C	-0.06844167
Notch1-R-V	0.149963052
P-Cadherin-R-C	0.075243763
p21-R-V	-0.757319789
p27-R-V	0.387524095
p27_pT157-R-C	0.069387364
p27_pT198-R-V	0.242943346
p38_MAPK-R-V	0.110736976
p38_pT180_Y182-R-V	0.389473817
p53-R-E	0.734090616
p62-LCK-ligand-M-C	0.168005874
p70S6K-R-V	0.258359912
p70S6K_pT389-R-V	0.412860755
p90RSK-R-C	-0.524446984
p90RSK_pT359_S363-R-C	0.239159932
PAI-1-M-E	-0.671949514
PARP_cleaved-M-E	-0.0295364060000001
Paxillin-R-C	-1.061395201
PCNA-M-C	-0.213317217
PDCD4-R-C	0.09183385
PDK1-R-V	-0.046715499
PDK1_pS241-R-V	-0.079659151
PEA15-R-V	-0.045434261
PEA15_pS116-R-V	0.071892252
PI3K-p110-alpha-R-C	-0.152310455
PI3K-p85-R-V	-0.021827894
PKC-alpha-M-V	-0.226777644
PKC-alpha_pS657-R-C	-0.116357141
PKC-delta_pS664-R-V	-0.127205845
PKC-pan_BetaII_pS660-R-V	-0.69760913
PR-R-V	-0.022903967
PRAS40_pT246-R-V	-0.200644352
PRDX1-R-V	0.182600397
PREX1-R-E	0.190841867
PTEN-R-V	0.121455482
Rab11-R-E	0.371231503
Rab25-R-V	0.76964545
Rad50-M-V	-0.10037121
Rad51-R-V	1.422772357
Raptor-R-V	0.107728433
Rb-M-E	-0.14628391
Rb_pS807_S811-R-V	-0.256111543
RBM15-R-V	-0.368445888
Rictor-R-C	-0.307675839
Rictor_pT1135-R-V	0.088872451
S6-R-E	-0.168358543
S6_pS235_S236-R-V	-0.0461562129999998
S6_pS240_S244-R-V	-0.211076889
SCD-M-V	-0.0277504839999999
SETD2-R-E	0.019513099
SF2-M-V	-0.213690326
Shc_pY317-R-E	0.136288373
Smac-M-E	-0.092204163
Smad1-R-V	0.035730249
Smad3-R-V	0.00831274600000004
Smad4-M-V	0.0239406929999998
Snail-M-E	-0.223937086
Src-M-V	0.286784497
Src_pY416-R-C	0.449156757
Src_pY527-R-V	0.104348799
STAT3_pY705-R-V	0.3909266
STAT5-alpha-R-V	-0.341002052
Stathmin-R-V	0.288499617
Syk-M-V	-0.048771479
TAZ-R-V	0.047969382
TIGAR-R-V	0.049597156
Transglutaminase-M-V	0.474836217
TFRC-R-V	-0.585949492
TSC1-R-C	-0.190665333
TTF1-R-V	-0.215861072
Tuberin-R-E	-0.066504219
Tuberin_pT1462-R-V	-0.00954555499999993
VEGFR2-R-V	-0.419025623
EPPK1-M-E	0.0593511340000001
XBP1-G-C	-0.494236968
XRCC1-R-E	-0.00779018999999997
YAP-R-E	-0.037786407
YAP_pS127-R-E	-0.31662498
YB-1-R-V	0.32855032
YB-1_pS102-R-V	-0.113348612
JAB1-M-C	0.127478234
PARP1-R-V	0.067767153
A-Raf-R-V	0.138742768
ARID1A-R-C	0.104562102
B-Raf_pS445-R-V	-0.055193079
Bcl2A1-R-V	0.356632751
BRD4-R-V	0.325530919
c-Abl-R-V	-0.032205734
Caspase-3-R-C	0.030290283
CD26-R-V	-0.262124688
Chk1_pS296-R-V	0.243064704
COG3-R-V	-0.47604168
DUSP4-R-V	0.185625927
ERCC5-R-C	-0.102492616
IGF1R_pY1135_Y1136-R-V	0.188572665
IRF-1-R-C	-0.279534503
Jak2-R-V	-0.323528341
p16_INK4a-R-V	-0.922327595
SHP-2_pY542-R-C	0.0682387350000002
CDK1_pY15-R-C	-0.278008447
