Sample REF	6BA5E751-37D0-493C-B9C6-69062263C497
HER2_pY1248-R-C	0.328919688
HER3-R-V	-0.198102412
HER3_pY1289-R-C	0.112031549
Heregulin-R-V	0.225528562
HSP70-R-C	-0.634455926
IGFBP2-R-V	1.778978893
INPP4B-R-V	-0.25554326
IRS1-R-V	0.114421479
JNK_pT183_pY185-R-V	-0.00802866700000004
JNK2-R-C	-0.189884471
Ku80-R-C	0.087747068
Lck-R-V	-0.488122889
LKB1-M-E	-0.202464545
MAPK_pT202_Y204-R-V	0.682189832
MEK1-R-V	-0.00421166700000003
MEK1_pS217_S221-R-V	0.043921505
MIG-6-M-V	-0.129862718
Mre11-R-C	-0.167050493
MSH2-M-V	0.10444319
MSH6-R-C	0.027366086
mTOR-R-V	0.050493602
mTOR_pS2448-R-C	0.0624502900000001
MYH11-R-V	1.719335901
Myosin-IIa_pS1943-R-V	-0.474260547
N-Cadherin-R-V	-0.338084774
N-Ras-M-V	-0.300526241
NDRG1_pT346-R-V	1.425295003
NF-kB-p65_pS536-R-C	-0.0230838830000001
NF2-R-C	-0.032353465
Notch1-R-V	0.862485858
P-Cadherin-R-C	-0.261770564
p21-R-V	0.200693741
p27-R-V	-0.20707238
p27_pT157-R-C	-0.114480278
p27_pT198-R-V	0
p38_MAPK-R-V	-0.090534527
p38_pT180_Y182-R-V	0.243758963
p53-R-E	-0.117651993
p62-LCK-ligand-M-C	1.193266112
p70S6K-R-V	-0.158921848
p70S6K_pT389-R-V	-0.028722218
p90RSK-R-C	-0.16273666
p90RSK_pT359_S363-R-C	-0.131504531
PAI-1-M-E	0.390000421
PARP_cleaved-M-E	-0.160273065
Paxillin-R-C	0.035743343
PCNA-M-C	-0.077373036
PDCD4-R-C	0.654904005
PDK1-R-V	-0.128623669
PDK1_pS241-R-V	-0.087323208
PEA15-R-V	-0.331540053
PEA15_pS116-R-V	-0.227225004
PI3K-p110-alpha-R-C	0.098231801
PI3K-p85-R-V	-0.031623651
PKC-alpha-M-V	0.286591125
PKC-alpha_pS657-R-C	0.283028266
PKC-delta_pS664-R-V	-0.228973233
PKC-pan_BetaII_pS660-R-V	0.23866926
PR-R-V	-0.19274422
PRAS40_pT246-R-V	0.603933931
PRDX1-R-V	-0.268687374
PREX1-R-E	-0.611901722
PTEN-R-V	0.20491207
Rab11-R-E	-0.128302892
Rab25-R-V	0.153285535
Rad50-M-V	-0.15298607
Rad51-R-V	-0.358563835
Raptor-R-V	-0.02095255
Rb-M-E	-0.231749645
Rb_pS807_S811-R-V	0.735493924
RBM15-R-V	0.205409143
Rictor-R-C	0.929876824
Rictor_pT1135-R-V	-0.13878009
S6-R-E	-0.00392206900000003
S6_pS235_S236-R-V	0.568147154
S6_pS240_S244-R-V	0.592549263
SCD-M-V	0.01462043
SETD2-R-E	-0.343550503
SF2-M-V	0.13371205
Shc_pY317-R-E	0.537301555
Smac-M-E	-0.142315921
Smad1-R-V	-0.011669645
Smad3-R-V	-0.091925799
Smad4-M-V	0.00381762199999991
Snail-M-E	-0.145390888
Src-M-V	-0.237184329
Src_pY416-R-C	0.710539821
Src_pY527-R-V	0.685401977
STAT3_pY705-R-V	0.276953747
STAT5-alpha-R-V	-0.048401031
Stathmin-R-V	-0.284336184
Syk-M-V	0.423900784
TAZ-R-V	-0.062036983
TIGAR-R-V	-0.157343178
Transglutaminase-M-V	-0.352579625
TFRC-R-V	1.83557298
TSC1-R-C	-0.0238333150000001
TTF1-R-V	0.00619701100000003
Tuberin-R-E	0.217955164
Tuberin_pT1462-R-V	0.25449146
VEGFR2-R-V	0.170366509
EPPK1-M-E	1.602593297
XBP1-G-C	-0.137874168
XRCC1-R-E	-0.01952803
YAP-R-E	0.075482725
YAP_pS127-R-E	0.104979654
YB-1-R-V	0.32975808
YB-1_pS102-R-V	0.302406988
JAB1-M-C	-0.145245598
PARP1-R-V	0.027125446
A-Raf-R-V	-0.061751397
ARID1A-R-C	0.306703881
B-Raf_pS445-R-V	-0.210553431
Bcl2A1-R-V	-0.19226471
BRD4-R-V	0.372900697
c-Abl-R-V	-0.114715165
Caspase-3-R-C	0.021564693
CD26-R-V	-0.161934391
Chk1_pS296-R-V	-0.254967492
COG3-R-V	-0.185612407
DUSP4-R-V	-0.431723964
ERCC5-R-C	0.13980533
IGF1R_pY1135_Y1136-R-V	-0.169560889
IRF-1-R-C	0.064115128
Jak2-R-V	0.045221494
p16_INK4a-R-V	0.307603758
SHP-2_pY542-R-C	0.786150677
CDK1_pY15-R-C	0.999257807
