Sample REF	B8DA1194-2F9C-4792-8B40-B582F8D8B501
S6_pS235_S236-R-V	-0.388479002
S6_pS240_S244-R-V	-0.15848614
SCD-M-V	0.0138139430000001
SETD2-R-E	-0.108707823
SF2-M-V	0.540733698
Shc_pY317-R-E	0.0507090480000002
Smac-M-E	-0.291655016
Smad1-R-V	-0.062015144
Smad3-R-V	0.158094626
Smad4-M-V	0.086824228
Snail-M-E	-0.0962592689999998
Src-M-V	-0.468663672
Src_pY416-R-C	0.0723049880000001
Src_pY527-R-V	0.053491421
STAT3_pY705-R-V	0.362339491
STAT5-alpha-R-V	1.213949011
Stathmin-R-V	-0.221523006
Syk-M-V	0.30125994
TAZ-R-V	-0.113069675
TIGAR-R-V	-0.101093389
Transglutaminase-M-V	-0.113325089
TFRC-R-V	-0.250814686
TSC1-R-C	0.0886273559999999
TTF1-R-V	0.0626314190000001
Tuberin-R-E	0.363752845
Tuberin_pT1462-R-V	0.553481078
VEGFR2-R-V	-0.402142022
EPPK1-M-E	1.284641193
XBP1-G-C	0.175764441
XRCC1-R-E	-0.211810882
YAP-R-E	-0.218378169
YAP_pS127-R-E	0.0692887620000001
YB-1-R-V	0.10098313
YB-1_pS102-R-V	0.204136366
JAB1-M-C	-0.0410554559999999
PARP1-R-V	0
A-Raf-R-V	-0.126860205
ARID1A-R-C	0.019252472
B-Raf_pS445-R-V	-0.103103697
Bcl2A1-R-V	-0.102980441
BRD4-R-V	0.430658032
c-Abl-R-V	-0.012387198
Caspase-3-R-C	0.086891555
CD26-R-V	-0.121429642
Chk1_pS296-R-V	-0.00311269199999986
COG3-R-V	0.05535908
DUSP4-R-V	-0.423441285
ERCC5-R-C	0.566848744
IGF1R_pY1135_Y1136-R-V	-0.125799457
IRF-1-R-C	0.434868496
Jak2-R-V	0.28926258
p16_INK4a-R-V	-0.109065605
SHP-2_pY542-R-C	0.286118278
CDK1_pY15-R-C	0.365521307
