Sample REF	8338B88E-C70C-435A-B4A1-F7D869485F60
Smad3-R-V	-0.00375507100000005
Smad4-M-V	0.0735241359999999
Snail-M-E	0.0413104190000002
Src-M-V	0.130914294
Src_pY416-R-C	-0.237206476
Src_pY527-R-V	-0.470970104
STAT3_pY705-R-V	-0.742554877
STAT5-alpha-R-V	-1.005278581
Stathmin-R-V	0.010315554
Syk-M-V	-0.935551949
TAZ-R-V	0.00946853399999997
TIGAR-R-V	0.065680969
Transglutaminase-M-V	-0.131418854
TFRC-R-V	1.79014709
TSC1-R-C	0.145134847
TTF1-R-V	0.057843003
Tuberin-R-E	-0.320292314
Tuberin_pT1462-R-V	-0.239157803
VEGFR2-R-V	-0.20175381
EPPK1-M-E	0.269889888
XBP1-G-C	-0.0442881879999999
XRCC1-R-E	0.243289835
YAP-R-E	-0.00688317199999999
YAP_pS127-R-E	-0.384649328
YB-1-R-V	0.0440402579999999
YB-1_pS102-R-V	0.216902387
JAB1-M-C	0.127510836
PARP1-R-V	0.415715785
A-Raf-R-V	-0.149567166
ARID1A-R-C	0.20695455
B-Raf_pS445-R-V	1.119298787
Bcl2A1-R-V	0.012531089
BRD4-R-V	0.186616314
c-Abl-R-V	-0.033602116
Caspase-3-R-C	0.192355604
CD26-R-V	-0.099034533
Chk1_pS296-R-V	0.023149083
COG3-R-V	-0.031946796
DUSP4-R-V	-0.0411098519999999
ERCC5-R-C	0.055161685
IGF1R_pY1135_Y1136-R-V	0.011740441
IRF-1-R-C	0.00761845
Jak2-R-V	0.0732506470000001
p16_INK4a-R-V	-1.001291086
SHP-2_pY542-R-C	-0.335505633
CDK1_pY15-R-C	-0.258631213
