Sample REF	F287E787-B947-4C1D-9B34-66D426732136
MIG-6-M-V	-0.0866930010000001
Mre11-R-C	-0.107226555
MSH2-M-V	0.223991918
MSH6-R-C	-0.0497904780000001
mTOR-R-V	0.548262329
mTOR_pS2448-R-C	0.407324103
MYH11-R-V	-1.334502718
Myosin-IIa_pS1943-R-V	-0.00749614900000006
N-Cadherin-R-V	-0.383449007
N-Ras-M-V	-0.1543485
NDRG1_pT346-R-V	2.103919412
NF-kB-p65_pS536-R-C	0.522300665
NF2-R-C	-0.0215424090000002
Notch1-R-V	-0.279456833
P-Cadherin-R-C	-0.119802932
p21-R-V	-0.539155007
p27-R-V	0.475695573
p27_pT157-R-C	-0.0935834430000001
p27_pT198-R-V	-0.013270835
p38_MAPK-R-V	0.0391408599999999
p38_pT180_Y182-R-V	-0.149540791
p53-R-E	0.0240994259999999
p62-LCK-ligand-M-C	0.584576892
p70S6K-R-V	0.64406133
p70S6K_pT389-R-V	0.0125012159999999
p90RSK-R-C	-0.158755569
p90RSK_pT359_S363-R-C	0.371186612
PAI-1-M-E	-0.779421889
PARP_cleaved-M-E	-0.166003823
Paxillin-R-C	-0.472295883
PCNA-M-C	0.295990943
PDCD4-R-C	1.304794687
PDK1-R-V	-0.159153502
PDK1_pS241-R-V	-0.279690749
PEA15-R-V	-0.0901554120000001
PEA15_pS116-R-V	-0.390065084
PI3K-p110-alpha-R-C	0.51035989
PI3K-p85-R-V	-0.136991156
PKC-alpha-M-V	-0.145672329
PKC-alpha_pS657-R-C	-0.275613148
PKC-delta_pS664-R-V	-0.0195064810000002
PKC-pan_BetaII_pS660-R-V	0.318270141
PR-R-V	-0.0613595510000001
PRAS40_pT246-R-V	0.201713446
PRDX1-R-V	0.0794776949999999
PREX1-R-E	-0.228843136
PTEN-R-V	-0.0560426130000001
Rab11-R-E	-0.012077588
Rab25-R-V	1.090124675
Rad50-M-V	-0.070607184
Rad51-R-V	-0.263047985
Raptor-R-V	0.105273638
Rb-M-E	-0.112864566
Rb_pS807_S811-R-V	0.61133339
RBM15-R-V	0.313162795
Rictor-R-C	-0.269028606
Rictor_pT1135-R-V	-0.231495889
S6-R-E	0.37947928
S6_pS235_S236-R-V	0.607980556
S6_pS240_S244-R-V	0.149752291
SCD-M-V	-0.09443367
SETD2-R-E	-0.094058939
SF2-M-V	0.252253272
Shc_pY317-R-E	0.397577117
Smac-M-E	-0.171628554
Smad1-R-V	0.155495114
Smad3-R-V	-0.0319829830000001
Smad4-M-V	-0.000840811000000108
Snail-M-E	-0.002863591
Src-M-V	-0.42125938
Src_pY416-R-C	0.62193841
Src_pY527-R-V	-0.120656222
STAT3_pY705-R-V	0.173289944
STAT5-alpha-R-V	0.377149242
Stathmin-R-V	-0.173269763
Syk-M-V	0.173839659
TAZ-R-V	-0.197407671
TIGAR-R-V	-0.0405476400000001
Transglutaminase-M-V	-0.559885943
TFRC-R-V	1.328883415
TSC1-R-C	0.114486012
TTF1-R-V	0.0477736599999999
Tuberin-R-E	0.126113953
Tuberin_pT1462-R-V	-0.114067717
VEGFR2-R-V	-0.192349787
EPPK1-M-E	0.749323421
XBP1-G-C	0.132145233
XRCC1-R-E	-0.0322455030000001
YAP-R-E	0.913148961
YAP_pS127-R-E	1.578484596
YB-1-R-V	-0.353457805
YB-1_pS102-R-V	0.598359056
JAB1-M-C	0.0870185979999999
PARP1-R-V	-0.256509906
A-Raf-R-V	0.168492938
ARID1A-R-C	0.173731926
B-Raf_pS445-R-V	-0.040975156
Bcl2A1-R-V	-0.062988679
BRD4-R-V	0.278328815
c-Abl-R-V	-0.18862875
Caspase-3-R-C	0.131602495
CD26-R-V	-0.217572005
Chk1_pS296-R-V	-0.152999421
COG3-R-V	-0.00527316000000011
DUSP4-R-V	-0.315018612
ERCC5-R-C	0.416749531
IGF1R_pY1135_Y1136-R-V	-0.152114064
IRF-1-R-C	0.223202262
Jak2-R-V	0.183201065
p16_INK4a-R-V	0.485289283
SHP-2_pY542-R-C	0.211272116
CDK1_pY15-R-C	0.166831868
