Sample REF	580103D7-9873-4F83-857F-4D46A9DD24A2
PRAS40_pT246-R-V	-0.115024983
PRDX1-R-V	0.534570359
PREX1-R-E	0.427738307
PTEN-R-V	-0.0206230990000001
Rab11-R-E	0.128152261
Rab25-R-V	0.706135333
Rad50-M-V	0.034302013
Rad51-R-V	-0.085303204
Raptor-R-V	0.414409448
Rb-M-E	-0.0575528010000002
Rb_pS807_S811-R-V	0.245661536
RBM15-R-V	0.2021142
Rictor-R-C	-0.152077195
Rictor_pT1135-R-V	-0.055744389
S6-R-E	0.238235942
S6_pS235_S236-R-V	0.634010584
S6_pS240_S244-R-V	0.230167379
SCD-M-V	0.297207941
SETD2-R-E	-0.113044569
SF2-M-V	-0.0761436399999998
Shc_pY317-R-E	0.159685143
Smac-M-E	-0.027964147
Smad1-R-V	-0.424284386
Smad3-R-V	-0.047273762
Smad4-M-V	-0.092846754
Snail-M-E	-0.19571267
Src-M-V	-0.545967326
Src_pY416-R-C	-0.307672053
Src_pY527-R-V	-1.111545759
STAT3_pY705-R-V	0.672936462
STAT5-alpha-R-V	0.71377789
Stathmin-R-V	-0.061468981
Syk-M-V	0.429150801
TAZ-R-V	0.036348124
TIGAR-R-V	2.408406022
Transglutaminase-M-V	0.461220754
TFRC-R-V	-0.387015631
TSC1-R-C	0.0675908889999999
TTF1-R-V	0.013063725
Tuberin-R-E	0.261316714
Tuberin_pT1462-R-V	-0.251443526
VEGFR2-R-V	0.052356444
EPPK1-M-E	0.197675152
XBP1-G-C	-0.00323588400000002
XRCC1-R-E	0.109234404
YAP-R-E	-0.077968245
YAP_pS127-R-E	0.059592669
YB-1-R-V	0.074496309
YB-1_pS102-R-V	-0.141475925
JAB1-M-C	-0.141475925
PARP1-R-V	0.0714220239999999
A-Raf-R-V	-0.266359424
ARID1A-R-C	-0.102024989
B-Raf_pS445-R-V	0.07551601
Bcl2A1-R-V	0.516304066
BRD4-R-V	-0.118421055
c-Abl-R-V	0.121040883
Caspase-3-R-C	0.0132455899999999
CD26-R-V	0.054555555
Chk1_pS296-R-V	0.081289924
COG3-R-V	0.359976301
DUSP4-R-V	1.417923575
ERCC5-R-C	0.042203884
IGF1R_pY1135_Y1136-R-V	-0.0755165399999999
IRF-1-R-C	0.068035285
Jak2-R-V	0.072916531
p16_INK4a-R-V	0.290862753
SHP-2_pY542-R-C	-0.229450763
CDK1_pY15-R-C	-0.405270029
