Sample REF	4EE077A4-25B8-4C6B-B0D3-06301827E402
Myosin-IIa_pS1943-R-V	0.318132351
N-Cadherin-R-V	0.0493915879999999
N-Ras-M-V	0.220165873
NDRG1_pT346-R-V	-1.389268353
NF-kB-p65_pS536-R-C	-0.662136582
NF2-R-C	0.176483537
Notch1-R-V	-0.272020847
P-Cadherin-R-C	0.0305991299999997
p21-R-V	0.114189849
p27-R-V	-0.483947461
p27_pT157-R-C	0.0177371949999999
p27_pT198-R-V	-0.192963784
p38_MAPK-R-V	0.0854519189999999
p38_pT180_Y182-R-V	0.130167029
p53-R-E	-0.185237122
p62-LCK-ligand-M-C	-0.518289166
p70S6K-R-V	0.0833544149999999
p70S6K_pT389-R-V	-0.186743521
p90RSK-R-C	0.204046096
p90RSK_pT359_S363-R-C	-0.336256402
PAI-1-M-E	-0.0351925720000001
PARP_cleaved-M-E	-0.322653676
Paxillin-R-C	-1.168306934
PCNA-M-C	0.102352372
PDCD4-R-C	0.256231976
PDK1-R-V	0.103368889
PDK1_pS241-R-V	0.239941602
PEA15-R-V	0.225128595
PEA15_pS116-R-V	-0.0997945670000001
PI3K-p110-alpha-R-C	-0.0433518040000002
PI3K-p85-R-V	0.0969896849999999
PKC-alpha-M-V	-0.60223096
PKC-alpha_pS657-R-C	-0.656490858
PKC-delta_pS664-R-V	-0.0145515710000002
PKC-pan_BetaII_pS660-R-V	-0.0125263380000001
PR-R-V	-0.0236732750000002
PRAS40_pT246-R-V	-0.166493405
PRDX1-R-V	0.170946998
PREX1-R-E	-0.137253739
PTEN-R-V	-0.811196171
Rab11-R-E	0.362863888
Rab25-R-V	0.55993051
Rad50-M-V	-0.149463977
Rad51-R-V	-0.285710114
Raptor-R-V	-0.230378108
Rb-M-E	-0.0622792890000001
Rb_pS807_S811-R-V	0.193237571
RBM15-R-V	-0.819633853
Rictor-R-C	-0.032172356
Rictor_pT1135-R-V	0.0999930739999999
S6-R-E	0.104246852
S6_pS235_S236-R-V	-0.391610112
S6_pS240_S244-R-V	-0.401824242
SCD-M-V	0.156900595
SETD2-R-E	-0.028865165
SF2-M-V	-0.410561687
Shc_pY317-R-E	-0.354077555
Smac-M-E	0.282618495
Smad1-R-V	-0.269503543
Smad3-R-V	-0.0187065450000001
Smad4-M-V	0.00607234699999992
Snail-M-E	-0.524348138
Src-M-V	0.451632678
Src_pY416-R-C	0.393279188
Src_pY527-R-V	-0.367751744
STAT3_pY705-R-V	-0.0164614580000001
STAT5-alpha-R-V	-1.899341336
Stathmin-R-V	-0.0503707800000001
Syk-M-V	0.343377784
TAZ-R-V	0.0172771409999998
TIGAR-R-V	0.114732584
Transglutaminase-M-V	0.163513033
TFRC-R-V	0.0342671319999999
TSC1-R-C	0.127900043
TTF1-R-V	-0.024974756
Tuberin-R-E	-0.331103388
Tuberin_pT1462-R-V	-0.0866486880000001
VEGFR2-R-V	0.197160602
EPPK1-M-E	0.994845549
XBP1-G-C	-0.525826333
XRCC1-R-E	0.0344618459999999
YAP-R-E	0.490243458
YAP_pS127-R-E	0.479281467
YB-1-R-V	0.155340757
YB-1_pS102-R-V	0.0206132079999999
JAB1-M-C	0
PARP1-R-V	-0.256160601
A-Raf-R-V	0.11905762
ARID1A-R-C	-0.482778225
B-Raf_pS445-R-V	0.213904118
Bcl2A1-R-V	0.149498519
BRD4-R-V	-0.839882531
c-Abl-R-V	0.249788683
Caspase-3-R-C	0.156045503
CD26-R-V	0.0328855239999999
Chk1_pS296-R-V	0.0805494759999999
COG3-R-V	-0.253046523
DUSP4-R-V	0.942242258
ERCC5-R-C	-0.114616487
IGF1R_pY1135_Y1136-R-V	0.016992148
IRF-1-R-C	-0.434624842
Jak2-R-V	-0.144857264
p16_INK4a-R-V	0.507210703
SHP-2_pY542-R-C	-0.140891075
CDK1_pY15-R-C	-0.499351567
