Sample REF	FA37518B-8DC1-4510-8DF4-6E7021ECC8B5
Rb_pS807_S811-R-V	-0.4546875
RBM15-R-V	-1.402371448
Rictor-R-C	-0.730788003
Rictor_pT1135-R-V	0.405293387
S6-R-E	-0.340831919
S6_pS235_S236-R-V	0.322847317
S6_pS240_S244-R-V	0.160548791
SCD-M-V	-0.189370409
SETD2-R-E	0.404034241
SF2-M-V	-1.361799501
Shc_pY317-R-E	0.446994028
Smac-M-E	0.385503007
Smad1-R-V	-0.282804939
Smad3-R-V	0.0166767729999999
Smad4-M-V	0.292122812
Snail-M-E	-1.081217269
Src-M-V	-0.390256814
Src_pY416-R-C	1.200316936
Src_pY527-R-V	0.343403457
STAT3_pY705-R-V	-0.0047787920000002
STAT5-alpha-R-V	-2.008999943
Stathmin-R-V	0.755977637
Syk-M-V	-0.731743062
TAZ-R-V	0.467503872
TIGAR-R-V	0.0154125110000001
Transglutaminase-M-V	0.366288921
TFRC-R-V	1.271396041
TSC1-R-C	-1.379576379
TTF1-R-V	0.0399867819999997
Tuberin-R-E	-1.975236038
Tuberin_pT1462-R-V	-0.346544688
VEGFR2-R-V	0.228178743
EPPK1-M-E	-1.980212397
XBP1-G-C	-0.541466815000001
XRCC1-R-E	-0.214975007
YAP-R-E	0.388554188
YAP_pS127-R-E	-0.184501573
YB-1-R-V	-0.338907381
YB-1_pS102-R-V	0.20073176
JAB1-M-C	0.216425554
PARP1-R-V	0.423375666
A-Raf-R-V	-0.275430541
ARID1A-R-C	-1.349265085
B-Raf_pS445-R-V	-0.450675547
Bcl2A1-R-V	0.562285144
BRD4-R-V	-0.641286236
c-Abl-R-V	0.421686903
Caspase-3-R-C	0.557410415
CD26-R-V	-0.28088299
Chk1_pS296-R-V	0.498943919
COG3-R-V	-1.493411376
DUSP4-R-V	0.511062629
ERCC5-R-C	0.493057539
IGF1R_pY1135_Y1136-R-V	0.506959525
IRF-1-R-C	-0.130439738
Jak2-R-V	-0.66841032
p16_INK4a-R-V	0.271174345
SHP-2_pY542-R-C	0.449033618
CDK1_pY15-R-C	0.480922756
