Sample REF	53BE8C06-2C3C-42EF-A4B8-202A39B34E36
Cyclin_E1-M-V	0.434547796
Cyclin_E2-R-C	-0.0846426779999999
DJ-1-R-E	0.473926939
Dvl3-R-V	-0.353388588
E-Cadherin-R-V	-0.932940661
eEF2-R-C	0.386322367
eEF2K-R-V	-0.900826742
EGFR-R-V	-0.091989156
EGFR_pY1068-R-C	0.032049093
EGFR_pY1173-R-V	-0.029094106
eIF4E-R-V	0.271592911
eIF4G-R-C	-1.80844055
ER-alpha-R-V	-0.227294405
ER-alpha_pS118-R-V	-0.167800888
ERCC1-M-V	-0.0150097809999999
ERK2-R-E	0.341934355
ETS-1-R-V	-0.030163422
FASN-R-V	0.850312895
Fibronectin-R-V	-0.197910122
FoxM1-R-V	-0.246952433
FOXO3a-R-C	-0.0136127300000001
FOXO3a_pS318_S321-R-C	-0.122095589
G6PD-M-V	0.257672885
GAB2-R-V	-0.4593516
GAPDH-M-C	0.085774904
GATA3-M-V	0.575614009
GSK3-alpha-beta-M-V	0.118011279
GSK3-alpha-beta_pS21_S9-R-V	0.00519923999999999
GSK3_pS9-R-V	0.230639632
HER2-M-V	-0.270583219
HER2_pY1248-R-C	-0.29472321
HER3-R-V	0.20427745
HER3_pY1289-R-C	-0.021043754
Heregulin-R-V	-0.10327421
HSP70-R-C	0.257309149
IGFBP2-R-V	-0.897972712
INPP4B-R-V	0.0673794920000003
IRS1-R-V	-0.149433048
JNK_pT183_pY185-R-V	-0.160699119
JNK2-R-C	0.201407424
Ku80-R-C	-0.255331655
Lck-R-V	0.513738226
LKB1-M-E	0.040999468
MAPK_pT202_Y204-R-V	-0.189352555
MEK1-R-V	0.469917311
MEK1_pS217_S221-R-V	0.03857462
MIG-6-M-V	0.04647714
Mre11-R-C	0.019161027
MSH2-M-V	0.267192588
MSH6-R-C	0.086790561
mTOR-R-V	0.34862702
mTOR_pS2448-R-C	0.138339239
MYH11-R-V	-0.768890323
Myosin-IIa_pS1943-R-V	0.140531399
N-Cadherin-R-V	0.016935614
N-Ras-M-V	0.076446527
NDRG1_pT346-R-V	2.190589321
NF-kB-p65_pS536-R-C	-0.365046281
NF2-R-C	0.142457855
Notch1-R-V	-0.311985077
P-Cadherin-R-C	0.0542868120000001
p21-R-V	0.399453851
p27-R-V	-0.207426842
p27_pT157-R-C	-0.063529114
p27_pT198-R-V	-0.236393042
p38_MAPK-R-V	0.44882571
p38_pT180_Y182-R-V	0.229477033
p53-R-E	0.0417374090000001
p62-LCK-ligand-M-C	0.241041472
p70S6K-R-V	0.271914912
p70S6K_pT389-R-V	-0.0188519909999999
p90RSK-R-C	0.196459936
p90RSK_pT359_S363-R-C	0.0497548630000001
PAI-1-M-E	1.206869808
PARP_cleaved-M-E	0.116559336
Paxillin-R-C	-1.55039988
PCNA-M-C	-0.073403302
PDCD4-R-C	-0.200295523
PDK1-R-V	0.094737603
PDK1_pS241-R-V	0.166947525
PEA15-R-V	0.314532828
PEA15_pS116-R-V	-0.24063733
PI3K-p110-alpha-R-C	0.123117567
PI3K-p85-R-V	0.238674418
PKC-alpha-M-V	-0.120207939
PKC-alpha_pS657-R-C	-0.080837833
PKC-delta_pS664-R-V	-0.055061659
PKC-pan_BetaII_pS660-R-V	0.279407164
PR-R-V	0.00883836100000013
PRAS40_pT246-R-V	-0.227929515
PRDX1-R-V	0.620812464
PREX1-R-E	0.608992234
PTEN-R-V	-0.110273214
Rab11-R-E	0.082095347
Rab25-R-V	0.29226855
Rad50-M-V	0.0615918220000001
Rad51-R-V	-0.0403647960000001
Raptor-R-V	0.267885385
Rb-M-E	-0.040600216
Rb_pS807_S811-R-V	-0.155595953
RBM15-R-V	-0.630192449
Rictor-R-C	-0.682791522
Rictor_pT1135-R-V	-0.029317751
S6-R-E	-0.44642968
S6_pS235_S236-R-V	-0.221268208
S6_pS240_S244-R-V	-0.102300258
SCD-M-V	0.042438214
SETD2-R-E	-0.105887384
SF2-M-V	0.474152868
Shc_pY317-R-E	0.144443953
Smac-M-E	0.0222701200000001
Smad1-R-V	-0.031653047
Smad3-R-V	0.070711032
Smad4-M-V	0.210316407
Snail-M-E	-0.0693602969999997
Src-M-V	0.404457365
Src_pY416-R-C	0.0218258350000001
Src_pY527-R-V	0.246310183
STAT3_pY705-R-V	0.272668104
STAT5-alpha-R-V	0.045385762
Stathmin-R-V	-0.123411293
Syk-M-V	0.442634394
TAZ-R-V	-0.048103635
TIGAR-R-V	-0.0597896769999999
Transglutaminase-M-V	0.51151186
TFRC-R-V	0.954477962
TSC1-R-C	0.016090676
TTF1-R-V	-0.171275793
Tuberin-R-E	-0.13895922
Tuberin_pT1462-R-V	-0.046605661
VEGFR2-R-V	0.070914081
EPPK1-M-E	0.082516409
XBP1-G-C	-0.296203628
XRCC1-R-E	0.0524407160000001
YAP-R-E	-0.201025511
YAP_pS127-R-E	-0.545143196
YB-1-R-V	-0.291354771
YB-1_pS102-R-V	-0.116890945
JAB1-M-C	0.128982642
PARP1-R-V	0.225576967
A-Raf-R-V	0.13607533
ARID1A-R-C	0.025321917
B-Raf_pS445-R-V	0.190640877
Bcl2A1-R-V	0.022339517
BRD4-R-V	-0.000631489999999846
c-Abl-R-V	-0.01035817
Caspase-3-R-C	-0.057318595
CD26-R-V	-0.034186778
Chk1_pS296-R-V	0.035119453
COG3-R-V	-0.561712652
DUSP4-R-V	0.327139223
ERCC5-R-C	0.093014542
IGF1R_pY1135_Y1136-R-V	-0.0171511369999999
IRF-1-R-C	-0.515613142
Jak2-R-V	-0.322514623
p16_INK4a-R-V	0.041575267
SHP-2_pY542-R-C	-0.151592541
CDK1_pY15-R-C	0.205804658
