Sample REF	ED5836F8-2919-4EC1-85ED-0859F071B5A9
GSK3-alpha-beta_pS21_S9-R-V	-0.887621342
GSK3_pS9-R-V	-1.382825525
HER2-M-V	0.044822532
HER2_pY1248-R-C	0.0293853560000001
HER3-R-V	0.209776811
HER3_pY1289-R-C	0.17583333
Heregulin-R-V	0.457331313
HSP70-R-C	-0.190377781
IGFBP2-R-V	-0.363641889
INPP4B-R-V	0.19604883
IRS1-R-V	-0.136923845
JNK_pT183_pY185-R-V	0.147857817
JNK2-R-C	-0.145551399
Ku80-R-C	-0.140978808
Lck-R-V	-0.153309248
LKB1-M-E	-0.16889361
MAPK_pT202_Y204-R-V	0.0308885709999999
MEK1-R-V	0.035656881
MEK1_pS217_S221-R-V	0.099815716
MIG-6-M-V	-0.093315361
Mre11-R-C	-0.00187011899999995
MSH2-M-V	0.411939224
MSH6-R-C	0.277465215
mTOR-R-V	-0.00207097799999995
mTOR_pS2448-R-C	-0.181507203
MYH11-R-V	-0.032177347
Myosin-IIa_pS1943-R-V	-0.062136081
N-Cadherin-R-V	-0.103236745
N-Ras-M-V	0.233308007
NDRG1_pT346-R-V	-2.012901143
NF-kB-p65_pS536-R-C	-0.653521122
NF2-R-C	-0.149971378
Notch1-R-V	0.077640659
P-Cadherin-R-C	0.278532077
p21-R-V	-1.71338855
p27-R-V	0.19938052
p27_pT157-R-C	0.000758662000000007
p27_pT198-R-V	-0.141094602
p38_MAPK-R-V	0.311554922
p38_pT180_Y182-R-V	0.352789399
p53-R-E	-0.19023904
p62-LCK-ligand-M-C	0.712957172
p70S6K-R-V	0.040459942
p70S6K_pT389-R-V	-0.162469768
p90RSK-R-C	0.090149592
p90RSK_pT359_S363-R-C	-0.353405183
PAI-1-M-E	-0.251589128
PARP_cleaved-M-E	0.765918578
Paxillin-R-C	-1.081787397
PCNA-M-C	0.325031573
PDCD4-R-C	0.307529721
PDK1-R-V	-0.0344350110000001
PDK1_pS241-R-V	-0.137046279
PEA15-R-V	0.21238298
PEA15_pS116-R-V	-0.349499379
PI3K-p110-alpha-R-C	0.04133277
PI3K-p85-R-V	-0.091741373
PKC-alpha-M-V	0.245565559
PKC-alpha_pS657-R-C	0.187177245
PKC-delta_pS664-R-V	-0.197912033
PKC-pan_BetaII_pS660-R-V	-1.365469419
PR-R-V	-0.0171491819999999
PRAS40_pT246-R-V	-0.199154668
PRDX1-R-V	0.74706032
PREX1-R-E	-0.0294344650000001
PTEN-R-V	-0.0122911130000001
Rab11-R-E	0.422500626
Rab25-R-V	1.523426821
Rad50-M-V	-0.374929621
Rad51-R-V	-0.113131797
Raptor-R-V	-0.06618188
Rb-M-E	0.0648220289999998
Rb_pS807_S811-R-V	-0.0448421429999999
RBM15-R-V	-0.862249496
Rictor-R-C	-0.887757505
Rictor_pT1135-R-V	-0.224853338
S6-R-E	-0.261310424
S6_pS235_S236-R-V	-0.280237156
S6_pS240_S244-R-V	-0.389234707
SCD-M-V	-0.00721845299999996
SETD2-R-E	0.125713735
SF2-M-V	-0.177954681
Shc_pY317-R-E	-0.0523048629999999
Smac-M-E	0.569165375
Smad1-R-V	0.019716963
Smad3-R-V	-0.090714162
Smad4-M-V	0.265660966
Snail-M-E	0.610936278
Src-M-V	0.039685532
Src_pY416-R-C	-0.749878452
Src_pY527-R-V	-0.067326509
STAT3_pY705-R-V	-0.315104014
STAT5-alpha-R-V	-1.088515998
Stathmin-R-V	0.17516848
Syk-M-V	-0.916646054
TAZ-R-V	0.024662559
TIGAR-R-V	-0.194983992
Transglutaminase-M-V	0.046154175
TFRC-R-V	-0.894701613
TSC1-R-C	-0.11484362
TTF1-R-V	-0.061027929
Tuberin-R-E	-0.687318347
Tuberin_pT1462-R-V	-0.142696625
VEGFR2-R-V	0.345988641
EPPK1-M-E	-0.348531849
XBP1-G-C	-0.0450033500000001
XRCC1-R-E	0.373433428
YAP-R-E	0.320160633
YAP_pS127-R-E	0.292903968
YB-1-R-V	-0.140277033
YB-1_pS102-R-V	0.081368488
JAB1-M-C	0.494661499
PARP1-R-V	0.406882721
A-Raf-R-V	0.267492691
ARID1A-R-C	-0.032611464
B-Raf_pS445-R-V	0.132095913
Bcl2A1-R-V	-0.042763562
BRD4-R-V	-0.58322867
c-Abl-R-V	-0.020666311
Caspase-3-R-C	0.187342438
CD26-R-V	-0.008813193
Chk1_pS296-R-V	-0.10337053
COG3-R-V	-0.272298238
DUSP4-R-V	0.152559172
ERCC5-R-C	-0.236731868
IGF1R_pY1135_Y1136-R-V	0.040319928
IRF-1-R-C	-0.51168311
Jak2-R-V	-0.286380029
p16_INK4a-R-V	0.101114945
SHP-2_pY542-R-C	-0.14754215
CDK1_pY15-R-C	0.177913207
