Sample REF	857EBB46-CE0C-4F46-80F5-DFDD54ECC704
GAPDH-M-C	0.591225326
GATA3-M-V	-0.263238602
GSK3-alpha-beta-M-V	0.101320955
GSK3-alpha-beta_pS21_S9-R-V	0.328932058
GSK3_pS9-R-V	0.137466013
HER2-M-V	-0.705823633
HER2_pY1248-R-C	-0.134070018
HER3-R-V	0.231949284
HER3_pY1289-R-C	0.191137638
Heregulin-R-V	0.028424108
HSP70-R-C	-0.0558334000000001
IGFBP2-R-V	-0.115142921
INPP4B-R-V	-0.0555178419999998
IRS1-R-V	-0.121838815
JNK_pT183_pY185-R-V	-0.0145014719999999
JNK2-R-C	0.16135235
Ku80-R-C	-0.470868389
Lck-R-V	0.212049046
LKB1-M-E	0.00261602899999996
MAPK_pT202_Y204-R-V	-0.157346899
MEK1-R-V	0.172794576
MEK1_pS217_S221-R-V	0.076034498
MIG-6-M-V	0.123633846
Mre11-R-C	0.062358694
MSH2-M-V	0.516964235
MSH6-R-C	0.116023248
mTOR-R-V	-0.363773261
mTOR_pS2448-R-C	-0.00195613499999997
MYH11-R-V	-1.506227829
Myosin-IIa_pS1943-R-V	0
N-Cadherin-R-V	-0.164298625
N-Ras-M-V	0.027483848
NDRG1_pT346-R-V	-1.755397245
NF-kB-p65_pS536-R-C	0.223001547
NF2-R-C	0.160693356
Notch1-R-V	-0.496920157
P-Cadherin-R-C	0.366148876
p21-R-V	0.509954085
p27-R-V	0.170044664
p27_pT157-R-C	-0.110682746
p27_pT198-R-V	-0.22245525
p38_MAPK-R-V	0.086217601
p38_pT180_Y182-R-V	0.504403605
p53-R-E	-0.0909600389999999
p62-LCK-ligand-M-C	-0.294214546
p70S6K-R-V	-0.389633758
p70S6K_pT389-R-V	-0.120852495
p90RSK-R-C	0.359461402
p90RSK_pT359_S363-R-C	-0.0536747279999999
PAI-1-M-E	-0.553780312
PARP_cleaved-M-E	-0.0972660030000002
Paxillin-R-C	-1.716525851
PCNA-M-C	0.810204711
PDCD4-R-C	0.427670807
PDK1-R-V	-0.107085279
PDK1_pS241-R-V	-0.15898812
PEA15-R-V	-0.279065172
PEA15_pS116-R-V	-0.353617189
PI3K-p110-alpha-R-C	0.079966775
PI3K-p85-R-V	0.05958032
PKC-alpha-M-V	0.627449683
PKC-alpha_pS657-R-C	0.919402508
PKC-delta_pS664-R-V	0.148522797
PKC-pan_BetaII_pS660-R-V	0.212972445
PR-R-V	0.0506732069999999
PRAS40_pT246-R-V	-0.158102937
PRDX1-R-V	0.478749218
PREX1-R-E	-0.00396179700000016
PTEN-R-V	0.479558249
Rab11-R-E	0.293521186
Rab25-R-V	1.166236476
Rad50-M-V	0.323256278
Rad51-R-V	0.0188122400000001
Raptor-R-V	0.011593648
Rb-M-E	-0.0227068180000001
Rb_pS807_S811-R-V	0.0433425229999999
RBM15-R-V	-0.455956731
Rictor-R-C	-0.792015131
Rictor_pT1135-R-V	0.077269034
S6-R-E	0.092939876
S6_pS235_S236-R-V	-0.0175059339999997
S6_pS240_S244-R-V	-0.314382175
SCD-M-V	0.023802525
SETD2-R-E	0.00194949200000022
SF2-M-V	0.524404722
Shc_pY317-R-E	-0.094226127
Smac-M-E	0.354273964
Smad1-R-V	0.165108947
Smad3-R-V	-0.068281884
Smad4-M-V	0.188320634
Snail-M-E	-0.275133198
Src-M-V	0.279008892
Src_pY416-R-C	0.260473538
Src_pY527-R-V	0.918140246
STAT3_pY705-R-V	0.350354194
STAT5-alpha-R-V	-1.281687196
Stathmin-R-V	0.132649149
Syk-M-V	-0.239230739
TAZ-R-V	0.128045458
TIGAR-R-V	1.238753441
Transglutaminase-M-V	-0.171686275
TFRC-R-V	0.286445781
TSC1-R-C	-0.131911232
TTF1-R-V	-0.0666408399999999
Tuberin-R-E	-0.754024063
Tuberin_pT1462-R-V	-0.0660236269999999
VEGFR2-R-V	0.197107978
EPPK1-M-E	-1.283699159
XBP1-G-C	-0.625356158
XRCC1-R-E	0.550182899
YAP-R-E	0.045346559
YAP_pS127-R-E	-0.802098776
YB-1-R-V	0.076663784
YB-1_pS102-R-V	0.115306652
JAB1-M-C	0.11809767
PARP1-R-V	0.512895979
A-Raf-R-V	0.285996177
ARID1A-R-C	-0.30017665
B-Raf_pS445-R-V	-0.037571046
Bcl2A1-R-V	0.114822785
BRD4-R-V	-0.475529421
c-Abl-R-V	-0.130024247
Caspase-3-R-C	0.105497337
CD26-R-V	0.205133269
Chk1_pS296-R-V	-0.07536615
COG3-R-V	-0.44336492
DUSP4-R-V	1.35353
ERCC5-R-C	0.327973815
IGF1R_pY1135_Y1136-R-V	0.0661072460000001
IRF-1-R-C	-0.400774019
Jak2-R-V	-0.580781555
p16_INK4a-R-V	0.480363417
SHP-2_pY542-R-C	-0.0871674729999999
CDK1_pY15-R-C	0.664125771
