Sample REF	23F28333-7FA9-41C6-8039-57739EC99A30
eIF4G-R-C	-0.516047652
ER-alpha-R-V	-0.915389458
ER-alpha_pS118-R-V	-0.112785227
ERCC1-M-V	-0.124167702
ERK2-R-E	0.527364703
ETS-1-R-V	0.642965458
FASN-R-V	-0.13150724
Fibronectin-R-V	0.33335313
FoxM1-R-V	-0.28416474
FOXO3a-R-C	-0.176680557
FOXO3a_pS318_S321-R-C	-0.645711123
G6PD-M-V	-0.0473599080000005
GAB2-R-V	0.579225181
GAPDH-M-C	1.319630232
GATA3-M-V	0.392874662
GSK3-alpha-beta-M-V	0.299696356
GSK3-alpha-beta_pS21_S9-R-V	0.541492649
GSK3_pS9-R-V	0.469569912
HER2-M-V	0.016921376
HER2_pY1248-R-C	-0.430093927
HER3-R-V	-0.277682402
HER3_pY1289-R-C	0.439862869
Heregulin-R-V	0.354110496
HSP70-R-C	0.47715456
IGFBP2-R-V	-0.974102753
INPP4B-R-V	-0.146446885
IRS1-R-V	0.0280875
JNK_pT183_pY185-R-V	0.202091949
JNK2-R-C	0.296858947
Ku80-R-C	-1.045139375
Lck-R-V	-0.446665159
LKB1-M-E	0.2016339
MAPK_pT202_Y204-R-V	-0.565918565
MEK1-R-V	0.542881749
MEK1_pS217_S221-R-V	0.144234943
MIG-6-M-V	0.5235115
Mre11-R-C	0.207065179
MSH2-M-V	-0.238467873
MSH6-R-C	0.045296923
mTOR-R-V	-0.622611477
mTOR_pS2448-R-C	-1.090317396
MYH11-R-V	-2.287959688
Myosin-IIa_pS1943-R-V	-0.621854938
N-Cadherin-R-V	0.47387842
N-Ras-M-V	0.321969845
NDRG1_pT346-R-V	2.166196526
NF-kB-p65_pS536-R-C	-0.392347983
NF2-R-C	0.240132125
Notch1-R-V	-0.755392095
P-Cadherin-R-C	0.599285524
p21-R-V	0.922291718
p27-R-V	-0.325433952
p27_pT157-R-C	0.00108836000000001
p27_pT198-R-V	-0.256895676
p38_MAPK-R-V	-0.245544768
p38_pT180_Y182-R-V	0.291190634
p53-R-E	-0.020155798
p62-LCK-ligand-M-C	-0.212842911
p70S6K-R-V	-0.385556109
p70S6K_pT389-R-V	-0.125006918
p90RSK-R-C	-0.875584394
p90RSK_pT359_S363-R-C	-0.154340409
PAI-1-M-E	1.363264242
PARP_cleaved-M-E	-0.0692851839999999
Paxillin-R-C	-0.804560697
PCNA-M-C	0.135398299
PDCD4-R-C	-1.819531012
PDK1-R-V	0.16598922
PDK1_pS241-R-V	0.121765872
PEA15-R-V	0.286927447
PEA15_pS116-R-V	1.568343392
PI3K-p110-alpha-R-C	-0.718941842
PI3K-p85-R-V	-0.547061606
PKC-alpha-M-V	-1.24169359
PKC-alpha_pS657-R-C	-1.990569199
PKC-delta_pS664-R-V	-0.561261668
PKC-pan_BetaII_pS660-R-V	-1.102881828
PR-R-V	-0.0442137530000002
PRAS40_pT246-R-V	0.106492907
PRDX1-R-V	0.246063313
PREX1-R-E	-0.19661243
PTEN-R-V	-2.648058359
Rab11-R-E	0.335772157
Rab25-R-V	-0.144814878
Rad50-M-V	0.19194853
Rad51-R-V	0.430518729
Raptor-R-V	-0.00745891900000006
Rb-M-E	0.406213245
Rb_pS807_S811-R-V	-0.0878620120000002
RBM15-R-V	-0.887375334
Rictor-R-C	-1.191400564
Rictor_pT1135-R-V	0.205676822
S6-R-E	-0.403666473
S6_pS235_S236-R-V	-1.309112515
S6_pS240_S244-R-V	-0.703215831
SCD-M-V	0.102821685
SETD2-R-E	0
SF2-M-V	-1.718429637
Shc_pY317-R-E	0.370170166
Smac-M-E	0.12018149
Smad1-R-V	-0.671586379
Smad3-R-V	0.021448281
Smad4-M-V	0.214755225
Snail-M-E	-0.391096279
Src-M-V	-1.472617976
Src_pY416-R-C	-1.017210861
Src_pY527-R-V	-1.381637035
STAT3_pY705-R-V	-0.410757168
STAT5-alpha-R-V	-1.97636889
Stathmin-R-V	0.319709438
Syk-M-V	0.000503597000000022
TAZ-R-V	0.39930632
TIGAR-R-V	0.802421555
Transglutaminase-M-V	2.316497965
TFRC-R-V	-0.23010857
TSC1-R-C	0.258956868
TTF1-R-V	0.485141645
Tuberin-R-E	-0.772233039
Tuberin_pT1462-R-V	-0.0443672899999998
VEGFR2-R-V	0.543246573
EPPK1-M-E	0.228004339
XBP1-G-C	-0.357917953
XRCC1-R-E	-0.066053299
YAP-R-E	0.482288092
YAP_pS127-R-E	0.244140603
YB-1-R-V	0.553124427
YB-1_pS102-R-V	-0.122386786
JAB1-M-C	0.010185208
PARP1-R-V	-0.624693193
A-Raf-R-V	0.181745791
ARID1A-R-C	-0.916669425
B-Raf_pS445-R-V	0.133039295
Bcl2A1-R-V	0.710423448
BRD4-R-V	-0.771266197
c-Abl-R-V	0.506200644
Caspase-3-R-C	0.324352024
CD26-R-V	0.213526772
Chk1_pS296-R-V	0.352739728
COG3-R-V	-0.60579132
DUSP4-R-V	1.146278156
ERCC5-R-C	0.405313477
IGF1R_pY1135_Y1136-R-V	0.124630589
IRF-1-R-C	0.128893917
Jak2-R-V	-0.231803651
p16_INK4a-R-V	-0.180330485
SHP-2_pY542-R-C	-0.520968067
CDK1_pY15-R-C	-0.597051229
