Sample REF	8946907D-9AB9-4A3F-80CD-5689DAAB4556
Chk2-M-E	0.297192919
Chk2_pT68-R-C	0.00444046700000003
cIAP-R-V	-0.060372941
Claudin-7-R-V	0.712346734
Collagen_VI-R-V	-0.233913469
Cyclin_B1-R-V	-0.086484517
Cyclin_D1-R-V	0.059537354
Cyclin_E1-M-V	-0.382430808
Cyclin_E2-R-C	-0.00850992399999997
DJ-1-R-E	-0.022421883
Dvl3-R-V	-0.01786634
E-Cadherin-R-V	0.000131157000000076
eEF2-R-C	0.002683242
eEF2K-R-V	1.019092478
EGFR-R-V	0.544512095
EGFR_pY1068-R-C	-0.303110534
EGFR_pY1173-R-V	-0.038815893
eIF4E-R-V	-0.150174572
eIF4G-R-C	-0.262733829
ER-alpha-R-V	1.263985032
ER-alpha_pS118-R-V	-0.0247262749999999
ERCC1-M-V	0.152258008
ERK2-R-E	0.16675235
ETS-1-R-V	-0.080727127
FASN-R-V	0.027622569
Fibronectin-R-V	-0.278539486
FoxM1-R-V	0.0041998890000001
FOXO3a-R-C	0.081986635
FOXO3a_pS318_S321-R-C	0.080469137
G6PD-M-V	-0.175355407
GAB2-R-V	0.00938030499999995
GAPDH-M-C	-0.146153364
GATA3-M-V	0.366921009
GSK3-alpha-beta-M-V	0.0357364559999999
GSK3-alpha-beta_pS21_S9-R-V	0.179576352
GSK3_pS9-R-V	0.192209957
HER2-M-V	-0.691233726
HER2_pY1248-R-C	-0.401044413
HER3-R-V	-0.344295898
HER3_pY1289-R-C	0.015730892
Heregulin-R-V	-0.0509697659999999
HSP70-R-C	-0.525548934
IGFBP2-R-V	-0.433940707
INPP4B-R-V	-0.115327244
IRS1-R-V	0.025037234
JNK_pT183_pY185-R-V	-0.0901139149999999
JNK2-R-C	-0.0106825089999999
Ku80-R-C	0.440221806
Lck-R-V	0.281402711
LKB1-M-E	-0.037888257
MAPK_pT202_Y204-R-V	-0.614049502
MEK1-R-V	0.135371551
MEK1_pS217_S221-R-V	-0.138062298
MIG-6-M-V	-0.102904027
Mre11-R-C	-0.075869366
MSH2-M-V	0.292219645
MSH6-R-C	0.182436901
mTOR-R-V	0.311937481
mTOR_pS2448-R-C	0.184398227
MYH11-R-V	0.81173083
Myosin-IIa_pS1943-R-V	0.025911859
N-Cadherin-R-V	-0.253575902
N-Ras-M-V	-0.094083209
NDRG1_pT346-R-V	3.737978389
NF-kB-p65_pS536-R-C	-0.109197859
NF2-R-C	0.104335175
Notch1-R-V	0.538389892
P-Cadherin-R-C	-0.00677972900000004
p21-R-V	0.601428966
p27-R-V	-0.0896872330000001
p27_pT157-R-C	-0.159544413
p27_pT198-R-V	0.140952726
p38_MAPK-R-V	0.293794901
p38_pT180_Y182-R-V	-0.201613468
p53-R-E	-0.0154905999999999
p62-LCK-ligand-M-C	-0.3303856
p70S6K-R-V	-0.332165597
p70S6K_pT389-R-V	-0.142745489
p90RSK-R-C	0.105375737
p90RSK_pT359_S363-R-C	-0.227952785
PAI-1-M-E	-0.30134959
PARP_cleaved-M-E	-0.0387094890000002
Paxillin-R-C	-0.056594188
PCNA-M-C	-0.176641789
PDCD4-R-C	0.458087645
PDK1-R-V	0.005687637
PDK1_pS241-R-V	0.062309496
PEA15-R-V	0.053413952
PEA15_pS116-R-V	-0.296785318
PI3K-p110-alpha-R-C	0.073818116
PI3K-p85-R-V	0.474489877
PKC-alpha-M-V	0.124199428
PKC-alpha_pS657-R-C	0.238205864
PKC-delta_pS664-R-V	0.1812571
PKC-pan_BetaII_pS660-R-V	0.212551215
PR-R-V	0.035184144
PRAS40_pT246-R-V	0.398082614
PRDX1-R-V	0
PREX1-R-E	0.16884451
PTEN-R-V	-0.0186032860000001
Rab11-R-E	-0.134677401
Rab25-R-V	-0.348931257
Rad50-M-V	-0.46281526
Rad51-R-V	-0.229504593
Raptor-R-V	-0.09210467
Rb-M-E	0.0207135219999998
Rb_pS807_S811-R-V	-0.190258166
RBM15-R-V	0.177357959
Rictor-R-C	0.097729907
Rictor_pT1135-R-V	0.206555284
S6-R-E	0.11687297
S6_pS235_S236-R-V	0.266174007
S6_pS240_S244-R-V	0.241253404
SCD-M-V	-0.047625167
SETD2-R-E	-0.120586402
SF2-M-V	0.535277706
Shc_pY317-R-E	-0.089705787
Smac-M-E	-0.228043756
Smad1-R-V	0.062292847
Smad3-R-V	-0.129340241
Smad4-M-V	0.00626085799999984
Snail-M-E	0.0366378680000003
Src-M-V	-0.246614629
Src_pY416-R-C	-0.570007829
Src_pY527-R-V	-0.505264619
STAT3_pY705-R-V	0.167425828
STAT5-alpha-R-V	0.306935172
Stathmin-R-V	-0.043606266
Syk-M-V	0.539580454
TAZ-R-V	-0.109281653
TIGAR-R-V	-0.105081765
Transglutaminase-M-V	-0.334007362
TFRC-R-V	-0.910102777
TSC1-R-C	0.0834910009999999
TTF1-R-V	-0.0399158849999999
Tuberin-R-E	0.31534987
Tuberin_pT1462-R-V	0.604651629
VEGFR2-R-V	-0.066133162
EPPK1-M-E	0.841355792
XBP1-G-C	0.218807158
XRCC1-R-E	-0.167582627
YAP-R-E	-0.271835642
YAP_pS127-R-E	-0.196678844
YB-1-R-V	-0.363535255
YB-1_pS102-R-V	-0.011243397
JAB1-M-C	0.0621034009999999
PARP1-R-V	0.18990835
A-Raf-R-V	-0.024328662
ARID1A-R-C	0.0946638
B-Raf_pS445-R-V	-0.143529694
Bcl2A1-R-V	-0.27596599
BRD4-R-V	-0.0207162729999999
c-Abl-R-V	-0.113961473
Caspase-3-R-C	-0.053785461
CD26-R-V	-0.236510564
Chk1_pS296-R-V	-0.0492926
COG3-R-V	-0.204092328
DUSP4-R-V	-0.213485955
ERCC5-R-C	0.134717781
IGF1R_pY1135_Y1136-R-V	-0.12469953
IRF-1-R-C	0.047438832
Jak2-R-V	0.1593844
p16_INK4a-R-V	0.043263908
SHP-2_pY542-R-C	-0.381560373
CDK1_pY15-R-C	-0.290670004
