Sample REF	272D7304-B95D-43A9-B70C-20E37C81082C
FASN-R-V	-0.363456294
Fibronectin-R-V	-0.337427934
FoxM1-R-V	0.646181902
FOXO3a-R-C	-0.0133304070000002
FOXO3a_pS318_S321-R-C	0.015871743
G6PD-M-V	-0.262168935
GAB2-R-V	0.382848124
GAPDH-M-C	0.094670265
GATA3-M-V	-0.0749191749999998
GSK3-alpha-beta-M-V	0.273160926
GSK3-alpha-beta_pS21_S9-R-V	-0.330345768
GSK3_pS9-R-V	-0.422788361
HER2-M-V	0.522532287
HER2_pY1248-R-C	0.576009112
HER3-R-V	-0.0881732729999999
HER3_pY1289-R-C	-0.133155676
Heregulin-R-V	0.209911649
HSP70-R-C	-0.214307671
IGFBP2-R-V	0.596816189
INPP4B-R-V	0.154634696
IRS1-R-V	0.102069639
JNK_pT183_pY185-R-V	-0.185880493
JNK2-R-C	-0.0859429749999999
Ku80-R-C	0.230380557
Lck-R-V	0.261362104
LKB1-M-E	-0.018653932
MAPK_pT202_Y204-R-V	-0.751981249
MEK1-R-V	0.526266245
MEK1_pS217_S221-R-V	-0.121366566
MIG-6-M-V	0.04465661
Mre11-R-C	-0.052154477
MSH2-M-V	0.0387454369999998
MSH6-R-C	-0.21065391
mTOR-R-V	-0.00574931399999978
mTOR_pS2448-R-C	-0.143097629
MYH11-R-V	-1.80733612
Myosin-IIa_pS1943-R-V	-0.108080726
N-Cadherin-R-V	-0.111456152
N-Ras-M-V	-0.0944608179999999
NDRG1_pT346-R-V	-0.418529191
NF-kB-p65_pS536-R-C	1.100268581
NF2-R-C	-0.012798939
Notch1-R-V	0.819730639
P-Cadherin-R-C	0.0467749
p21-R-V	-1.762231733
p27-R-V	-0.0256601089999999
p27_pT157-R-C	-0.226088722
p27_pT198-R-V	0.057130753
p38_MAPK-R-V	0.157554556
p38_pT180_Y182-R-V	-0.449823437
p53-R-E	0.0781756160000002
p62-LCK-ligand-M-C	0.068944678
p70S6K-R-V	0.415426098
p70S6K_pT389-R-V	-0.0578235809999998
p90RSK-R-C	0.115347697
p90RSK_pT359_S363-R-C	-0.0713938119999999
PAI-1-M-E	-0.598529331
PARP_cleaved-M-E	-0.180594648
Paxillin-R-C	-0.232692489
PCNA-M-C	0.0259312190000001
PDCD4-R-C	-0.47432418
PDK1-R-V	0.365396705
PDK1_pS241-R-V	0.477192701
PEA15-R-V	0.132880549
PEA15_pS116-R-V	-0.177896515
PI3K-p110-alpha-R-C	0.193203411
PI3K-p85-R-V	0.021598344
PKC-alpha-M-V	-0.142476051
PKC-alpha_pS657-R-C	-0.274332599
PKC-delta_pS664-R-V	-0.094418238
PKC-pan_BetaII_pS660-R-V	-0.292040346
PR-R-V	0.0170045170000002
PRAS40_pT246-R-V	-0.154359608
PRDX1-R-V	-0.241284143
PREX1-R-E	0.268394287
PTEN-R-V	0.737481401
Rab11-R-E	0.174703711
Rab25-R-V	0.691480569
Rad50-M-V	0.00622141800000009
Rad51-R-V	-0.066527173
Raptor-R-V	-0.212381731
Rb-M-E	-0.0514409920000001
Rb_pS807_S811-R-V	-0.43026844
RBM15-R-V	0.212754975
Rictor-R-C	-0.190895066
Rictor_pT1135-R-V	-0.128340078
S6-R-E	0.144684162
S6_pS235_S236-R-V	-0.762892698
S6_pS240_S244-R-V	-0.393501459
SCD-M-V	-0.103673721
SETD2-R-E	-0.113072971
SF2-M-V	-0.125022361
Shc_pY317-R-E	-0.0988632869999999
Smac-M-E	-0.044191772
Smad1-R-V	0.27239259
Smad3-R-V	0.0416143410000001
Smad4-M-V	0.0492042479999999
Snail-M-E	0.000616446000000437
Src-M-V	0.295879199
Src_pY416-R-C	0.154006423
Src_pY527-R-V	-0.185318951
STAT3_pY705-R-V	0.125688382
STAT5-alpha-R-V	1.166484845
Stathmin-R-V	-0.125929342
Syk-M-V	1.093724397
TAZ-R-V	-0.142834963
TIGAR-R-V	0.293814016
Transglutaminase-M-V	0.226476129
TFRC-R-V	-0.527433943
TSC1-R-C	0.162990825
TTF1-R-V	-0.0643632959999999
Tuberin-R-E	0.502713253
Tuberin_pT1462-R-V	-0.215991033
VEGFR2-R-V	-0.134789354
EPPK1-M-E	0.52182097
XBP1-G-C	-0.205330422
XRCC1-R-E	-0.0928670189999999
YAP-R-E	0.097775509
YAP_pS127-R-E	-0.378882825
YB-1-R-V	0.062829501
YB-1_pS102-R-V	0
JAB1-M-C	0.131993295
PARP1-R-V	-0.434157677
A-Raf-R-V	0.417486238
ARID1A-R-C	0.16300339
B-Raf_pS445-R-V	-0.029200615
Bcl2A1-R-V	-0.169337457
BRD4-R-V	0.260596878
c-Abl-R-V	-0.052407107
Caspase-3-R-C	-0.134403593
CD26-R-V	-0.181194063
Chk1_pS296-R-V	-0.103482221
COG3-R-V	0.250792556
DUSP4-R-V	0.026176881
ERCC5-R-C	0.011624937
IGF1R_pY1135_Y1136-R-V	-0.147221446
IRF-1-R-C	0.128446411
Jak2-R-V	0.269371445
p16_INK4a-R-V	0.52779543
SHP-2_pY542-R-C	0.117082188
CDK1_pY15-R-C	-0.310599967
