Sample REF	46F8B610-944B-4BA8-A595-83B0EB4C4614
S6-R-E	-0.240295244
S6_pS235_S236-R-V	0
S6_pS240_S244-R-V	-0.185024403
SCD-M-V	-0.0724427930000002
SETD2-R-E	-0.0144726340000001
SF2-M-V	0.107506006
Shc_pY317-R-E	0.321731492
Smac-M-E	0.329668862
Smad1-R-V	-0.0138069750000001
Smad3-R-V	-0.175159305
Smad4-M-V	0.336233582
Snail-M-E	-0.0733216129999996
Src-M-V	-0.167131328
Src_pY416-R-C	1.173563845
Src_pY527-R-V	1.854673877
STAT3_pY705-R-V	-0.0114530200000001
STAT5-alpha-R-V	-0.679043982
Stathmin-R-V	-0.0602616110000001
Syk-M-V	-0.502433911
TAZ-R-V	-0.110795234
TIGAR-R-V	0.63180527
Transglutaminase-M-V	-0.300223364
TFRC-R-V	-0.128864816
TSC1-R-C	-0.101976747
TTF1-R-V	0.828003025
Tuberin-R-E	-0.242632704
Tuberin_pT1462-R-V	0.221532298
VEGFR2-R-V	-0.154310079
EPPK1-M-E	-1.17755166
XBP1-G-C	-0.465740125
XRCC1-R-E	-0.352876723
YAP-R-E	0.137718191
YAP_pS127-R-E	0.153275532
YB-1-R-V	-0.0674521730000002
YB-1_pS102-R-V	0.0135137719999998
JAB1-M-C	0.195681531
PARP1-R-V	-0.792179124
A-Raf-R-V	-0.14101971
ARID1A-R-C	0.259612599
B-Raf_pS445-R-V	0.452133764
Bcl2A1-R-V	0.0958358649999999
BRD4-R-V	-1.022276553
c-Abl-R-V	-0.202137013
Caspase-3-R-C	-0.00413255900000009
CD26-R-V	0.360215123
Chk1_pS296-R-V	-0.0883082690000002
COG3-R-V	0.163852023
DUSP4-R-V	-0.153712243
ERCC5-R-C	0.191403463
IGF1R_pY1135_Y1136-R-V	0.058144884
IRF-1-R-C	-0.401628328
Jak2-R-V	-0.435787454
p16_INK4a-R-V	-0.250587208
SHP-2_pY542-R-C	0.660062346
CDK1_pY15-R-C	0.293751193
