Sample REF	C1F108EE-1D61-4EC1-9F0E-A85272154696
Cyclin_E1-M-V	0.081692623
Cyclin_E2-R-C	-0.027524835
DJ-1-R-E	-0.062875906
Dvl3-R-V	0.085067517
E-Cadherin-R-V	0.534697955
eEF2-R-C	-0.0408343880000001
eEF2K-R-V	0.475428308
EGFR-R-V	0.228871904
EGFR_pY1068-R-C	-0.147754745
EGFR_pY1173-R-V	-0.069433984
eIF4E-R-V	0.217690368
eIF4G-R-C	0.270898083
ER-alpha-R-V	1.536479826
ER-alpha_pS118-R-V	0.0105395579999999
ERCC1-M-V	-0.0826369319999999
ERK2-R-E	0.192472592
ETS-1-R-V	0.00878462200000001
FASN-R-V	-0.037660639
Fibronectin-R-V	-0.514050555
FoxM1-R-V	0.0736460230000001
FOXO3a-R-C	-0.124991312
FOXO3a_pS318_S321-R-C	0.0958282149999999
G6PD-M-V	0.176701351
GAB2-R-V	0.781721944
GAPDH-M-C	-0.143281488
GATA3-M-V	0.273025857
GSK3-alpha-beta-M-V	-0.019631174
GSK3-alpha-beta_pS21_S9-R-V	-0.095792418
GSK3_pS9-R-V	0.173313008
HER2-M-V	0.051790772
HER2_pY1248-R-C	0.011516842
HER3-R-V	0.12339517
HER3_pY1289-R-C	-0.097400329
Heregulin-R-V	0.027444382
HSP70-R-C	-0.247996227
IGFBP2-R-V	-0.1053779
INPP4B-R-V	0.0436321670000003
IRS1-R-V	0.0731561779999999
JNK_pT183_pY185-R-V	-0.00675129099999995
JNK2-R-C	0.020964104
Ku80-R-C	0.188208217
Lck-R-V	0.472949115
LKB1-M-E	0.056576442
MAPK_pT202_Y204-R-V	0.546287681
MEK1-R-V	0.336643651
MEK1_pS217_S221-R-V	0.053023314
MIG-6-M-V	-0.062770721
Mre11-R-C	0.017030767
MSH2-M-V	0.0198337219999997
MSH6-R-C	0.319735612
mTOR-R-V	-0.205155458
mTOR_pS2448-R-C	-0.0577999699999999
MYH11-R-V	2.236189306
Myosin-IIa_pS1943-R-V	-0.649958749
N-Cadherin-R-V	-0.132231595
N-Ras-M-V	-0.189972993
NDRG1_pT346-R-V	0.57361419
NF-kB-p65_pS536-R-C	-0.45848449
NF2-R-C	-0.111980411
Notch1-R-V	0.239063583
P-Cadherin-R-C	-0.0124626830000002
p21-R-V	-1.696013626
p27-R-V	0.113077238
p27_pT157-R-C	-0.180327401
p27_pT198-R-V	0.050109795
p38_MAPK-R-V	0.074117913
p38_pT180_Y182-R-V	-0.036340724
p53-R-E	-0.038687303
p62-LCK-ligand-M-C	-0.249899821
p70S6K-R-V	-0.30030219
p70S6K_pT389-R-V	0.059046365
p90RSK-R-C	-0.031790615
p90RSK_pT359_S363-R-C	0.1453125
PAI-1-M-E	-0.859860876
PARP_cleaved-M-E	-0.278579632
Paxillin-R-C	-0.095622891
PCNA-M-C	-0.078351849
PDCD4-R-C	1.281331979
PDK1-R-V	-0.106568552
PDK1_pS241-R-V	-0.107179149
PEA15-R-V	0.239760869
PEA15_pS116-R-V	-0.100001795
PI3K-p110-alpha-R-C	-0.0332202020000001
PI3K-p85-R-V	0.122850435
PKC-alpha-M-V	0.307430298
PKC-alpha_pS657-R-C	0.330138101
PKC-delta_pS664-R-V	0.168829286
PKC-pan_BetaII_pS660-R-V	0.751727315
PR-R-V	0.0137423630000001
PRAS40_pT246-R-V	-0.0405409299999999
PRDX1-R-V	-0.05601461
PREX1-R-E	0.125798696
PTEN-R-V	-0.110781943
Rab11-R-E	0.00227324
Rab25-R-V	-0.137796773
Rad50-M-V	-0.0779488039999999
Rad51-R-V	0.393885184
Raptor-R-V	-0.075496799
Rb-M-E	-0.235100697
Rb_pS807_S811-R-V	0.0426823119999998
RBM15-R-V	0.056576442
Rictor-R-C	1.364885728
Rictor_pT1135-R-V	0.027774359
S6-R-E	-0.031963863
S6_pS235_S236-R-V	0.434440895
S6_pS240_S244-R-V	0.056576442
SCD-M-V	-0.0778088599999999
SETD2-R-E	0.20452326
SF2-M-V	-0.520412438
Shc_pY317-R-E	-0.126743513
Smac-M-E	-0.197638759
Smad1-R-V	0.056576442
Smad3-R-V	0.112729463
Smad4-M-V	-0.098180313
Snail-M-E	-0.417267902
Src-M-V	0.435130311
Src_pY416-R-C	-0.827606666
Src_pY527-R-V	0.27540818
STAT3_pY705-R-V	-0.00691577199999995
STAT5-alpha-R-V	0.767226086
Stathmin-R-V	-0.128754292
Syk-M-V	0.244276237
TAZ-R-V	-0.066370023
TIGAR-R-V	-0.100375775
Transglutaminase-M-V	-0.106905095
TFRC-R-V	0.130364362
TSC1-R-C	0.232694008
TTF1-R-V	-0.065234814
Tuberin-R-E	0.115337214
Tuberin_pT1462-R-V	-0.124911449
VEGFR2-R-V	-0.0732058450000001
EPPK1-M-E	-0.674152113
XBP1-G-C	0.0572202959999998
XRCC1-R-E	-0.231039595
YAP-R-E	-0.078310188
YAP_pS127-R-E	0.163884578
YB-1-R-V	0.061915797
YB-1_pS102-R-V	0.063539142
JAB1-M-C	-0.159587583
PARP1-R-V	-0.15504035
A-Raf-R-V	-0.137870594
ARID1A-R-C	0.14489652
B-Raf_pS445-R-V	0.15626622
Bcl2A1-R-V	-0.016958441
BRD4-R-V	0.021361668
c-Abl-R-V	-0.194964007
Caspase-3-R-C	0.041246639
CD26-R-V	-0.06608307
Chk1_pS296-R-V	-0.04326516
COG3-R-V	-0.024463138
DUSP4-R-V	-0.222684418
ERCC5-R-C	-0.323808722
IGF1R_pY1135_Y1136-R-V	-0.058457532
IRF-1-R-C	0.266814938
Jak2-R-V	0.363251217
p16_INK4a-R-V	-0.29798322
SHP-2_pY542-R-C	-0.0202644629999999
CDK1_pY15-R-C	0.016864309
