Sample REF	98528687-3F27-43C9-9472-C399EA10D856
GATA3-M-V	-0.231202025
GSK3-alpha-beta-M-V	-0.640616836
GSK3-alpha-beta_pS21_S9-R-V	-1.222058651
GSK3_pS9-R-V	-1.260766763
HER2-M-V	-0.748044052
HER2_pY1248-R-C	0.380190792
HER3-R-V	-0.203100929
HER3_pY1289-R-C	0.225678465
Heregulin-R-V	0.487910681
HSP70-R-C	0.193993951
IGFBP2-R-V	0.55069951
INPP4B-R-V	0.402221847
IRS1-R-V	0.00738252699999964
JNK_pT183_pY185-R-V	0.302965998
JNK2-R-C	-0.982861953
Ku80-R-C	-0.420133839
Lck-R-V	0.558870764
LKB1-M-E	0.244350703
MAPK_pT202_Y204-R-V	1.807394796
MEK1-R-V	-0.53692421
MEK1_pS217_S221-R-V	0.966337098
MIG-6-M-V	0.305146539
Mre11-R-C	0.418490756
MSH2-M-V	0.0773988749999994
MSH6-R-C	-0.484138172
mTOR-R-V	-0.552970647
mTOR_pS2448-R-C	0.463785093
MYH11-R-V	-2.287969766
Myosin-IIa_pS1943-R-V	-1.252781045
N-Cadherin-R-V	-0.346826994
N-Ras-M-V	-0.158011276
NDRG1_pT346-R-V	-0.685604952
NF-kB-p65_pS536-R-C	0.0321790449999999
NF2-R-C	-0.700267365
Notch1-R-V	0.00692689299999949
P-Cadherin-R-C	-0.785765839
p21-R-V	0.890387245
p27-R-V	0.956376335
p27_pT157-R-C	0.128637414
p27_pT198-R-V	-0.0970822710000003
p38_MAPK-R-V	0.38620878
p38_pT180_Y182-R-V	0.920212512
p53-R-E	-0.0967578200000003
p62-LCK-ligand-M-C	-0.445205934
p70S6K-R-V	-0.969989041
p70S6K_pT389-R-V	-0.16142501
p90RSK-R-C	-0.66108952
p90RSK_pT359_S363-R-C	0.245078595
PAI-1-M-E	0.0763381299999999
PARP_cleaved-M-E	-0.670624401
Paxillin-R-C	-0.845628469
PCNA-M-C	0.247168943
PDCD4-R-C	2.147672446
PDK1-R-V	-0.0635036580000001
PDK1_pS241-R-V	-1.06079759
PEA15-R-V	0.485457999
PEA15_pS116-R-V	-0.684838818
PI3K-p110-alpha-R-C	-0.277740709
PI3K-p85-R-V	-1.050594038
PKC-alpha-M-V	-0.00988383200000031
PKC-alpha_pS657-R-C	-0.118996945
PKC-delta_pS664-R-V	-0.0837431830000004
PKC-pan_BetaII_pS660-R-V	-1.392951008
PR-R-V	-0.367219042
PRAS40_pT246-R-V	0.334044981
PRDX1-R-V	0.741615702
PREX1-R-E	-0.195753645
PTEN-R-V	-0.243700987
Rab11-R-E	0.827935037
Rab25-R-V	1.115437724
Rad50-M-V	-1.138382007
Rad51-R-V	0.888437133
Raptor-R-V	-0.829455042
Rb-M-E	-0.412047448000001
Rb_pS807_S811-R-V	0.101731155
RBM15-R-V	-1.038930574
Rictor-R-C	-0.358230705
Rictor_pT1135-R-V	-0.186203139
S6-R-E	0.823617188
S6_pS235_S236-R-V	1.544193065
S6_pS240_S244-R-V	0.971510815
SCD-M-V	-0.362054457
SETD2-R-E	-0.698688063
SF2-M-V	-2.733484947
Shc_pY317-R-E	0.321989206
Smac-M-E	0.509410387
Smad1-R-V	-0.959405784
Smad3-R-V	0.0908104979999997
Smad4-M-V	0.0848261029999999
Snail-M-E	-2.334852538
Src-M-V	-0.358078872
Src_pY416-R-C	1.052793455
Src_pY527-R-V	0.813879779
STAT3_pY705-R-V	-1.049712732
STAT5-alpha-R-V	-1.722053657
Stathmin-R-V	0.445680064
Syk-M-V	0.191974294
TAZ-R-V	0.00198671399999983
TIGAR-R-V	0.817490756
Transglutaminase-M-V	0.163697055
TFRC-R-V	-1.022617652
TSC1-R-C	-1.963830573
TTF1-R-V	-0.0763652580000003
Tuberin-R-E	-1.570513135
Tuberin_pT1462-R-V	-0.172097184
VEGFR2-R-V	0.270194689
EPPK1-M-E	-1.826607003
XBP1-G-C	0.0704243100000002
XRCC1-R-E	0.719611386
YAP-R-E	0.852184073
YAP_pS127-R-E	0.437145332
YB-1-R-V	-0.393004134
YB-1_pS102-R-V	-0.0508766220000003
JAB1-M-C	-0.0101375210000001
PARP1-R-V	0.124753237
A-Raf-R-V	0.0842657709999999
ARID1A-R-C	-1.390430439
B-Raf_pS445-R-V	0.0826255009999999
Bcl2A1-R-V	0.199566128
BRD4-R-V	-0.841344106
c-Abl-R-V	-0.0954443860000003
Caspase-3-R-C	0.424165866
CD26-R-V	0.0193801519999999
Chk1_pS296-R-V	0.198434078
COG3-R-V	-0.704731439
DUSP4-R-V	0.81831659
ERCC5-R-C	0.630839662
IGF1R_pY1135_Y1136-R-V	0.106296661
IRF-1-R-C	-0.0896475040000002
Jak2-R-V	-0.634418706
p16_INK4a-R-V	0.632422936
SHP-2_pY542-R-C	0.286910953
CDK1_pY15-R-C	0.875209699
