Sample REF	AFA27E8B-A438-4D1A-9344-6E760E7A890F
Cyclin_E1-M-V	0.350702593
Cyclin_E2-R-C	-0.660417249
DJ-1-R-E	0.654194805
Dvl3-R-V	0.11215185
E-Cadherin-R-V	-1.819635143
eEF2-R-C	0.148262565
eEF2K-R-V	0.364482705
EGFR-R-V	-0.0627336629999999
EGFR_pY1068-R-C	0.0836737339999996
EGFR_pY1173-R-V	0.372863584
eIF4E-R-V	-0.209801848
eIF4G-R-C	0.230655196
ER-alpha-R-V	1.771852892
ER-alpha_pS118-R-V	-0.653621335
ERCC1-M-V	0.356521219
ERK2-R-E	0
ETS-1-R-V	2.432589523
FASN-R-V	2.726214032
Fibronectin-R-V	0.643864261
FoxM1-R-V	0.881806579
FOXO3a-R-C	0.247709173
FOXO3a_pS318_S321-R-C	0.000761917999999362
G6PD-M-V	0.145933556
GAB2-R-V	1.087967206
GAPDH-M-C	0.959350863
GATA3-M-V	0.60268396
GSK3-alpha-beta-M-V	-0.314868371
GSK3-alpha-beta_pS21_S9-R-V	-0.323884138
GSK3_pS9-R-V	0.271692285
HER2-M-V	2.880876018
HER2_pY1248-R-C	0.444219942
HER3-R-V	0.993914643
HER3_pY1289-R-C	-0.602228067
Heregulin-R-V	1.247802157
HSP70-R-C	2.929497413
IGFBP2-R-V	0.968716895
INPP4B-R-V	0.663362941
IRS1-R-V	0.219870932
JNK_pT183_pY185-R-V	-0.564019252
JNK2-R-C	0.0791591810000001
Ku80-R-C	0.439832802999999
Lck-R-V	1.229940151
LKB1-M-E	-0.183195036
MAPK_pT202_Y204-R-V	0.927712663
MEK1-R-V	0.464204771
MEK1_pS217_S221-R-V	0.0920753409999997
MIG-6-M-V	-0.005088647
Mre11-R-C	-0.642869285000001
MSH2-M-V	0.519376233
MSH6-R-C	0.110857221
mTOR-R-V	-0.836951263
mTOR_pS2448-R-C	-0.20115164
MYH11-R-V	-0.304113183000001
Myosin-IIa_pS1943-R-V	0.279678003
N-Cadherin-R-V	-0.544151785
N-Ras-M-V	-0.724562156000001
NDRG1_pT346-R-V	-0.507377990000001
NF-kB-p65_pS536-R-C	0.150010011
NF2-R-C	-0.410693223
Notch1-R-V	-0.130380262000001
P-Cadherin-R-C	0.317153671999999
p21-R-V	0.821115112
p27-R-V	-0.173613196
p27_pT157-R-C	-1.485010402
p27_pT198-R-V	-0.427377165
p38_MAPK-R-V	-0.0217253749999999
p38_pT180_Y182-R-V	-0.34516678
p53-R-E	-0.121967246
p62-LCK-ligand-M-C	0.601987011
p70S6K-R-V	-0.225071804
p70S6K_pT389-R-V	-0.0140805720000006
p90RSK-R-C	-0.131683569
p90RSK_pT359_S363-R-C	-0.105427299
PAI-1-M-E	0.256463477
PARP_cleaved-M-E	-1.25272202
Paxillin-R-C	0.686830579
PCNA-M-C	-0.297110512
PDCD4-R-C	0.40577088
PDK1-R-V	-0.482210891000001
PDK1_pS241-R-V	-0.350525267000001
PEA15-R-V	0.499670851
PEA15_pS116-R-V	0.618518727
PI3K-p110-alpha-R-C	0.203968287
PI3K-p85-R-V	0.547390331
PKC-alpha-M-V	0.965304779
PKC-alpha_pS657-R-C	0.491211992
PKC-delta_pS664-R-V	-0.285581338
PKC-pan_BetaII_pS660-R-V	0.13950804
PR-R-V	-0.479252549
PRAS40_pT246-R-V	-0.193631276
PRDX1-R-V	0.772048145
PREX1-R-E	0.194694220999999
PTEN-R-V	0.211029975999999
Rab11-R-E	0.809240783
Rab25-R-V	0.149815955
Rad50-M-V	-0.00346504800000025
Rad51-R-V	0.329367325
Raptor-R-V	-0.326097783
Rb-M-E	-0.00849322000000052
Rb_pS807_S811-R-V	0.328245713
RBM15-R-V	-0.331419963
Rictor-R-C	1.174228343
Rictor_pT1135-R-V	1.471718836
S6-R-E	-0.366618391
S6_pS235_S236-R-V	0.052905097
S6_pS240_S244-R-V	0.306380196
SCD-M-V	-1.055285329
SETD2-R-E	0.0128243189999995
SF2-M-V	-1.201025899
Shc_pY317-R-E	-0.0315975080000004
Smac-M-E	-0.465767285
Smad1-R-V	-0.657306476
Smad3-R-V	-0.0579347020000003
Smad4-M-V	0.435066385999999
Snail-M-E	-0.80239349
Src-M-V	-0.559997623
Src_pY416-R-C	0.440651557
Src_pY527-R-V	1.495640884
STAT3_pY705-R-V	1.442589326
STAT5-alpha-R-V	1.630868477
Stathmin-R-V	-0.039580167
Syk-M-V	-0.47629475
TAZ-R-V	0.254128335
TIGAR-R-V	-0.0131021809999998
Transglutaminase-M-V	-0.425659658
TFRC-R-V	-0.796472648
TSC1-R-C	0.039045733
TTF1-R-V	0.926827218
Tuberin-R-E	-0.0380540869999999
Tuberin_pT1462-R-V	1.586958602
VEGFR2-R-V	-0.538179244
EPPK1-M-E	-0.294147955
XBP1-G-C	3.779197607
XRCC1-R-E	0.0737525489999995
YAP-R-E	1.090080641
YAP_pS127-R-E	0.859547645
YB-1-R-V	-0.349992309
YB-1_pS102-R-V	-0.117816675
JAB1-M-C	-0.541886708
PARP1-R-V	-0.987983401000001
A-Raf-R-V	-0.890619161
ARID1A-R-C	-0.339705165
B-Raf_pS445-R-V	-0.556974468
Bcl2A1-R-V	0.886368753
BRD4-R-V	-1.378510927
c-Abl-R-V	-0.694824481
Caspase-3-R-C	-0.63171043
CD26-R-V	0.966177437
Chk1_pS296-R-V	-1.251061404
COG3-R-V	-0.692358629
DUSP4-R-V	0.152787783
ERCC5-R-C	-0.324477465
IGF1R_pY1135_Y1136-R-V	0.703898564
IRF-1-R-C	-0.0988040670000006
Jak2-R-V	-0.415680169
p16_INK4a-R-V	-0.368411531
SHP-2_pY542-R-C	2.189381174
CDK1_pY15-R-C	-0.696829229
