Sample REF	655D5978-8AF4-42DB-9ADB-801D8ACEDFB8
STAT3_pY705-R-V	-0.0284842230000001
STAT5-alpha-R-V	1.373735775
Stathmin-R-V	-0.140392987
Syk-M-V	0.937784438
TAZ-R-V	-0.184523329
TIGAR-R-V	0.0835387009999999
Transglutaminase-M-V	0.612070931
TFRC-R-V	0.00194244599999993
TSC1-R-C	-0.117584879
TTF1-R-V	-0.0612572710000001
Tuberin-R-E	0.20329173
Tuberin_pT1462-R-V	0.169155906
VEGFR2-R-V	-0.796607233
EPPK1-M-E	-0.167083921
XBP1-G-C	-0.304364289
XRCC1-R-E	-0.180557543
YAP-R-E	-0.250646425
YAP_pS127-R-E	-0.429406209
YB-1-R-V	0.0562762819999999
YB-1_pS102-R-V	0.381766013
JAB1-M-C	-0.0152640820000001
PARP1-R-V	-0.156455698
A-Raf-R-V	0.19464639
ARID1A-R-C	0.0207063289999999
B-Raf_pS445-R-V	-0.174455202
Bcl2A1-R-V	-0.0219674140000001
BRD4-R-V	-0.0704130569999999
c-Abl-R-V	-0.0766957990000001
Caspase-3-R-C	0.0454619969999999
CD26-R-V	-0.00904231000000011
Chk1_pS296-R-V	0.115787816
COG3-R-V	0.200050041
DUSP4-R-V	0.364443091
ERCC5-R-C	0.0835387009999999
IGF1R_pY1135_Y1136-R-V	-0.0821346049999999
IRF-1-R-C	0.532710986
Jak2-R-V	0.492098664
p16_INK4a-R-V	-0.56695706
SHP-2_pY542-R-C	-0.147742253
CDK1_pY15-R-C	-0.299519273
