Sample REF	179BC59D-8509-4989-8D44-D7C6EB2CCF8B
PDK1_pS241-R-V	0.52974255
PEA15-R-V	-0.17253864
PEA15_pS116-R-V	-0.0422915339999997
PI3K-p110-alpha-R-C	0.300061773
PI3K-p85-R-V	0.256410774
PKC-alpha-M-V	-0.00436409599999976
PKC-alpha_pS657-R-C	0.150259743
PKC-delta_pS664-R-V	0.127380816
PKC-pan_BetaII_pS660-R-V	-0.0314405489999998
PR-R-V	-0.139259995
PRAS40_pT246-R-V	0.00716705900000031
PRDX1-R-V	-0.314516875
PREX1-R-E	0.0570041320000001
PTEN-R-V	0.46073038
Rab11-R-E	0.0782662990000003
Rab25-R-V	0.733148242
Rad50-M-V	-0.192793958
Rad51-R-V	-0.0119297289999998
Raptor-R-V	0.0675596170000002
Rb-M-E	-0.297423816
Rb_pS807_S811-R-V	0.448495379
RBM15-R-V	0.379963453
Rictor-R-C	0.0714104680000003
Rictor_pT1135-R-V	-0.243735876
S6-R-E	0.168469382
S6_pS235_S236-R-V	0.105769065
S6_pS240_S244-R-V	0.362216717
SCD-M-V	-0.239890427
SETD2-R-E	-0.396241987
SF2-M-V	-0.170926917
Shc_pY317-R-E	0.16988379
Smac-M-E	0.337297343
Smad1-R-V	0.101568566
Smad3-R-V	0.0366089720000002
Smad4-M-V	0.0902086500000001
Snail-M-E	-0.0900324449999994
Src-M-V	0.198055714
Src_pY416-R-C	-0.380649632
Src_pY527-R-V	-0.625253938
STAT3_pY705-R-V	0.20427068
STAT5-alpha-R-V	0.466601628
Stathmin-R-V	-0.155214334
Syk-M-V	0.385046468
TAZ-R-V	-0.1711215
TIGAR-R-V	-0.00445314799999974
Transglutaminase-M-V	-0.243956207
TFRC-R-V	-0.466291985
TSC1-R-C	0.260585326
TTF1-R-V	-0.0642148079999998
Tuberin-R-E	0.0795663760000002
Tuberin_pT1462-R-V	-0.228375786
VEGFR2-R-V	-0.241200324
EPPK1-M-E	0.727115321
XBP1-G-C	0
XRCC1-R-E	0.0505933510000003
YAP-R-E	0.0354314550000002
YAP_pS127-R-E	-0.340566777
YB-1-R-V	0.0895006890000002
YB-1_pS102-R-V	0.111901074
JAB1-M-C	-0.115471707
PARP1-R-V	0.606336366
A-Raf-R-V	0.118498126
ARID1A-R-C	0.223969613
B-Raf_pS445-R-V	0.432404466
Bcl2A1-R-V	-0.212079706
BRD4-R-V	0.377112618
c-Abl-R-V	-0.0162232049999997
Caspase-3-R-C	-0.143388878
CD26-R-V	-0.195463216
Chk1_pS296-R-V	-0.00430569399999975
COG3-R-V	-0.0385765519999998
DUSP4-R-V	-0.0430074249999999
ERCC5-R-C	0.251324795
IGF1R_pY1135_Y1136-R-V	-0.209385559
IRF-1-R-C	-0.0967411979999998
Jak2-R-V	0.184997043
p16_INK4a-R-V	-0.603573538
SHP-2_pY542-R-C	-0.242396922
CDK1_pY15-R-C	-0.629948448
